"age","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060"
0,83.1922220118024,83.3014343781422,83.423508245824,83.5420124674787,83.656887830621,83.7684188027755,83.875783813413,83.9793128978553,84.0792479172808,84.1754144759969,84.2676562083592,84.3563101431493,84.4411025000234,84.5218453507096,84.5991773395299,84.6724865723936,84.742261951265,84.8083830713002,84.8712715718792,84.9307252995348,84.986852062201,85.0399943915638,85.0897487251442,85.1370424873804,85.1812992878309,85.2229058070314,85.2619640781901,85.2984886031802,85.3326886496351,85.3647468649398,85.394857990873,85.423140627381,85.4495555558165,85.4742493741056,85.4973765604846,85.5189060924723,85.5391510902623,85.5582569160647,85.5758855734204,85.5925337914531,85.6081210398354,85.6226867773324,85.6362537715147,85.6488683477669,85.6609203357531,85.6722360639944,85.6827721533987,85.6928263533988,85.7021882477699,85.7113967491544,85.7198975080671
1,82.6049762517884,82.6568469630148,82.7666729637346,82.8740071129089,82.9781277174954,83.0791459334034,83.1771842950904,83.271504278626,83.3623573119761,83.4500734645296,83.5343127443785,83.6150890536805,83.6925755145482,83.7664997005703,83.8367597542876,83.9039148495217,83.9674374988425,84.0276516030633,84.084522726218,84.1384757597796,84.1892249421673,84.2369646812254,84.281955292965,84.32387820851,84.3634950708268,84.4003987197451,84.4348081816139,84.4669115959583,84.496724424321,84.5244572859177,84.5502089655773,84.5742603286364,84.5966457591579,84.6174115978905,84.6365350131781,84.654341475847,84.6707151943972,84.6859702209867,84.7002524799791,84.7132237102809,84.7252965132858,84.7365609056823,84.7468861740123,84.7563805588156,84.765005384736,84.7732364288021,84.7808146426086,84.7877820014759,84.7943514557832,84.8003977264298,84.8063751382734
2,81.5391896408636,81.6388926102263,81.7480047584143,81.854845145821,81.958972984719,82.0602669896823,82.1586459598938,82.2537146086347,82.3454826490862,82.4340476730236,82.5192451573238,82.6011403945284,82.6797329197175,82.7549225832323,82.8266024909989,82.8949887309318,82.9599516550883,83.0215572107266,83.0798768817027,83.1351386111821,83.1872190719108,83.2362894249949,83.2824818914919,83.325710111063,83.3663828257543,83.4044035944265,83.4398342923277,83.4729412061985,83.5036301237639,83.5321806231211,83.5586838033399,83.5833163898275,83.6061707150593,83.6273609390796,83.6469552868601,83.6651752515408,83.6819531730018,83.6974683092421,83.7118794087328,83.7250450204427,83.7371925198445,83.7484614021426,83.7588225156104,83.7683638638015,83.7770807653654,83.7852121117389,83.7926866606003,83.7995217495908,83.805916445392,83.8117632405799,83.8173651416878
3,80.4457975988486,80.5573444526062,80.667593590495,80.7757585348927,80.8815348883256,80.9847331623685,81.085196676782,81.1826062429957,81.2768492773533,81.3679051619673,81.4556400573123,81.5401037448605,81.6212916363945,81.6991507505868,81.7736118729664,81.844699372987,81.9123576947037,81.9767116116001,82.037708342339,82.0955392275498,82.1501891625169,82.2017605671301,82.2503439565042,82.2959348066622,82.3387963645636,82.3789631461075,82.416499400174,82.4515448965479,82.4841726857782,82.5144785770615,82.5426503125991,82.5687929094766,82.5930483424405,82.6155232617719,82.6363375992868,82.6556740347996,82.6735405918923,82.6900638088232,82.7053308414961,82.7193688148978,82.7322775911056,82.7441764132672,82.7551798240624,82.7652919774552,82.7745842429104,82.7831768707922,82.7910589388503,82.7982924470451,82.8049780469571,82.8111315589928,82.8168537448272
4,79.3447486198533,79.4593095803731,79.5709634452242,79.6807685334651,79.7884286548775,79.8937436806308,79.9965476590374,80.0965706293548,80.1935778062918,80.2874772210815,80.3781292905375,80.4655306072071,80.5496417538336,80.6304920426522,80.7080089242882,80.7821731172086,80.8529150330659,80.9202876445254,80.9843463371594,81.0451123023912,81.1026546687991,81.1570807293022,81.2084195319655,81.2566962050113,81.3021106328746,81.3447462613354,81.384670308731,81.422037142707,81.4568391373504,81.4892968566998,81.5194324011715,81.5474171290569,81.5733806832273,81.5974650672502,81.6197687440693,81.6404609469294,81.6596093858367,81.677361750371,81.6937624449133,81.7088493049507,81.7227727672281,81.7355587244397,81.7473510997478,81.758231547843,81.7682206739801,81.7774556760067,81.7859251747961,81.793684065501,81.8008684239126,81.8074307718483,81.8135186164202
5,78.2406243682577,78.3553145240681,78.4683147714315,78.5796828438725,78.6891670495111,78.7965089539041,78.901564349545,79.004108140215,79.1038540487788,79.2006310000269,79.2942594448857,79.3847035311044,79.4718561308493,79.5557577800929,79.6363898639037,79.7136958737209,79.7876405193608,79.8581943930086,79.9253784098543,79.989272129883,80.0498565492225,80.1072652725082,80.1615331230434,80.2126649064852,80.2608149015436,80.3060942751248,80.348562223415,80.3883830003038,80.4255816055571,80.4602798761289,80.4926255852055,80.5226246296946,80.5504969894248,80.5763561308975,80.600327858295,80.622551199856,80.6431061690731,80.6621740700151,80.6798376976624,80.6961333373916,80.7111394267917,80.7249739341957,80.7377114952699,80.7494229336166,80.7602142728819,80.7701548806491,80.7793088231219,80.7876890985109,80.7954318984976,80.8025269785456,80.8090406749156
6,77.1327881483142,77.2487098136278,77.3628902147227,77.4756597326252,77.586772800954,77.6959776225572,77.8031017975128,77.9079700190204,78.0102788056188,78.1098203077178,78.2063684851556,78.2998382759427,78.3900678733301,78.477060547652,78.5607858861798,78.6412252450438,78.7183537759793,78.7921441852452,78.8625433412215,78.9295880664649,78.9933261861391,79.0538182307237,79.1110865129503,79.1651817048124,79.2161882841402,79.2642446903243,79.309374373005,79.3517642149596,79.3914347948233,79.4285548924956,79.4631664943356,79.4953773788562,79.5252894274634,79.5530826622359,79.5788465442989,79.6027549349991,79.6248427375892,79.6453261638608,79.6643224450683,79.6818983459705,79.6981222261605,79.7130564959328,79.7268672659218,79.7395329119939,79.7511723901055,79.7619077812695,79.7717763541545,79.7808502006485,79.7892226080176,79.7968932886567,79.8039322850641
7,76.0252247774348,76.1409116543962,76.2561010702662,76.3700695439382,76.4826109485418,76.5934410952008,76.7024314760538,76.8094022570495,76.9140467831767,77.0161465558159,77.115470508301,77.2118780619934,77.3051288448228,77.395208787458,77.4820434410228,77.565563352465,77.6458513425094,77.7228279937766,77.7964660308861,77.8667280127656,77.9336272942596,77.9972823494734,78.0576360390617,78.1147420134629,78.1686981170258,78.219628256731,78.2675371045633,78.3125977423343,78.354831608248,78.3944327263059,78.4314674099067,78.4659381501218,78.4980711671536,78.5279052078344,78.5556203069184,78.5813217509325,78.6050805901812,78.6270978277421,78.6475026902574,78.6664282440523,78.6839254285147,78.7000784439386,78.7150051610911,78.7287370420526,78.7413316698068,78.7529080097858,78.7635643724535,78.7733618055361,78.7824358335088,78.790729117559,78.7983365052478
8,74.9158496418244,75.0325510795581,75.1485517722927,75.2635255319637,75.3772775429194,75.4895256807536,75.6001376126596,75.7089851669654,75.8157362002919,75.9201601514509,76.0220385259386,76.1212168840755,76.2174015160558,76.3105053920189,76.4004378394413,76.4870474364745,76.570418635896,76.6505573829741,76.7273842750373,76.8008720550204,76.8709832998257,76.9378088230337,77.0013123129337,77.0615140178124,77.1184676104932,77.1723486316237,77.2231257186949,77.270958951476,77.3158659400712,77.3580237217818,77.3975485659313,77.4344288619355,77.4688229432017,77.500879148259,77.5306362323094,77.5582742431255,77.5838203932067,77.6075018852094,77.6294416758345,77.6497690006968,77.6686169346847,77.6860364229996,77.7021898745608,77.7170387776622,77.7306927849253,77.7432094843006,77.7547078473681,77.7652861898096,77.7750838384381,77.7840797819227,77.7922949477996
9,73.8075059888741,73.9236637162685,74.0403180741797,74.1561062893749,74.2708751477512,74.3843238262586,74.4963575377295,74.6068293330326,74.7154684609128,74.8219951980279,74.9262015482337,75.0279219218951,75.1268886880318,75.2229215158279,75.3158881289866,75.4055840635819,75.4920551479029,75.5752796909559,75.6552712483688,75.7319428089157,75.8052671118272,75.8753060198122,75.9419747971364,76.0053440383276,76.0653881284358,76.1222603185087,76.1759906546811,76.2266780816522,76.2743676577262,76.3191921390781,76.3612825710747,76.4006475995836,76.4374524444028,76.4717632083969,76.5037436342424,76.5334093851302,76.5609019750797,76.586371909889,76.6099693647491,76.6318250124046,76.6520758132766,76.6708471399404,76.6882671316858,76.7043438457061,76.7191159439431,76.7326853625033,76.7451174151377,76.7565388056409,76.7671096720807,76.7768302750675,76.7857491360749
