"age","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060"
0,88.0680330541311,88.1521289630204,88.2498021321768,88.3437615394569,88.4340593566615,88.5211032887972,88.6041243939327,88.6835618922229,88.7597475859366,88.8325636967673,88.901962486298,88.9684072812922,89.0317031841602,89.0917333042767,89.1492417610776,89.2036363491041,89.2554746440998,89.3046640508537,89.3516718302802,89.3963001318336,89.4386638493544,89.4791176485493,89.5172279570169,89.5539571861508,89.5886815097413,89.6217561512407,89.6532308982894,89.6830664927102,89.7114266981658,89.7384428681453,89.7642345892346,89.7888518764966,89.81218766922,89.8343407899459,89.8554214908368,89.8753456714958,89.8943951279843,89.9126714498869,89.9297676312323,89.9461572884743,89.9617105682368,89.9764282797027,89.9902980702064,90.0033336605545,90.0159116341399,90.02781497791,90.0389660804702,90.0496512310965,90.0596260931166,90.0694365812589,90.0784896128954
1,87.5367959230415,87.5600538524081,87.6446222731808,87.7265208249059,87.8050943382157,87.8805752141276,87.9531997563088,88.0222866407834,88.0881917295746,88.151339637961,88.2114372804957,88.2686164760218,88.3231672484399,88.3748958218285,88.4237756765788,88.4704666535384,88.514464991407,88.5561538212393,88.5955306099402,88.6330654654913,88.6684719239615,88.7019554930237,88.7337837112463,88.7636119208699,88.7922275471919,88.8191843441679,88.8446605898399,88.8687961411708,88.8915522653844,88.9130936960065,88.9334631761453,88.9528704235237,88.9712765242026,88.9886640525635,89.0049534248677,89.0204344211065,89.0349335982783,89.0487335381878,89.0619362380913,89.0741342467962,89.085712602789,89.0967205997524,89.1069800612564,89.1165683901411,89.1254098803786,89.1339713899624,89.1419461002799,89.1493460667915,89.156368403174,89.1628582326716,89.1692725319102
2,86.4986286640331,86.5727495436693,86.6566520407504,86.7380225679309,86.8164918928024,86.8920407457737,86.9646976395384,87.0341509988415,87.1005110998054,87.1639707599123,87.2244316954507,87.2820291725821,87.3368796849087,87.3889846246496,87.4383250096353,87.4852096883576,87.529571600163,87.5715329646155,87.6112105249891,87.6488782046594,87.6844281604716,87.7180554101948,87.7498997547888,87.7798634803671,87.8083677961823,87.8352964017781,87.8606968716145,87.8847970860943,87.9074396024651,87.9288635828298,87.9491078803224,87.9682971666769,87.9864427114558,88.0035894797528,88.019743011348,88.0350806812608,88.0494786674802,88.0630738515823,88.0759854158569,88.0880130647402,88.0993442608829,88.1100767578788,88.1201344905107,88.1295693024419,88.1383398127591,88.1466622312779,88.1544280777768,88.1616212111083,88.1684188974708,88.1746812032707,88.1807036945456
3,85.4309569999509,85.5178945145486,85.6031957601119,85.6860825783984,85.7663143139519,85.8437881879036,85.9184473114115,85.9900681145127,86.0586384355995,86.1242363075114,86.1868096384222,86.2464868746543,86.3033293110587,86.3573979292864,86.4087268280017,86.4574356319656,86.5035462762864,86.5472603303403,86.5885746181682,86.6277322970953,86.6647508550505,86.6997605414553,86.7328712656853,86.7640786664764,86.7936534788768,86.8216224743634,86.8480386776328,86.8730316749596,86.8966257684308,86.9188636272333,86.9398876586309,86.9597513467565,86.9785427533982,86.9962882022916,87.0130387150082,87.0289202876103,87.0438855775455,87.0580151577974,87.0713489530536,87.0838676092377,87.0956247938004,87.1066941541901,87.1171471763607,87.1269428394615,87.1361154757653,87.1447551740327,87.1528152429347,87.160327419297,87.1673632353469,87.1739071122731,87.1800382899496
4,84.354885501577,84.4453115446088,84.5323573734619,84.6171818322952,84.6995277068781,84.7792650335859,84.8563159538742,84.9305034384501,85.0016934168819,85.0698955272401,85.1350617789883,85.197278206955,85.2565788010393,85.3130607326375,85.3667642802565,85.4177763285218,85.4661171696422,85.5119234296545,85.5553233363792,85.5963918156389,85.6352429628119,85.6720234669225,85.7067861082274,85.7395718200959,85.7705918502853,85.7999272555338,85.8276393011338,85.8538760023468,85.8786115530339,85.9020257262882,85.9240834842345,85.9449099620004,85.9645845819445,85.9831954241541,86.0007601759912,86.0173817785617,86.0330651221601,86.0479099617911,86.0619103561209,86.0750542860824,86.0874522555584,86.0990800281611,86.1100372371056,86.1203607321321,86.130026813521,86.1391391289579,86.1476491571848,86.1555795118308,86.1630399299958,86.1699459612537,86.1764206920261
5,83.2752642459947,83.366122809117,83.4548853817273,83.5416238802979,83.6261039419747,83.7081084969544,83.7875669500544,83.8643386209932,83.9382291829622,84.0091721476783,84.0770842738773,84.1420275312095,84.2039780266356,84.2630544510264,84.3193032036275,84.3727815471536,84.423559426002,84.471699626922,84.5173048547279,84.5605288814554,84.6014041407284,84.6401128379865,84.6767250923816,84.7112681030521,84.7439191491146,84.7747957940898,84.803953507119,84.8315559296636,84.85761458399,84.8822402211336,84.9055358216775,84.9274492594292,84.948156930271,84.9677211897551,84.9862130342131,85.0036929023612,85.0201696906503,85.0357680097234,85.0505192128358,85.0644088003804,85.0774675366399,85.089771706943,85.1013484338381,85.1122203208893,85.1224498944216,85.1320648324115,85.1410917235895,85.149507731337,85.1574211265876,85.1647874738353,85.1716422429769
6,82.1914268424379,82.2838733211405,82.3741860751379,82.4627000999977,82.5491644020808,82.6333445409515,82.7151149146558,82.7943718222495,82.8708913155263,82.9445623848991,83.0152601882342,83.0830017409198,83.1477153824664,83.2094943005468,83.2683819507021,83.324424719514,83.377713411704,83.4283264195588,83.476301402149,83.5217578898896,83.5648160777509,83.6055924949437,83.6441516603337,83.6805804746784,83.7149903233628,83.7475417155227,83.7782595593769,83.8073341634364,83.8347774566309,83.860752745622,83.8852864749901,83.9084394220514,83.9302607403004,83.9508846497922,83.9703481767335,83.9887730052514,84.0061097425389,84.0225109317768,84.0380335986648,84.0526921891022,84.0665060237241,84.07948896227,84.091768049112,84.1032689062448,84.114064887398,84.1242354469519,84.1337744173879,84.1427168481517,84.1511245523752,84.1589619056732,84.1662691205804
7,81.1076575672113,81.2000865926418,81.2917494873726,81.3818334812456,81.4701016659924,81.5562619617666,81.6402111755765,81.7218157195755,81.8008321840034,81.8771270280176,81.9505645675175,82.0211107275807,82.0886175759744,82.1531703116923,82.2147796060963,82.2734475306827,82.3293280705951,82.382454152495,82.4329041895224,82.480732454952,82.52603362052,82.569002649982,82.6096315248866,82.6480179532765,82.684298729728,82.7186268978985,82.7510215354941,82.7816657098482,82.8105748817669,82.8379442383427,82.8638288141514,82.8882133499117,82.9112836983304,82.9330223276349,82.9535634661843,82.9729608395194,82.9912276112603,83.0084897005808,83.0248078324097,83.0402557399128,83.054831165401,83.0685701419146,83.0815450429882,83.0937408381168,83.1051667219891,83.1158960554702,83.1259832117368,83.1354471096031,83.1443897192174,83.1527139388409,83.1604845126355
8,80.0217939250165,80.1154768892263,80.2082377130124,80.299667466797,80.3895176204171,80.4774702805109,80.5633952266783,80.6471895338027,80.7285574100565,80.8073365107477,80.8833933080475,80.9566735889455,81.0269804588609,81.0943289791015,81.1587229160599,81.2200912393969,81.2785994201599,81.334319811854,81.3872853598092,81.4375744981637,81.4852415192351,81.5304631459316,81.573270349079,81.6137371091016,81.6519611527743,81.6881614825423,81.7223268193565,81.7546406600618,81.7851216123814,81.81394968452,81.8412378219835,81.8669586991138,81.8912617702011,81.9142505579467,81.9359075339072,81.9563669350008,81.9756000164928,81.9937848789536,82.010964992401,82.0272010865389,82.0425668994296,82.057060175934,82.070799523405,82.0836921910721,82.0958057074485,82.1071492697809,82.1177962429316,82.1278010033631,82.1372651094375,82.1461252696247,82.1543670096503
9,78.936944963891,79.0301441517578,79.1237735726464,79.216304275981,79.3075121596693,79.3970355777395,79.4847565599385,79.5705291930065,79.6540985193135,79.7352246801985,79.8137693860354,79.8896554182922,79.9627080657548,80.0328510897182,80.1000513796018,80.1641917628654,80.2254108686895,80.2837613375844,80.3393236111164,80.3921225641047,80.4422366367231,80.4898254136281,80.5348794265156,80.5775430230104,80.6178415680413,80.6559782742743,80.6920180118045,80.7260875001473,80.7582484461994,80.7886413343487,80.8173974690792,80.8445159399213,80.8701564834267,80.8943709757862,80.9172792244003,80.9388392793495,80.959144644473,80.9782969034866,80.996392721795,81.0134837201334,81.0296387862948,81.044923513666,81.059417209032,81.0730753804597,81.0858868219097,81.0979109063927,81.109164991262,81.1197306076247,81.1297274421987,81.1391101324776,81.147888844977
