"age","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100"
0,88.0680330541311,88.1521289630204,88.2498021321768,88.3437615394569,88.4340593566615,88.5211032887972,88.6041243939327,88.6835618922229,88.7597475859366,88.8325636967673,88.901962486298,88.9684072812922,89.0317031841602,89.0917333042767,89.1492417610776,89.2036363491041,89.2554746440998,89.3046640508537,89.3516718302802,89.3963001318336,89.4386638493544,89.4791176485493,89.5172279570169,89.5539571861508,89.5886815097413,89.6217561512407,89.6532308982894,89.6830664927102,89.7114266981658,89.7384428681453,89.7642345892346,89.7888518764966,89.81218766922,89.8343407899459,89.8554214908368,89.8753456714958,89.8943951279843,89.9126714498869,89.9297676312323,89.9461572884743,89.9617105682368,89.9764282797027,89.9902980702064,90.0033336605545,90.0159116341399,90.02781497791,90.0389660804702,90.0496512310965,90.0596260931166,90.0694365812589,90.0784896128954,90.0873136850079,90.0954595421558,90.1032462961889,90.110738608351,90.1179539843219,90.124583451442,90.1308261915076,90.1368629089892,90.1424265398772,90.147728454433,90.152570787562,90.1571299540675,90.1616385284971,90.1660610352122,90.1701254176587,90.1739541579041,90.1773274563952,90.1807878712653,90.184184884415,90.1872890091121,90.189791278877,90.1923508826415,90.1945521250387,90.1968457164078,90.1987555975937,90.2008760409104,90.2028408237075,90.2043383015059,90.2060229021274,90.2078751628551,90.2094069814439,90.2110127339002,90.212291479675,90.2138122330621,90.2149779103244,90.2161717245982,90.2175109769067,90.2183815408939,90.219358576843,90.2202557749147
1,87.5367959230415,87.5600538524081,87.6446222731808,87.7265208249059,87.8050943382157,87.8805752141276,87.9531997563088,88.0222866407834,88.0881917295746,88.151339637961,88.2114372804957,88.2686164760218,88.3231672484399,88.3748958218285,88.4237756765788,88.4704666535384,88.514464991407,88.5561538212393,88.5955306099402,88.6330654654913,88.6684719239615,88.7019554930237,88.7337837112463,88.7636119208699,88.7922275471919,88.8191843441679,88.8446605898399,88.8687961411708,88.8915522653844,88.9130936960065,88.9334631761453,88.9528704235237,88.9712765242026,88.9886640525635,89.0049534248677,89.0204344211065,89.0349335982783,89.0487335381878,89.0619362380913,89.0741342467962,89.085712602789,89.0967205997524,89.1069800612564,89.1165683901411,89.1254098803786,89.1339713899624,89.1419461002799,89.1493460667915,89.156368403174,89.1628582326716,89.1692725319102,89.1750176172084,89.1806226374373,89.18572761226,89.190472683591,89.1951020001321,89.1995434400196,89.2034877976997,89.207134489172,89.2106644123163,89.2137206046121,89.2166940714956,89.2192971193454,89.2216166106794,89.2239750266983,89.2263368786429,89.2284299460991,89.2302870878038,89.2318678500882,89.2335356808698,89.235139971304,89.2365408491712,89.2374292047961,89.2384646012056,89.239141396961,89.2399105370818,89.2403854775763,89.2411607774994,89.2417803058814,89.242022036623,89.2424509418174,89.2430475432551,89.2434132904783,89.243942717856,89.2441449968151,89.2445893486316,89.2447682279097,89.2449752384384,89.2453277166814,89.2453010930871,89.245380963894
2,86.4986286640331,86.5727495436693,86.6566520407504,86.7380225679309,86.8164918928024,86.8920407457737,86.9646976395384,87.0341509988415,87.1005110998054,87.1639707599123,87.2244316954507,87.2820291725821,87.3368796849087,87.3889846246496,87.4383250096353,87.4852096883576,87.529571600163,87.5715329646155,87.6112105249891,87.6488782046594,87.6844281604716,87.7180554101948,87.7498997547888,87.7798634803671,87.8083677961823,87.8352964017781,87.8606968716145,87.8847970860943,87.9074396024651,87.9288635828298,87.9491078803224,87.9682971666769,87.9864427114558,88.0035894797528,88.019743011348,88.0350806812608,88.0494786674802,88.0630738515823,88.0759854158569,88.0880130647402,88.0993442608829,88.1100767578788,88.1201344905107,88.1295693024419,88.1383398127591,88.1466622312779,88.1544280777768,88.1616212111083,88.1684188974708,88.1746812032707,88.1807036945456,88.1862610637103,88.1915517287549,88.1964312786371,88.2010037140573,88.2053237274444,88.2094258190816,88.2131674943036,88.2166167967057,88.2198657635533,88.2228918909625,88.2255799376855,88.2280703214924,88.2302961549209,88.2324455673563,88.2344431213143,88.2363421357438,88.2379902396117,88.2395038039157,88.2409441646324,88.2422674903788,88.24344596912,88.2444121294306,88.2452916893266,88.2459011961281,88.2464538034792,88.2468236453747,88.2472808734105,88.2476568682223,88.2478682008228,88.2481188229591,88.2484412594269,88.2486474062289,88.2489333024556,88.2490722659876,88.2492923064955,88.2493639359738,88.2494540753775,88.2495900971361,88.2495787196898,88.2495787196897
3,85.4309569999509,85.5178945145486,85.6031957601119,85.6860825783984,85.7663143139519,85.8437881879036,85.9184473114115,85.9900681145127,86.0586384355995,86.1242363075114,86.1868096384222,86.2464868746543,86.3033293110587,86.3573979292864,86.4087268280017,86.4574356319656,86.5035462762864,86.5472603303403,86.5885746181682,86.6277322970953,86.6647508550505,86.6997605414553,86.7328712656853,86.7640786664764,86.7936534788768,86.8216224743634,86.8480386776328,86.8730316749596,86.8966257684308,86.9188636272333,86.9398876586309,86.9597513467565,86.9785427533982,86.9962882022916,87.0130387150082,87.0289202876103,87.0438855775455,87.0580151577974,87.0713489530536,87.0838676092377,87.0956247938004,87.1066941541901,87.1171471763607,87.1269428394615,87.1361154757653,87.1447551740327,87.1528152429347,87.160327419297,87.1673632353469,87.1739071122731,87.1800382899496,87.1857805542632,87.1912154774213,87.196252121897,87.2009828415325,87.2054327265765,87.2096038516765,87.2134517741217,87.217053273693,87.2203799202847,87.2234798964733,87.2263833315389,87.2289311188463,87.2312987738834,87.2335071425208,87.2355425773468,87.237391048128,87.2391585175291,87.2406838372586,87.2421886738104,87.2435062376081,87.2446892103811,87.2457273283727,87.2467110631443,87.2474502500523,87.2480509970424,87.248463220279,87.2488418455277,87.2491674602301,87.2494030639686,87.2496319506993,87.2498738028853,87.2500558456002,87.2502619961954,87.2504074969183,87.2505640128959,87.2506436560024,87.2507152865838,87.2507966522955,87.250801049835,87.250798447311
4,84.354885501577,84.4453115446088,84.5323573734619,84.6171818322952,84.6995277068781,84.7792650335859,84.8563159538742,84.9305034384501,85.0016934168819,85.0698955272401,85.1350617789883,85.197278206955,85.2565788010393,85.3130607326375,85.3667642802565,85.4177763285218,85.4661171696422,85.5119234296545,85.5553233363792,85.5963918156389,85.6352429628119,85.6720234669225,85.7067861082274,85.7395718200959,85.7705918502853,85.7999272555338,85.8276393011338,85.8538760023468,85.8786115530339,85.9020257262882,85.9240834842345,85.9449099620004,85.9645845819445,85.9831954241541,86.0007601759912,86.0173817785617,86.0330651221601,86.0479099617911,86.0619103561209,86.0750542860824,86.0874522555584,86.0990800281611,86.1100372371056,86.1203607321321,86.130026813521,86.1391391289579,86.1476491571848,86.1555795118308,86.1630399299958,86.1699459612537,86.1764206920261,86.1824393602649,86.1881124331237,86.1934174622595,86.1983935457709,86.2030550197849,86.2074529866949,86.2114941416445,86.2152814472571,86.2188136477421,86.2220883285969,86.2251189857327,86.2279617660793,86.2304402153769,86.2328165848928,86.2349556041847,86.2369303571302,86.2387181403633,86.2404162444461,86.2419502604874,86.2433857242738,86.2446425849828,86.2457648511963,86.2467943073808,86.247717330829,86.2484565263116,86.2490052308517,86.2494087836814,86.2497266882273,86.2499907137356,86.2502167771856,86.2504491360812,86.2506311325893,86.2508149119097,86.2509612061249,86.2510971653993,86.2511929567649,86.2512760704997,86.2513485691169,86.2513692094428,86.2513640643608
5,83.2752642459947,83.366122809117,83.4548853817273,83.5416238802979,83.6261039419747,83.7081084969544,83.7875669500544,83.8643386209932,83.9382291829622,84.0091721476783,84.0770842738773,84.1420275312095,84.2039780266356,84.2630544510264,84.3193032036275,84.3727815471536,84.423559426002,84.471699626922,84.5173048547279,84.5605288814554,84.6014041407284,84.6401128379865,84.6767250923816,84.7112681030521,84.7439191491146,84.7747957940898,84.803953507119,84.8315559296636,84.85761458399,84.8822402211336,84.9055358216775,84.9274492594292,84.948156930271,84.9677211897551,84.9862130342131,85.0036929023612,85.0201696906503,85.0357680097234,85.0505192128358,85.0644088003804,85.0774675366399,85.089771706943,85.1013484338381,85.1122203208893,85.1224498944216,85.1320648324115,85.1410917235895,85.149507731337,85.1574211265876,85.1647874738353,85.1716422429769,85.1780571272892,85.1840159316535,85.1896034192516,85.1948742627391,85.1997990109498,85.2044348500783,85.2087386081319,85.2127541098692,85.2164814695975,85.2199880035334,85.2232027229887,85.2262077016572,85.2289905077929,85.2314775599794,85.2337939445728,85.2359072674737,85.2378477471931,85.2395755318317,85.2412822270233,85.2427579534631,85.2441608479843,85.2453885666184,85.2464851186462,85.247486286803,85.2484118901523,85.2491185069512,85.2496440633203,85.2500150341446,85.2503020708238,85.2505403729377,85.2507724403907,85.2509713579066,85.2511559280577,85.2513088380261,85.2514294076512,85.2515310670487,85.2516320039968,85.2517176907087,85.2517550314724,85.2517499463674
6,82.1914268424379,82.2838733211405,82.3741860751379,82.4627000999977,82.5491644020808,82.6333445409515,82.7151149146558,82.7943718222495,82.8708913155263,82.9445623848991,83.0152601882342,83.0830017409198,83.1477153824664,83.2094943005468,83.2683819507021,83.324424719514,83.377713411704,83.4283264195588,83.476301402149,83.5217578898896,83.5648160777509,83.6055924949437,83.6441516603337,83.6805804746784,83.7149903233628,83.7475417155227,83.7782595593769,83.8073341634364,83.8347774566309,83.860752745622,83.8852864749901,83.9084394220514,83.9302607403004,83.9508846497922,83.9703481767335,83.9887730052514,84.0061097425389,84.0225109317768,84.0380335986648,84.0526921891022,84.0665060237241,84.07948896227,84.091768049112,84.1032689062448,84.114064887398,84.1242354469519,84.1337744173879,84.1427168481517,84.1511245523752,84.1589619056732,84.1662691205804,84.1730901404387,84.1794458588136,84.1853285440732,84.1908991800965,84.1961108169302,84.2010271669396,84.2055783676675,84.2098652418475,84.2138214972955,84.2175404322344,84.2209792331918,84.2241855178405,84.2271312223543,84.2299140588228,84.2323418254582,84.2346497602135,84.2367402255361,84.2386205598885,84.2403517498986,84.2419974464636,84.2434545417965,84.2448430412249,84.2460267017968,84.2471097025431,84.2481125730407,84.2490186909538,84.2496863279474,84.2501923952912,84.2505472659103,84.2507910814775,84.2510361650491,84.2512487410702,84.251449354733,84.2516169756,84.2517266630087,84.2518268927873,84.2519344852967,84.252037117766,84.2521007693384,84.2520965817334
7,81.1076575672113,81.2000865926418,81.2917494873726,81.3818334812456,81.4701016659924,81.5562619617666,81.6402111755765,81.7218157195755,81.8008321840034,81.8771270280176,81.9505645675175,82.0211107275807,82.0886175759744,82.1531703116923,82.2147796060963,82.2734475306827,82.3293280705951,82.382454152495,82.4329041895224,82.480732454952,82.52603362052,82.569002649982,82.6096315248866,82.6480179532765,82.684298729728,82.7186268978985,82.7510215354941,82.7816657098482,82.8105748817669,82.8379442383427,82.8638288141514,82.8882133499117,82.9112836983304,82.9330223276349,82.9535634661843,82.9729608395194,82.9912276112603,83.0084897005808,83.0248078324097,83.0402557399128,83.054831165401,83.0685701419146,83.0815450429882,83.0937408381168,83.1051667219891,83.1158960554702,83.1259832117368,83.1354471096031,83.1443897192174,83.1527139388409,83.1604845126355,83.1677751269786,83.1745293299661,83.180801476817,83.1866842573768,83.1921796606496,83.197391377222,83.2022241001861,83.2067669953196,83.2109869615572,83.2149348985255,83.2185869080302,83.2220173797707,83.2251567240255,83.2281024627097,83.2308099736964,83.2332377663091,83.2355373522052,83.2375566627334,83.239438690208,83.2410987171677,83.2427360541383,83.2441873002296,83.2455113277388,83.2466908104218,83.247774657234,83.2487683233295,83.2496133110974,83.2502725778036,83.2507727861356,83.2510631708704,83.2513120130181,83.2515478854434,83.2517613002809,83.2519552150148,83.2520591853051,83.2521588230332,83.2522632409421,83.2523725090595,83.2524642542445,83.2524642542445
8,80.0217939250165,80.1154768892263,80.2082377130124,80.299667466797,80.3895176204171,80.4774702805109,80.5633952266783,80.6471895338027,80.7285574100565,80.8073365107477,80.8833933080475,80.9566735889455,81.0269804588609,81.0943289791015,81.1587229160599,81.2200912393969,81.2785994201599,81.334319811854,81.3872853598092,81.4375744981637,81.4852415192351,81.5304631459316,81.573270349079,81.6137371091016,81.6519611527743,81.6881614825423,81.7223268193565,81.7546406600618,81.7851216123814,81.81394968452,81.8412378219835,81.8669586991138,81.8912617702011,81.9142505579467,81.9359075339072,81.9563669350008,81.9756000164928,81.9937848789536,82.010964992401,82.0272010865389,82.0425668994296,82.057060175934,82.070799523405,82.0836921910721,82.0958057074485,82.1071492697809,82.1177962429316,82.1278010033631,82.1372651094375,82.1461252696247,82.1543670096503,82.162137738858,82.1693458296276,82.1760174848874,82.182289744638,82.1880899429575,82.1935854396529,82.1987145460693,82.2035473463577,82.2080076061291,82.2122276356667,82.2160929157202,82.2197449763534,82.2230927729867,82.2262321580532,82.2290952058957,82.2318027493727,82.2342305711191,82.2364474481216,82.2384667808623,82.2402660887318,82.2419261322919,82.243563485636,82.2449320012664,82.246256040692,82.2474355339903,82.2485193905572,82.249430316124,82.2502753106519,82.2509345826322,82.2513520435724,82.25164243034,82.2518912742296,82.252127148306,82.2523405646374,82.2524517282356,82.2525556991498,82.2526553374757,82.2527597560111,82.2528690247841,82.2528780176002
9,78.936944963891,79.0301441517578,79.1237735726464,79.216304275981,79.3075121596693,79.3970355777395,79.4847565599385,79.5705291930065,79.6540985193135,79.7352246801985,79.8137693860354,79.8896554182922,79.9627080657548,80.0328510897182,80.1000513796018,80.1641917628654,80.2254108686895,80.2837613375844,80.3393236111164,80.3921225641047,80.4422366367231,80.4898254136281,80.5348794265156,80.5775430230104,80.6178415680413,80.6559782742743,80.6920180118045,80.7260875001473,80.7582484461994,80.7886413343487,80.8173974690792,80.8445159399213,80.8701564834267,80.8943709757862,80.9172792244003,80.9388392793495,80.959144644473,80.9782969034866,80.996392721795,81.0134837201334,81.0296387862948,81.044923513666,81.059417209032,81.0730753804597,81.0858868219097,81.0979109063927,81.109164991262,81.1197306076247,81.1297274421987,81.1391101324776,81.147888844977,81.1561307630262,81.163811829841,81.1709383973988,81.1776101827571,81.1837927125965,81.1895930176407,81.1950069204064,81.20013611607,81.2048791250334,81.2093394575076,81.2134778423135,81.2173431815063,81.2209054049711,81.2242532491434,81.227302778707,81.2301576910395,81.2328734430017,81.2352113877708,81.237428291376,81.2393659089421,81.2411652366041,81.2428252984248,81.2443760206953,81.2457404626417,81.2470645151621,81.2482505599855,81.2492395981855,81.2501562542884,81.2509979862799,81.2515722424089,81.2519798963671,81.2522768255467,81.2525248538421,81.2527582771637,81.2528858545676,81.2530035591472,81.2530977203908,81.2531973593774,81.2533091364025,81.2533317473323
