"age","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060"
0,84.254439108057,84.3675160226215,84.4962140008061,84.621338415906,84.7424477504352,84.859604646266,84.9727560127441,85.0817850127365,85.1866988767758,85.2877719236588,85.3848909830195,85.4779184001732,85.5672389395351,85.6524293281441,85.7338381318308,85.8120164277178,85.8865615071141,85.9578776842921,86.0258082611871,86.0905625624954,86.1524359348607,86.21163993946,86.2677453030371,86.3213173808261,86.372511550301,86.4212782173252,86.4677678520076,86.5117504910771,86.5536829511863,86.5937393662588,86.6317514516629,86.668082786576,86.7025350366185,86.7353655434306,86.7661914489609,86.7956465106854,86.8236474100267,86.8504840805183,86.8758976214012,86.9004898143137,86.9237316735913,86.9456526903651,86.9664637106952,86.9865950601386,87.0056565228951,87.0239289391141,87.0416381914811,87.0584749725469,87.0746457694539,87.0899678509834,87.1044501527307
1,83.7856539475791,83.8219468686372,83.9357899757431,84.0465040197394,84.1540762429682,84.2583209947706,84.358967202242,84.4562202844122,84.5497973609903,84.6397948870586,84.7263223070489,84.8093545513229,84.8887568411305,84.9648337465755,85.0372485549492,85.1062689753445,85.1724511514913,85.2353073931007,85.2953316966139,85.3523689826856,85.4065456267672,85.4581598878893,85.507425737556,85.5539140120262,85.5981074155925,85.6403353364799,85.6803770635989,85.718384619955,85.7542146769393,85.7882401637206,85.8206365539854,85.851149583452,85.8803172115438,85.9078549987291,85.9339351516939,85.9582609608732,85.981381744513,86.0033009581466,86.0242231027439,86.0439756853229,86.0629889548068,86.0809063439877,86.0976712113053,86.1134951003368,86.1288093328557,86.1431366357723,86.156931814023,86.1702479933389,86.1828622312843,86.1948948113115,86.2062495954384
2,82.7203149642797,82.8237241898209,82.9363993571186,83.0463122404006,83.1533534084833,83.2573302282219,83.3580059325845,83.455380142192,83.5492831433939,83.6396658601311,83.7266555520501,83.8101910409951,83.8902883675036,83.967017772233,84.040227152749,84.1100573316821,84.1767786616272,84.2403204453538,84.3009342755959,84.3586373936258,84.4134896123489,84.4656533354994,84.5152999487168,84.5623484937113,84.6070241318323,84.6495695413203,84.6899286947538,84.7282529409174,84.7644387635021,84.7987265205636,84.8312308096731,84.8620097706202,84.8913032560885,84.9190103467459,84.9452550856354,84.9698013511173,84.9929759425983,85.0148774318114,85.0356807749891,85.055400653032,85.0742395669977,85.0920794112991,85.1088535000084,85.1247385632842,85.1398191320734,85.1540074329796,85.1675132845382,85.1804943080522,85.1928894334212,85.2047101190327,85.2159635197409
3,81.6289848452111,81.7465474286089,81.8604384647244,81.9718081170669,82.0805278421907,82.1863809293466,82.2891686271287,82.3887737555648,82.4850550209853,82.5778876669536,82.6673000073997,82.7533157376645,82.8358815326316,82.915124525662,82.9908851556045,83.0632452381666,83.1323462283998,83.1981973024344,83.2610111309822,83.32087632612,83.3778529504026,83.432078173214,83.483619456964,83.5325208171373,83.5789695151543,83.6231428528873,83.6650695522333,83.704906825952,83.7426146611686,83.7783054492082,83.8120992980475,83.8440892666482,83.874497200164,83.9032998260986,83.9306170701163,83.9563522590253,83.9805310488129,84.003322402959,84.0248585520507,84.0452773874618,84.0647377758651,84.0831940848972,84.1006552834352,84.1171709591038,84.1328206117287,84.1475217060762,84.1614573134237,84.1747103290374,84.1874129870614,84.1995550261073,84.2111309794073
4,80.5291414402442,80.6486204353542,80.7641852058847,80.87744839818,80.9882484237952,81.0963919838747,81.2016655542744,81.3039294687368,81.4030223314541,81.4987734160888,81.5911444804397,81.6800950272931,81.7656436368243,81.8478019963594,81.9265728639481,82.0019188018635,82.0739217688416,82.1426182327028,82.208108365555,82.2705736423265,82.330074509283,82.386759151473,82.440688628531,82.4918767378928,82.5404674096179,82.5866712926003,82.6305494548748,82.6722470074384,82.7117798351072,82.7492493619464,82.784693140201,82.8182562896836,82.850056917079,82.880216886855,82.9088463299562,82.9359317696951,82.9614766363707,82.9854732425385,83.0080738771819,83.0294358397159,83.0497304694201,83.0690163999711,83.0872897617506,83.1046347693377,83.1210174374363,83.1364838094949,83.1510600710803,83.1648707705161,83.178015545373,83.1906015382377,83.2026184858822
5,79.4233060459048,79.5431477655139,79.6603652327047,79.7755222791989,79.8884133533808,79.9988321974213,80.1065914578264,80.2115109509631,80.3134522072802,80.4121851175661,80.5076356526753,80.5997092117473,80.6883543043824,80.7736324422371,80.855481591339,80.9339748758378,81.0090749844861,81.0808232145503,81.1492723772415,81.2145472181817,81.2767557313739,81.3360646899751,81.3925569392602,81.4462607848089,81.4972227825353,81.5456525310063,81.5916541047746,81.6354035137836,81.6768980882434,81.7162604992052,81.7535593355332,81.788865079901,81.8222899830665,81.8539192253189,81.8839735103954,81.9124559164748,81.9394023954787,81.964832886769,81.988690238726,82.0111762390837,82.0324564723449,82.0526445263384,82.071807279891,82.0900069282809,82.1072368563156,82.1235043674892,82.1388885661628,82.1533743331618,82.1671358190062,82.1801982737953,82.1926936369216
6,78.3144800674337,78.4343560822358,78.5530412669144,78.6699298074861,78.7847812495526,78.8973571206791,79.0074582091642,79.1149162747399,79.219583186399,79.3212184340007,79.4197052080003,79.5149166788013,79.606742274963,79.6951625846703,79.7801910659238,79.8618058165953,79.9400800462192,80.0149926189679,80.0865204801475,80.1547970416169,80.2198503381395,80.281901374601,80.3410524290366,80.3973620998543,80.4508505679145,80.5016777522989,80.5499399594267,80.5958466516682,80.6394279296025,80.6807784367116,80.719988411117,80.757183325094,80.792360576252,80.8256323978709,80.8571815828897,80.8871312698277,80.9154763746185,80.9423342667383,80.9676271784589,80.9914038572924,81.0138172439779,81.0350084781712,81.0550992978828,81.0741973688589,81.0922751620018,81.1094157986284,81.1256102810681,81.1409213997968,81.1553830308772,81.1690631861544,81.1820524353407
7,77.2029909429124,77.3240518371338,77.4439716706885,77.5623541747031,77.6789523105909,77.7935057916975,77.9057816829095,78.0155895691747,78.1228199081613,78.2271878654349,78.3285964453317,78.4268635498886,78.521838688682,78.6134508111459,78.7016330937701,78.786438591129,78.8678296062567,78.9459429404647,79.0206383838661,79.0920121395207,79.1600623977195,79.224968516823,79.2868639632014,79.3458590050693,79.4019403498682,79.4552879632576,79.5059579565531,79.5541426915953,79.599891594058,79.6433228004445,79.6845229664987,79.7236465259929,79.760698666709,79.7957248966422,79.8289258163139,79.8603878984004,79.8901940778752,79.9184518022894,79.9451658867408,79.970379218368,79.9940842656694,80.016417882275,80.0375212096341,80.0575482101247,80.0765018238572,80.0944995394925,80.1115600376069,80.1276823858787,80.1429858338092,80.1573752434418,80.1709750656076
8,76.0917024249694,76.2129629799033,76.3338859451384,76.4535133147453,76.5716022120752,76.6879055883391,76.8021631491492,76.914141958778,77.023729133399,77.1306602089006,77.2348055031039,77.3359905132067,77.4340331511318,77.5287829413399,77.6201688567874,77.7081240986899,77.7927017567396,77.8739425353671,77.95182660682,78.0263705996915,78.0975137729254,78.1654114638287,78.2301645362119,78.2919064838539,78.3506687491644,78.4065957016804,78.4597885429368,78.5103824140823,78.5584117305637,78.6040048953658,78.6472800655153,78.6884031031866,78.7273701248835,78.7642654784017,78.7992139852971,78.8323370334646,78.8636417410075,78.8933697491514,78.9214697607988,78.9481054122594,78.9732402035173,78.9968666073094,79.019121486444,79.0401459911427,79.0600145323471,79.0788891547217,79.096807813449,79.113789192496,79.1299119921999,79.1451362234569,79.1594463621226
9,74.9793918663071,75.1010763772431,75.2228113783212,75.3434560270175,75.4627878049172,75.5805919723059,75.6966104776176,75.810577223662,75.9223377385757,76.0316328357564,76.1383517843575,76.2422721629265,76.3432441730785,76.4410575490174,76.5355925867339,76.6267552004407,76.7144863102351,76.7989163397837,76.8799315102897,76.9576666947147,77.0319837121151,77.1029690698951,77.1707161925861,77.2353182169633,77.2968386470729,77.3554333558873,77.4112156997871,77.4643181382346,77.5147667207719,77.5626426111353,77.6080820308337,77.6512734935579,77.6922422480292,77.731054720788,77.7678657174186,77.8027375292055,77.8356975628062,77.8669330830784,77.8964977070067,77.9245204153073,77.9510786517971,77.9761280718932,77.999684695405,78.0218461472322,78.0427221501799,78.0625049242802,78.0813015636491,78.0991421733061,78.1161161950955,78.1321608398412,78.1473068591713
