"age","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060"
0,86.1711682575324,86.2765140415945,86.3978497979046,86.5155914537539,86.6293379845845,86.7392020688111,86.845174188838,86.9471755547434,87.0452493122686,87.1397060853413,87.2304654072771,87.3174160516831,87.4009751121342,87.4807287654058,87.5570469995398,87.6305018530911,87.7006867224475,87.7680157834806,87.8323289374916,87.8938368907668,87.9528235586885,88.0094876968163,88.0633728833473,88.1150378914092,88.1646226034231,88.2120566134779,88.2574731922638,88.3006183157282,88.341940631355,88.3816020581352,88.4194057468971,88.4556994570737,88.4902572821916,88.5233203834082,88.5544768606587,88.5843533217816,88.6128451341523,88.6402294585441,88.6662250271455,88.6914312628871,88.7152931603876,88.737826962846,88.7592357821159,88.7799487193791,88.7995583834708,88.818350958092,88.8365579846856,88.8538645449836,88.8704821478561,88.8862249308795,88.9011028263607
1,85.7249303760559,85.751663492912,85.8577230845124,85.9605981307184,86.0603255265522,86.1567659286322,86.24969080985,86.3393549013149,86.4255095793231,86.5082890539567,86.5878352843812,86.6641576981084,86.7371478188306,86.8071405979553,86.8738104079912,86.937444388165,86.9986194956307,87.0568420730424,87.1126176255985,87.1657874446697,87.2164772795251,87.264973734338,87.3114777611489,87.3555328006241,87.3976130152146,87.4380357214946,87.4765556193628,87.5133073827309,87.5481252588678,87.5813721121643,87.6132110985449,87.643357460914,87.6723368324596,87.6998352984716,87.7260070205718,87.7505279451942,87.7739384123661,87.7962222936935,87.8175694867782,87.8377868726825,87.8572987459289,87.8757260572079,87.8929971018687,87.9093156804816,87.925111894018,87.939889475581,87.9541121830927,87.9678352225173,87.9808318351663,87.9932255412865,88.0049188705567
2,84.6684247280327,84.7638870701643,84.8687666740142,84.9707912158748,85.0698954948522,85.1659323898037,85.2587103000514,85.3482775211655,85.4345051564502,85.5173836447731,85.5970786355339,85.6735576281296,85.7468720556979,85.8171229213982,85.8841784493089,85.9482009468964,86.0094801505347,86.0679525566843,86.1238797209679,86.1772800547572,86.2282143110305,86.2768449725397,86.3233289986636,86.3675661038224,86.4097679032228,86.4501633717648,86.4886762215129,86.5254410440342,86.5603315473707,86.5935737162138,86.6252666095809,86.6554535606279,86.6843542824566,86.7118420852521,86.7380200932827,86.7626255534434,86.7859709842764,86.8081365089657,86.8292810839068,86.8494007950899,86.8686853716883,86.8869992476235,86.9042593265182,86.9206321645939,86.9361918826195,86.9508385944126,86.9647775350053,86.9781690451879,86.9909517395895,87.003138179099,87.0147363823061
3,83.5852312974606,83.6952787385079,83.8014666080774,83.9050054402581,84.0058045178225,84.10368884833,84.1985050661069,84.2901839152464,84.3786295290394,84.4637590038264,84.5456419120601,84.6243379780681,84.6998227289841,84.7722611608123,84.8415193421074,84.907704604071,84.970979858745,85.0313679056592,85.089094816432,85.1442555765622,85.1969123394036,85.2472048706764,85.2951986344765,85.34092046423,85.3845440574848,85.4262321117598,85.4659950447905,85.503974365768,85.5401092019933,85.5744937679568,85.6072312203258,85.6383986132827,85.6682064592262,85.6966057420269,85.7236953040736,85.7493528586441,85.7735829829604,85.7965370031497,85.8183294112606,85.8390813084747,85.8589360223559,85.8778298812111,85.8957570871863,85.9127532826812,85.928885729067,85.9440579339807,85.9584466029563,85.9721273534586,85.9852346002228,85.9977588453475,86.0096953654872
4,82.4932091094917,82.6053403565325,82.7133395650073,82.8188823500583,82.921835849498,83.0220430486257,83.11933222746,83.2136104938408,83.3047633348608,83.392664772174,83.477320413901,83.5587294257076,83.6369463008593,83.712013051284,83.7839674751504,83.85280052169,83.9186196479845,83.9814804230905,84.0414986672757,84.098868551283,84.1536562663524,84.2060140198223,84.2560037822297,84.3036361765014,84.3490401288382,84.3924132194489,84.4337993761576,84.4733279265722,84.5109959840395,84.5468871687951,84.5810192318771,84.613520877113,84.6444947408622,84.674049198593,84.7022715046932,84.7291242263738,84.7545873296062,84.7786313285026,84.8013905141862,84.8230049838218,84.8436300027301,84.8633065117639,84.8820134973731,84.8998220219684,84.9166823597002,84.9326275962082,84.9476722940745,84.9619333787075,84.9755035691689,84.9884916497075,85.0008881205867
5,81.3949243762289,81.5075591766802,81.6173718871895,81.7249519504774,81.8301121523864,81.9326738795155,82.0324862137327,82.1294115745757,82.2233582881856,82.3141415053374,82.4017342231732,82.4860843604271,82.5671798353897,82.6451190643654,82.7198686360938,82.7915383318841,82.8601192188619,82.9256771617353,82.9882844410049,83.0480819967505,83.1051888646503,83.1597799381148,83.2119406154139,83.2616993841351,83.3091003517103,83.3543395556344,83.3975056434848,83.4387600102861,83.4780809514422,83.5155747080897,83.551291341071,83.5852822476187,83.6176425406159,83.6484412102095,83.6778876227519,83.7059596449548,83.732670347149,83.7580165610949,83.7819182592191,83.8045603060613,83.8260912622828,83.8466073854197,83.8661580397145,83.8847897112856,83.9024806582354,83.9192233400808,83.9350846214208,83.9500368620025,83.9642476673877,83.9777337519014,83.9906292355866
6,80.2934485642073,80.4062504584488,80.5176985552705,80.6271729178847,80.7344386041187,80.8392746682588,80.9415097225301,81.0410124300648,81.137678032216,81.231310357809,81.3218405782887,81.4091876201119,81.493283054652,81.5741476347366,81.6518305947553,81.7263395943843,81.7977844966824,81.8661729100949,81.9315048631175,81.9939350820214,82.0535055839005,82.1104509827776,82.1648802038785,82.2168538506081,82.2663921055276,82.3136549774807,82.3587226661292,82.4017915553165,82.4428738748056,82.482047398509,82.5193852104192,82.5549955112672,82.5888549915688,82.6210587459268,82.6517755295547,82.6811149874021,82.7090466433211,82.7356667772169,82.7608723600396,82.7846915932729,82.8072594175406,82.8286994097566,82.8491161560588,82.8686007039299,82.8871078406614,82.9047075341976,82.9213755838068,82.9371621808934,82.9520897581598,82.9662174468759,82.9796287179653
7,79.1891244998942,79.303263762003,79.416109340434,79.5272458763743,79.6364213292394,79.7433804281859,79.8479079085088,79.9498414006949,80.0491097055922,80.1454680081637,80.2388671621114,80.3291714516793,80.4162755753953,80.5001515762762,80.5807716631862,80.6582256109665,80.7325049075302,80.8037844945755,80.8719501134598,80.9371238308052,80.9993220091663,81.0587414870297,81.1155273107009,81.1697965776482,81.2215363604864,81.2709302662223,81.3180321251097,81.3630203618827,81.4059277002268,81.4468563952504,81.4858760495208,81.52312537966,81.5585895987805,81.592294586652,81.6244257783591,81.6550534507924,81.6842461475313,81.7120884343197,81.7385615236347,81.7636857299827,81.7874317191258,81.8099179849554,81.8312681052496,81.8516196072422,81.8709564795975,81.8893817562177,81.9068995285714,81.9234938403788,81.9392725992585,81.9541263499287,81.9681719193898
8,78.0849076025389,78.1993547510311,78.3133512253484,78.4258955447244,78.5367297148984,78.6456016865641,78.7522561838269,78.8564779453365,78.9581840720246,79.0571445714263,79.1532736464986,79.2464427143248,79.3365160733002,79.4233884404394,79.5070318851608,79.5874186430801,79.6646385255285,79.7387632869866,79.8098075042726,79.8778174799744,79.9427546265489,80.0047961491816,80.0640585394287,80.1206868695529,80.1747175853286,80.2262990716303,80.2755343404623,80.3225580616337,80.3673870828827,80.4101349178539,80.4509038392554,80.4898444546724,80.5269335560443,80.5622373173855,80.5958627261123,80.6279142036682,80.6583808761957,80.6874935823255,80.7151745523161,80.7415674060196,80.7666112753285,80.7902768290251,80.8126825691646,80.8339520813824,80.8541415465399,80.8733976449091,80.8917420825132,80.90917895367,80.9257737301246,80.9414714893035,80.9562441847455
9,76.979568873615,77.0945287275791,77.2094615302705,77.3231711117122,77.4354108774696,77.5459517040366,77.6545302534414,77.7608853011042,77.8648820498975,77.9662875732709,78.0650295120428,78.1609269823531,78.253876729397,78.3437141758061,78.4303655763624,78.5137793737975,78.593935714876,78.6710036183393,78.7448966046214,78.8157876892086,78.8835646420047,78.9483396485104,79.0102265122034,79.0693338113832,79.1257349811239,79.1795938272563,79.2310269813463,79.2801694336556,79.3270442154565,79.3717160125755,79.4143063357697,79.4549894348276,79.4937720524568,79.5307029133824,79.5659202650093,79.5994671210333,79.6313517649227,79.6617475988931,79.6906931271499,79.7182949832982,79.7446086190549,79.7695651409742,79.7931593017033,79.8154694676021,79.8365870782244,79.8566888132009,79.8758651460928,79.8941297527098,79.911559100593,79.9280739401462,79.9436917045555
