"age","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100"
0,86.1711682575324,86.2765140415945,86.3978497979046,86.5155914537539,86.6293379845845,86.7392020688111,86.845174188838,86.9471755547434,87.0452493122686,87.1397060853413,87.2304654072771,87.3174160516831,87.4009751121342,87.4807287654058,87.5570469995398,87.6305018530911,87.7006867224475,87.7680157834806,87.8323289374916,87.8938368907668,87.9528235586885,88.0094876968163,88.0633728833473,88.1150378914092,88.1646226034231,88.2120566134779,88.2574731922638,88.3006183157282,88.341940631355,88.3816020581352,88.4194057468971,88.4556994570737,88.4902572821916,88.5233203834082,88.5544768606587,88.5843533217816,88.6128451341523,88.6402294585441,88.6662250271455,88.6914312628871,88.7152931603876,88.737826962846,88.7592357821159,88.7799487193791,88.7995583834708,88.818350958092,88.8365579846856,88.8538645449836,88.8704821478561,88.8862249308795,88.9011028263607,88.9156642397435,88.9295372589342,88.942392215289,88.9548568560434,88.9665558619021,88.9780383234026,88.9887511202529,88.998862010309,89.0087769686615,89.0177829614702,89.0263490933281,89.0342307166321,89.0417719198899,89.0487512599895,89.0554149447002,89.061506643065,89.0672004843057,89.0723089688488,89.0770079384936,89.0811701916044,89.0849562643715,89.0881964897683,89.0914011462604,89.0942307404231,89.0967773278799,89.0990905119153,89.1014710240988,89.1035356394614,89.105462968373,89.1074472213553,89.1091752787609,89.1109111183095,89.112529770338,89.114211704306,89.1155303063087,89.1172049714174,89.1184842193946,89.1200304580942,89.1211640020227,89.1221388401883
1,85.7249303760559,85.751663492912,85.8577230845124,85.9605981307184,86.0603255265522,86.1567659286322,86.24969080985,86.3393549013149,86.4255095793231,86.5082890539567,86.5878352843812,86.6641576981084,86.7371478188306,86.8071405979553,86.8738104079912,86.937444388165,86.9986194956307,87.0568420730424,87.1126176255985,87.1657874446697,87.2164772795251,87.264973734338,87.3114777611489,87.3555328006241,87.3976130152146,87.4380357214946,87.4765556193628,87.5133073827309,87.5481252588678,87.5813721121643,87.6132110985449,87.643357460914,87.6723368324596,87.6998352984716,87.7260070205718,87.7505279451942,87.7739384123661,87.7962222936935,87.8175694867782,87.8377868726825,87.8572987459289,87.8757260572079,87.8929971018687,87.9093156804816,87.925111894018,87.939889475581,87.9541121830927,87.9678352225173,87.9808318351663,87.9932255412865,88.0049188705567,88.015921959326,88.0266955559422,88.0368673701816,88.0461960103811,88.0552215597497,88.0636569238774,88.0719633404742,88.0794985902844,88.0866964400975,88.0936975987082,88.0998769909794,88.105704247916,88.1110231793857,88.1160010224088,88.1205048047726,88.1247809878638,88.1285730850394,88.1320554090667,88.1350403678936,88.1377039749506,88.1398303406383,88.1416687824507,88.1430495586689,88.1443946476235,88.1455416530975,88.1464054177517,88.1470355878559,88.1478217130931,88.1483803732558,88.148801635205,88.1493684574817,88.1496789262418,88.1500857979902,88.1503754000168,88.1508169321991,88.150983608619,88.1514178151904,88.1516337310649,88.15202806431,88.1520981859605
2,84.6684247280327,84.7638870701643,84.8687666740142,84.9707912158748,85.0698954948522,85.1659323898037,85.2587103000514,85.3482775211655,85.4345051564502,85.5173836447731,85.5970786355339,85.6735576281296,85.7468720556979,85.8171229213982,85.8841784493089,85.9482009468964,86.0094801505347,86.0679525566843,86.1238797209679,86.1772800547572,86.2282143110305,86.2768449725397,86.3233289986636,86.3675661038224,86.4097679032228,86.4501633717648,86.4886762215129,86.5254410440342,86.5603315473707,86.5935737162138,86.6252666095809,86.6554535606279,86.6843542824566,86.7118420852521,86.7380200932827,86.7626255534434,86.7859709842764,86.8081365089657,86.8292810839068,86.8494007950899,86.8686853716883,86.8869992476235,86.9042593265182,86.9206321645939,86.9361918826195,86.9508385944126,86.9647775350053,86.9781690451879,86.9909517395895,87.003138179099,87.0147363823061,87.0256480030405,87.0361516770736,87.0461580548523,87.0554559590719,87.0643133813944,87.0726069370471,87.0805944237954,87.0880697433709,87.0951779500157,87.1019641318277,87.1081620890093,87.1139285249033,87.1192538682252,87.124174142832,87.128657454489,87.1327903236209,87.1365865935662,87.1400078701476,87.1430247370307,87.1456661472306,87.1478710641482,87.1496472525312,87.1510533412597,87.1522735109126,87.153289252097,87.1540173867705,87.1545481470389,87.1550556585249,87.1554298742072,87.1556817874406,87.1559803660239,87.1561440155354,87.1563405549789,87.1564581908614,87.1566338602448,87.1566984993396,87.1568564212578,87.1569224970744,87.1570507694142,87.1570594351198
3,83.5852312974606,83.6952787385079,83.8014666080774,83.9050054402581,84.0058045178225,84.10368884833,84.1985050661069,84.2901839152464,84.3786295290394,84.4637590038264,84.5456419120601,84.6243379780681,84.6998227289841,84.7722611608123,84.8415193421074,84.907704604071,84.970979858745,85.0313679056592,85.089094816432,85.1442555765622,85.1969123394036,85.2472048706764,85.2951986344765,85.34092046423,85.3845440574848,85.4262321117598,85.4659950447905,85.503974365768,85.5401092019933,85.5744937679568,85.6072312203258,85.6383986132827,85.6682064592262,85.6966057420269,85.7236953040736,85.7493528586441,85.7735829829604,85.7965370031497,85.8183294112606,85.8390813084747,85.8589360223559,85.8778298812111,85.8957570871863,85.9127532826812,85.928885729067,85.9440579339807,85.9584466029563,85.9721273534586,85.9852346002228,85.9977588453475,86.0096953654872,86.0210348843774,86.0318175016831,86.0420622980786,86.0517923931374,86.0609697172278,86.0695679946926,86.0777408448573,86.0854517313888,86.0928062403279,86.0997935960063,86.1063029989184,86.1123800092085,86.1180081370109,86.1232037962593,86.1279856903477,86.1323479139028,86.13634234084,86.1400174703263,86.1432915886719,86.1461959297686,86.1486987986169,86.1507824815275,86.1524200856083,86.1538175539503,86.1549164455592,86.1557935683435,86.1564090706555,86.1569311798795,86.1573000535312,86.1575529582468,86.157796211872,86.1579648106961,86.1581197981428,86.1582036863294,86.1583039930786,86.1583496785817,86.1584229847983,86.1584509220853,86.1585083332665,86.1585066200963
4,82.4932091094917,82.6053403565325,82.7133395650073,82.8188823500583,82.921835849498,83.0220430486257,83.11933222746,83.2136104938408,83.3047633348608,83.392664772174,83.477320413901,83.5587294257076,83.6369463008593,83.712013051284,83.7839674751504,83.85280052169,83.9186196479845,83.9814804230905,84.0414986672757,84.098868551283,84.1536562663524,84.2060140198223,84.2560037822297,84.3036361765014,84.3490401288382,84.3924132194489,84.4337993761576,84.4733279265722,84.5109959840395,84.5468871687951,84.5810192318771,84.613520877113,84.6444947408622,84.674049198593,84.7022715046932,84.7291242263738,84.7545873296062,84.7786313285026,84.8013905141862,84.8230049838218,84.8436300027301,84.8633065117639,84.8820134973731,84.8998220219684,84.9166823597002,84.9326275962082,84.9476722940745,84.9619333787075,84.9755035691689,84.9884916497075,85.0008881205867,85.0126968084695,85.0239683061819,85.0346229913069,85.044756915481,85.0544188734801,85.0634681340203,85.0719982049325,85.0800600330591,85.0877026583689,85.0949888847156,85.1018565758907,85.1082976490158,85.1143234322925,85.1198831919209,85.1250275899235,85.1297325190734,85.1340434511773,85.137969446802,85.141584696986,85.1447903593889,85.1476347979467,85.1500691887607,85.1520929485245,85.1537391430344,85.1550681088156,85.1561070571725,85.156915666589,85.1575311769641,85.1580018982113,85.1582936839749,85.1585551574792,85.1587384528127,85.1589070534914,85.1589935154207,85.159077404463,85.1591203206054,85.1591574406278,85.1591716426869,85.159201293402,85.159199600218
5,81.3949243762289,81.5075591766802,81.6173718871895,81.7249519504774,81.8301121523864,81.9326738795155,82.0324862137327,82.1294115745757,82.2233582881856,82.3141415053374,82.4017342231732,82.4860843604271,82.5671798353897,82.6451190643654,82.7198686360938,82.7915383318841,82.8601192188619,82.9256771617353,82.9882844410049,83.0480819967505,83.1051888646503,83.1597799381148,83.2119406154139,83.2616993841351,83.3091003517103,83.3543395556344,83.3975056434848,83.4387600102861,83.4780809514422,83.5155747080897,83.551291341071,83.5852822476187,83.6176425406159,83.6484412102095,83.6778876227519,83.7059596449548,83.732670347149,83.7580165610949,83.7819182592191,83.8045603060613,83.8260912622828,83.8466073854197,83.8661580397145,83.8847897112856,83.9024806582354,83.9192233400808,83.9350846214208,83.9500368620025,83.9642476673877,83.9777337519014,83.9906292355866,84.0029415171167,84.0146997831191,84.0258785694515,84.0364827734703,84.046557737982,84.0561268899922,84.0651255942387,84.0735966308036,84.0815994041599,84.089182956118,84.096410092467,84.1032271370688,84.1096429316434,84.1156095797834,84.1211440375737,84.1262292738472,84.1309004174407,84.1351606279242,84.1390612836502,84.1426088663571,84.1457891738082,84.1485743919077,84.1509834144448,84.1530071960652,84.1546026155773,84.1558960394303,84.156877431252,84.1576894343343,84.1582753199336,84.1586850910433,84.1589828052902,84.1592112638241,84.15940133333,84.1595081338653,84.1596005225803,84.1596505483571,84.1596706066759,84.15967470966,84.1596914515965,84.1596897784028
6,80.2934485642073,80.4062504584488,80.5176985552705,80.6271729178847,80.7344386041187,80.8392746682588,80.9415097225301,81.0410124300648,81.137678032216,81.231310357809,81.3218405782887,81.4091876201119,81.493283054652,81.5741476347366,81.6518305947553,81.7263395943843,81.7977844966824,81.8661729100949,81.9315048631175,81.9939350820214,82.0535055839005,82.1104509827776,82.1648802038785,82.2168538506081,82.2663921055276,82.3136549774807,82.3587226661292,82.4017915553165,82.4428738748056,82.482047398509,82.5193852104192,82.5549955112672,82.5888549915688,82.6210587459268,82.6517755295547,82.6811149874021,82.7090466433211,82.7356667772169,82.7608723600396,82.7846915932729,82.8072594175406,82.8286994097566,82.8491161560588,82.8686007039299,82.8871078406614,82.9047075341976,82.9213755838068,82.9371621808934,82.9520897581598,82.9662174468759,82.9796287179653,82.9924493511431,83.004703447771,83.0163784454552,83.02753239822,83.0380783355288,83.0480782991699,83.0575891350074,83.0665545701041,83.0749672490274,83.0829032872809,83.090461880401,83.0976222492015,83.1044310322076,83.110788391598,83.1167383981322,83.1222143950677,83.1272829709743,83.1318956310772,83.136139165028,83.1399813183845,83.1435122114109,83.1466340005452,83.1494000074113,83.1518165823888,83.1537801534228,83.1553563469425,83.156589549683,83.1575734593677,83.1583704106979,83.1588918836948,83.1593075139757,83.1595859887307,83.159820305099,83.1599459578054,83.1600586152399,83.160130926129,83.1601416319471,83.1601416119473,83.1601482247589,83.1601473981574
7,79.1891244998942,79.303263762003,79.416109340434,79.5272458763743,79.6364213292394,79.7433804281859,79.8479079085088,79.9498414006949,80.0491097055922,80.1454680081637,80.2388671621114,80.3291714516793,80.4162755753953,80.5001515762762,80.5807716631862,80.6582256109665,80.7325049075302,80.8037844945755,80.8719501134598,80.9371238308052,80.9993220091663,81.0587414870297,81.1155273107009,81.1697965776482,81.2215363604864,81.2709302662223,81.3180321251097,81.3630203618827,81.4059277002268,81.4468563952504,81.4858760495208,81.52312537966,81.5585895987805,81.592294586652,81.6244257783591,81.6550534507924,81.6842461475313,81.7120884343197,81.7385615236347,81.7636857299827,81.7874317191258,81.8099179849554,81.8312681052496,81.8516196072422,81.8709564795975,81.8893817562177,81.9068995285714,81.9234938403788,81.9392725992585,81.9541263499287,81.9681719193898,81.9815092749383,81.9942559555662,82.0064360647358,82.0181030557868,82.0291829653736,82.0396548278805,82.0495806878666,82.0590834408942,82.067974727056,82.0763132319633,82.0842411411507,82.0917255241345,82.0988860024896,82.1056205445789,82.1119779955159,82.1178537316291,82.1233215401585,82.1283240812987,82.1329285362282,82.1370977498021,82.1409399477278,82.1443965017225,82.1475100595087,82.1502843607227,82.1526290537391,82.1545843786162,82.1560895032048,82.1573243700304,82.1583025023807,82.159025067584,82.1595515042839,82.1599580452857,82.1602414818466,82.1604014056783,82.1605311922945,82.1606339312499,82.1606459003488,82.1606475135619,82.1606483201684,82.1606483201685
8,78.0849076025389,78.1993547510311,78.3133512253484,78.4258955447244,78.5367297148984,78.6456016865641,78.7522561838269,78.8564779453365,78.9581840720246,79.0571445714263,79.1532736464986,79.2464427143248,79.3365160733002,79.4233884404394,79.5070318851608,79.5874186430801,79.6646385255285,79.7387632869866,79.8098075042726,79.8778174799744,79.9427546265489,80.0047961491816,80.0640585394287,80.1206868695529,80.1747175853286,80.2262990716303,80.2755343404623,80.3225580616337,80.3673870828827,80.4101349178539,80.4509038392554,80.4898444546724,80.5269335560443,80.5622373173855,80.5958627261123,80.6279142036682,80.6583808761957,80.6874935823255,80.7151745523161,80.7415674060196,80.7666112753285,80.7902768290251,80.8126825691646,80.8339520813824,80.8541415465399,80.8733976449091,80.8917420825132,80.90917895367,80.9257737301246,80.9414714893035,80.9562441847455,80.9702086491468,80.9834648546278,80.9961303450085,81.0083107343239,81.0198964737816,81.0308950961932,81.0412856372851,81.0512116957904,81.0606330782011,81.0694429638152,81.0777816188169,81.0856280850391,81.0931125952585,81.1001915951103,81.1069262449532,81.1132021843673,81.1190780086171,81.1244642746591,81.1294668858355,81.1339897711972,81.1381590389712,81.1419196448854,81.145376240359,81.148489835508,81.1511825187905,81.1535272375987,81.1554009285428,81.1569060681826,81.158140947357,81.1590374304103,81.1597600021168,81.1602864435546,81.1606929882154,81.1608947663916,81.1610546915027,81.1611844791572,81.1612055576881,81.1612175268708,81.1612191400952,81.1612199467074
9,76.979568873615,77.0945287275791,77.2094615302705,77.3231711117122,77.4354108774696,77.5459517040366,77.6545302534414,77.7608853011042,77.8648820498975,77.9662875732709,78.0650295120428,78.1609269823531,78.253876729397,78.3437141758061,78.4303655763624,78.5137793737975,78.593935714876,78.6710036183393,78.7448966046214,78.8157876892086,78.8835646420047,78.9483396485104,79.0102265122034,79.0693338113832,79.1257349811239,79.1795938272563,79.2310269813463,79.2801694336556,79.3270442154565,79.3717160125755,79.4143063357697,79.4549894348276,79.4937720524568,79.5307029133824,79.5659202650093,79.5994671210333,79.6313517649227,79.6617475988931,79.6906931271499,79.7182949832982,79.7446086190549,79.7695651409742,79.7931593017033,79.8154694676021,79.8365870782244,79.8566888132009,79.8758651460928,79.8941297527098,79.911559100593,79.9280739401462,79.9436917045555,79.9583843493049,79.9722606656305,79.985436723672,79.9980944745512,80.0101946508368,80.0217001396636,80.0326104225269,80.0430011849397,80.0528469019851,80.0621879134236,80.0710060261704,80.079256205713,80.0870947568169,80.0944988087166,80.1015698701708,80.1082320877356,80.1145000673704,80.1202953658861,80.1256736506936,80.1306037693335,80.1351267184684,80.1392073418526,80.1429760609523,80.1464165724226,80.1494495582475,80.1521503387876,80.1544063658368,80.1562800772043,80.1577852332502,80.1589410800838,80.1598286994487,80.160557731088,80.1610744984028,80.1614044186649,80.1615973258446,80.1617645119072,80.1618023461967,80.1618298778353,80.1618410404922,80.1618410404922
