age,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
0,0.005603,0.005603,0.005418,0.005238,0.005065,0.004897,0.004735,0.004578,0.004427,0.00428,0.004139,0.004002,0.003869,0.003741,0.003617,0.003498,0.003382,0.00327,0.003162,0.003057,0.002956,0.002858,0.002764,0.002672,0.002584,0.002498,0.002415,0.002335,0.002258,0.002183,0.002111,0.002041,0.001974,0.001908,0.001845,0.001784,0.001725,0.001668,0.001613,0.001559,0.001508,0.001458,0.00141,0.001363,0.001318,0.001274,0.001232,0.001191,0.001152,0.001114,0.001077,0.001041,0.001007,0.000973,0.000941,0.00091,0.00088,0.000851,0.000823,0.000795,0.000769,0.000744,0.000719,0.000695,0.000672,0.00065,0.000628,0.000608,0.000588,0.000568,0.000549,0.000531,0.000514,0.000497,0.00048,0.000464,0.000449,0.000434,0.00042,0.000406,0.000392,0.000379,0.000367,0.000355,0.000343,0.000332,0.000321,0.00031,0.0003,0.00029,0.00028
1,0.000413,0.001108943,0.001071211,0.001030933,0.000995396,0.00096225,0.000925224,0.000893367,0.0008648,0.000833548,0.000804496,0.000777461,0.00074915,0.000721552,0.000698475,0.000671647,0.000648183,0.00062505,0.000605382,0.000582616,0.000562214,0.000543426,0.00052211,0.000506942,0.00048768,0.000469918,0.000454214,0.000437202,0.000422025,0.000407257,0.000393823,0.000379478,0.00036517,0.000351158,0.000340344,0.000328054,0.000317793,0.000307714,0.000294404,0.00028458,0.000274997,0.00026424,0.000254905,0.000245651,0.000239771,0.000230773,0.000221937,0.000215126,0.000206538,0.000201253,0.000191576,0.00018644,0.000178249,0.000172235,0.000167434,0.000161482,0.000153586,0.000147999,0.00014351,0.000137826,0.000133672,0.000128223,0.000123968,0.000122048,0.000117978,0.000112759,0.000107742,0.000103868,0.000102284,0.0000984,0.0000936,0.0000887,0.0000886,0.0000838,0.0000824,0.0000779,0.0000777,0.0000732,0.0000686,0.0000687,0.0000675,0.0000631,0.0000622,0.0000578,0.000058,0.0000538,0.0000528,0.000052,0.0000479,0.0000482,0.0000473
2,0.000224,0.000353664,0.000341535,0.000328012,0.000316185,0.000305613,0.000293377,0.00028294,0.000273924,0.000263499,0.000254281,0.000245414,0.000236257,0.000227186,0.000219794,0.000210779,0.000203229,0.000195701,0.000189645,0.000182116,0.000175846,0.000169857,0.000162496,0.000157985,0.000151803,0.00014589,0.000141184,0.000135354,0.00013069,0.000126084,0.000121703,0.000117128,0.000112531,0.000107981,0.000104854,0.000100582,0.0000975,0.0000945,0.00009,0.0000869,0.0000839,0.0000807,0.0000777,0.0000747,0.0000732,0.0000702,0.0000673,0.0000655,0.0000626,0.0000611,0.0000579,0.0000565,0.0000536,0.0000519,0.0000505,0.0000488,0.0000459,0.0000443,0.0000429,0.0000412,0.0000398,0.0000382,0.0000368,0.0000366,0.0000353,0.0000336,0.0000321,0.0000307,0.0000306,0.0000292,0.0000276,0.000026,0.0000262,0.0000246,0.0000245,0.0000229,0.000023,0.0000215,0.0000199,0.0000201,0.00002,0.0000184,0.0000184,0.0000168,0.000017,0.0000154,0.0000154,0.0000153,0.0000138,0.0000139,0.0000139
3,0.000169,0.000170101,0.000164329,0.00015782,0.000151874,0.000146781,0.000141132,0.000135975,0.000131563,0.000126422,0.000122165,0.000117688,0.000113409,0.000109086,0.000105333,0.000100993,0.0000974,0.0000937,0.0000908,0.0000872,0.0000844,0.0000815,0.0000777,0.0000755,0.0000727,0.0000697,0.0000676,0.0000646,0.0000625,0.0000604,0.0000581,0.0000559,0.0000538,0.0000517,0.0000502,0.0000479,0.0000465,0.000045,0.0000428,0.0000414,0.0000399,0.0000386,0.0000371,0.0000356,0.0000349,0.0000334,0.0000319,0.0000313,0.0000298,0.000029,0.0000277,0.0000269,0.0000254,0.0000247,0.0000239,0.0000233,0.0000218,0.0000211,0.0000203,0.0000197,0.0000189,0.0000182,0.0000174,0.0000175,0.0000167,0.000016,0.0000153,0.0000145,0.0000146,0.0000138,0.0000131,0.0000124,0.0000123,0.0000116,0.0000116,0.000011,0.0000109,0.0000102,0.00000949,0.00000938,0.00000942,0.00000873,0.00000875,0.00000806,0.00000795,0.00000725,0.00000729,0.0000073,0.0000066,0.00000649,0.00000652
4,0.000134,0.000114042,0.000110267,0.000106062,0.000101905,0.0000985,0.0000951,0.0000915,0.0000885,0.000085,0.0000823,0.0000791,0.0000764,0.0000736,0.0000709,0.0000681,0.0000657,0.0000633,0.0000612,0.0000589,0.0000572,0.0000552,0.0000526,0.000051,0.0000493,0.0000472,0.0000459,0.0000438,0.0000425,0.0000411,0.0000394,0.000038,0.0000367,0.0000353,0.0000343,0.0000326,0.0000316,0.0000305,0.0000292,0.0000282,0.0000271,0.0000265,0.0000255,0.0000244,0.0000238,0.0000228,0.0000217,0.0000215,0.0000204,0.0000198,0.0000191,0.0000184,0.0000174,0.000017,0.0000164,0.0000161,0.000015,0.0000147,0.000014,0.0000137,0.000013,0.0000127,0.000012,0.0000121,0.0000114,0.0000111,0.0000107,0.00001,0.0000101,0.00000942,0.00000904,0.0000087,0.0000084,0.00000807,0.0000081,0.00000772,0.00000745,0.00000707,0.00000671,0.00000641,0.00000648,0.00000609,0.00000612,0.00000576,0.00000546,0.00000506,0.00000512,0.00000515,0.00000474,0.00000444,0.0000045
5,0.000104,0.0000973,0.0000942,0.0000908,0.0000871,0.0000842,0.0000817,0.0000786,0.0000759,0.0000729,0.0000708,0.000068,0.0000659,0.0000636,0.0000611,0.0000588,0.0000568,0.0000548,0.000053,0.000051,0.0000498,0.000048,0.0000458,0.0000442,0.000043,0.0000411,0.0000401,0.0000382,0.0000372,0.0000361,0.0000344,0.0000333,0.0000323,0.0000311,0.0000303,0.0000286,0.0000277,0.0000268,0.0000257,0.0000248,0.0000239,0.0000236,0.0000227,0.0000218,0.0000211,0.0000202,0.0000192,0.0000191,0.0000182,0.0000175,0.0000171,0.0000164,0.0000155,0.0000153,0.0000146,0.0000145,0.0000135,0.0000133,0.0000126,0.0000125,0.0000117,0.0000116,0.0000109,0.0000109,0.0000102,0.0000101,0.00000983,0.00000912,0.00000916,0.00000844,0.00000822,0.00000805,0.00000753,0.00000737,0.00000739,0.00000716,0.0000067,0.00000647,0.00000628,0.00000577,0.00000585,0.00000562,0.00000564,0.00000544,0.00000493,0.00000469,0.00000476,0.00000478,0.00000452,0.00000403,0.00000409
6,0.000106,0.0000963,0.0000934,0.0000903,0.0000865,0.0000836,0.0000815,0.0000785,0.0000757,0.0000728,0.0000709,0.000068,0.000066,0.0000639,0.0000612,0.0000592,0.0000572,0.0000552,0.0000534,0.0000515,0.0000504,0.0000486,0.0000465,0.0000447,0.0000437,0.0000418,0.0000409,0.0000389,0.000038,0.0000369,0.0000351,0.0000341,0.0000331,0.0000321,0.0000313,0.0000294,0.0000285,0.0000275,0.0000266,0.0000256,0.0000247,0.0000246,0.0000236,0.0000227,0.0000219,0.0000209,0.00002,0.00002,0.000019,0.0000182,0.000018,0.0000172,0.0000162,0.0000162,0.0000153,0.0000153,0.0000143,0.0000142,0.0000134,0.0000133,0.0000125,0.0000124,0.0000116,0.0000116,0.0000107,0.0000107,0.0000106,0.00000975,0.00000977,0.00000892,0.00000882,0.00000875,0.00000798,0.00000793,0.00000794,0.00000783,0.0000071,0.000007,0.00000693,0.00000616,0.00000622,0.00000611,0.00000612,0.00000604,0.00000528,0.00000516,0.00000521,0.00000523,0.0000051,0.00000434,0.00000439
7,0.000097,0.000101,0.000098,0.000095,0.000091,0.000088,0.000086,0.000083,0.00008,0.000077,0.000075,0.000072,0.00007,0.000068,0.000065,0.000063,0.000061,0.000059,0.000057,0.000055,0.000054,0.000052,0.00005,0.000048,0.000047,0.000045,0.000044,0.000042,0.000041,0.00004,0.000038,0.000037,0.000036,0.000035,0.000034,0.000032,0.000031,0.00003,0.000029,0.000028,0.000027,0.000027,0.000026,0.000025,0.000024,0.000023,0.000022,0.000022,0.000021,0.00002,0.00002,0.000019,0.000018,0.000018,0.000017,0.000017,0.000016,0.000016,0.000015,0.000015,0.000014,0.000014,0.000013,0.000013,0.000012,0.000012,0.000012,0.000011,0.000011,0.00001,0.00001,0.00001,0.000009,0.000009,0.000009,0.000009,0.000008,0.000008,0.000008,0.000007,0.000007,0.000007,0.000007,0.000007,0.000006,0.000006,0.000006,0.000006,0.000006,0.000005,0.000005
8,0.000105,0.000104204,0.000101196,0.0000983,0.0000941,0.0000911,0.0000891,0.0000862,0.0000831,0.0000801,0.0000779,0.000075,0.0000729,0.000071,0.0000678,0.0000659,0.0000639,0.0000619,0.0000598,0.0000576,0.0000566,0.0000545,0.0000527,0.0000506,0.0000495,0.0000475,0.0000463,0.0000444,0.0000433,0.0000424,0.0000403,0.0000393,0.0000382,0.0000372,0.000036,0.0000341,0.0000331,0.000032,0.0000309,0.0000299,0.0000289,0.0000289,0.0000279,0.0000269,0.0000258,0.0000247,0.0000237,0.0000236,0.0000226,0.0000216,0.0000216,0.0000205,0.0000195,0.0000195,0.0000184,0.0000184,0.0000174,0.0000174,0.0000163,0.0000163,0.0000153,0.0000153,0.0000142,0.0000142,0.0000131,0.000013,0.0000131,0.000012,0.000012,0.000011,0.000011,0.000011,0.00000994,0.00000989,0.00000989,0.00000997,0.00000881,0.00000888,0.00000884,0.0000078,0.00000768,0.00000776,0.00000775,0.00000772,0.00000667,0.00000675,0.00000663,0.00000663,0.00000672,0.00000566,0.00000555
9,0.000092,0.000105799,0.00010282,0.0001,0.0000958,0.0000928,0.0000906,0.000088,0.0000849,0.0000819,0.0000796,0.0000769,0.0000746,0.0000727,0.0000696,0.0000677,0.0000657,0.0000638,0.0000617,0.0000594,0.0000582,0.0000561,0.0000546,0.0000524,0.0000512,0.0000492,0.0000479,0.0000462,0.0000449,0.000044,0.0000419,0.000041,0.0000397,0.0000388,0.0000374,0.0000357,0.0000347,0.0000337,0.0000324,0.0000314,0.0000304,0.0000303,0.0000293,0.0000283,0.0000272,0.0000262,0.0000252,0.0000249,0.0000239,0.0000229,0.0000227,0.0000216,0.0000206,0.0000207,0.0000196,0.0000194,0.0000184,0.0000185,0.0000174,0.0000172,0.0000165,0.0000162,0.0000152,0.0000152,0.0000141,0.0000139,0.000014,0.0000129,0.0000129,0.0000118,0.0000119,0.0000117,0.0000108,0.0000106,0.0000106,0.0000107,0.00000955,0.00000965,0.00000946,0.00000857,0.00000828,0.00000839,0.00000838,0.00000821,0.00000731,0.00000743,0.00000713,0.00000713,0.00000726,0.00000634,0.00000606
