age,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
0,0.005603,0.005603,0.005418,0.005238,0.005065,0.004897,0.004735,0.004578,0.004427,0.00428,0.004139,0.004002,0.003869,0.003741,0.003617,0.003498,0.003382,0.00327,0.003162,0.003057,0.002956,0.002858,0.002764,0.002672,0.002584,0.002498,0.002415,0.002335,0.002258,0.002183,0.002111,0.002041,0.001974,0.001908,0.001845,0.001784,0.001725,0.001668,0.001613,0.001559,0.001508,0.001458,0.00141,0.001363,0.001318,0.001274,0.001232,0.001191,0.001152,0.001114,0.001077
1,0.000413,0.001108943,0.001071211,0.001030933,0.000995396,0.00096225,0.000925224,0.000893367,0.0008648,0.000833548,0.000804496,0.000777461,0.00074915,0.000721552,0.000698475,0.000671647,0.000648183,0.00062505,0.000605382,0.000582616,0.000562214,0.000543426,0.00052211,0.000506942,0.00048768,0.000469918,0.000454214,0.000437202,0.000422025,0.000407257,0.000393823,0.000379478,0.00036517,0.000351158,0.000340344,0.000328054,0.000317793,0.000307714,0.000294404,0.00028458,0.000274997,0.00026424,0.000254905,0.000245651,0.000239771,0.000230773,0.000221937,0.000215126,0.000206538,0.000201253,0.000191576
2,0.000224,0.000353664,0.000341535,0.000328012,0.000316185,0.000305613,0.000293377,0.00028294,0.000273924,0.000263499,0.000254281,0.000245414,0.000236257,0.000227186,0.000219794,0.000210779,0.000203229,0.000195701,0.000189645,0.000182116,0.000175846,0.000169857,0.000162496,0.000157985,0.000151803,0.00014589,0.000141184,0.000135354,0.00013069,0.000126084,0.000121703,0.000117128,0.000112531,0.000107981,0.000104854,0.000100582,0.0000975,0.0000945,0.00009,0.0000869,0.0000839,0.0000807,0.0000777,0.0000747,0.0000732,0.0000702,0.0000673,0.0000655,0.0000626,0.0000611,0.0000579
3,0.000169,0.000170101,0.000164329,0.00015782,0.000151874,0.000146781,0.000141132,0.000135975,0.000131563,0.000126422,0.000122165,0.000117688,0.000113409,0.000109086,0.000105333,0.000100993,0.0000974,0.0000937,0.0000908,0.0000872,0.0000844,0.0000815,0.0000777,0.0000755,0.0000727,0.0000697,0.0000676,0.0000646,0.0000625,0.0000604,0.0000581,0.0000559,0.0000538,0.0000517,0.0000502,0.0000479,0.0000465,0.000045,0.0000428,0.0000414,0.0000399,0.0000386,0.0000371,0.0000356,0.0000349,0.0000334,0.0000319,0.0000313,0.0000298,0.000029,0.0000277
4,0.000134,0.000114042,0.000110267,0.000106062,0.000101905,0.0000985,0.0000951,0.0000915,0.0000885,0.000085,0.0000823,0.0000791,0.0000764,0.0000736,0.0000709,0.0000681,0.0000657,0.0000633,0.0000612,0.0000589,0.0000572,0.0000552,0.0000526,0.000051,0.0000493,0.0000472,0.0000459,0.0000438,0.0000425,0.0000411,0.0000394,0.000038,0.0000367,0.0000353,0.0000343,0.0000326,0.0000316,0.0000305,0.0000292,0.0000282,0.0000271,0.0000265,0.0000255,0.0000244,0.0000238,0.0000228,0.0000217,0.0000215,0.0000204,0.0000198,0.0000191
5,0.000104,0.0000973,0.0000942,0.0000908,0.0000871,0.0000842,0.0000817,0.0000786,0.0000759,0.0000729,0.0000708,0.000068,0.0000659,0.0000636,0.0000611,0.0000588,0.0000568,0.0000548,0.000053,0.000051,0.0000498,0.000048,0.0000458,0.0000442,0.000043,0.0000411,0.0000401,0.0000382,0.0000372,0.0000361,0.0000344,0.0000333,0.0000323,0.0000311,0.0000303,0.0000286,0.0000277,0.0000268,0.0000257,0.0000248,0.0000239,0.0000236,0.0000227,0.0000218,0.0000211,0.0000202,0.0000192,0.0000191,0.0000182,0.0000175,0.0000171
6,0.000106,0.0000963,0.0000934,0.0000903,0.0000865,0.0000836,0.0000815,0.0000785,0.0000757,0.0000728,0.0000709,0.000068,0.000066,0.0000639,0.0000612,0.0000592,0.0000572,0.0000552,0.0000534,0.0000515,0.0000504,0.0000486,0.0000465,0.0000447,0.0000437,0.0000418,0.0000409,0.0000389,0.000038,0.0000369,0.0000351,0.0000341,0.0000331,0.0000321,0.0000313,0.0000294,0.0000285,0.0000275,0.0000266,0.0000256,0.0000247,0.0000246,0.0000236,0.0000227,0.0000219,0.0000209,0.00002,0.00002,0.000019,0.0000182,0.000018
7,0.000097,0.000101,0.000098,0.000095,0.000091,0.000088,0.000086,0.000083,0.00008,0.000077,0.000075,0.000072,0.00007,0.000068,0.000065,0.000063,0.000061,0.000059,0.000057,0.000055,0.000054,0.000052,0.00005,0.000048,0.000047,0.000045,0.000044,0.000042,0.000041,0.00004,0.000038,0.000037,0.000036,0.000035,0.000034,0.000032,0.000031,0.00003,0.000029,0.000028,0.000027,0.000027,0.000026,0.000025,0.000024,0.000023,0.000022,0.000022,0.000021,0.00002,0.00002
8,0.000105,0.000104204,0.000101196,0.0000983,0.0000941,0.0000911,0.0000891,0.0000862,0.0000831,0.0000801,0.0000779,0.000075,0.0000729,0.000071,0.0000678,0.0000659,0.0000639,0.0000619,0.0000598,0.0000576,0.0000566,0.0000545,0.0000527,0.0000506,0.0000495,0.0000475,0.0000463,0.0000444,0.0000433,0.0000424,0.0000403,0.0000393,0.0000382,0.0000372,0.000036,0.0000341,0.0000331,0.000032,0.0000309,0.0000299,0.0000289,0.0000289,0.0000279,0.0000269,0.0000258,0.0000247,0.0000237,0.0000236,0.0000226,0.0000216,0.0000216
9,0.000092,0.000105799,0.00010282,0.0001,0.0000958,0.0000928,0.0000906,0.000088,0.0000849,0.0000819,0.0000796,0.0000769,0.0000746,0.0000727,0.0000696,0.0000677,0.0000657,0.0000638,0.0000617,0.0000594,0.0000582,0.0000561,0.0000546,0.0000524,0.0000512,0.0000492,0.0000479,0.0000462,0.0000449,0.000044,0.0000419,0.000041,0.0000397,0.0000388,0.0000374,0.0000357,0.0000347,0.0000337,0.0000324,0.0000314,0.0000304,0.0000303,0.0000293,0.0000283,0.0000272,0.0000262,0.0000252,0.0000249,0.0000239,0.0000229,0.0000227
10,0.000096,0.000107683,0.000104735,0.000101905,0.0000978,0.0000948,0.0000924,0.0000901,0.0000871,0.0000841,0.0000816,0.0000792,0.0000767,0.0000748,0.0000718,0.0000699,0.000068,0.000066,0.000064,0.0000615,0.00006,0.0000581,0.0000567,0.0000547,0.0000532,0.0000512,0.0000497,0.0000484,0.0000469,0.000046,0.0000439,0.000043,0.0000415,0.0000406,0.0000391,0.0000376,0.0000366,0.0000357,0.0000342,0.0000332,0.0000322,0.0000319,0.0000309,0.0000299,0.0000289,0.0000279,0.0000269,0.0000265,0.0000255,0.0000245,0.0000241
