"policy_number","race","gender","cohort","age","year","baseline_initiation_rate","baseline_cessation_rate","initiation_rate","cessation_rate","survivors","alive_smokers","smoking_prevalence","former_smokers","former_prevalence"
0,0,1,1864,0,1864,0,0,0,0,1e+06,0,0,0,0
0,0,1,1864,1,1865,0,0,0,0,880310,0,0,0,0
0,0,1,1864,2,1866,0,0,0,0,853364,0,0,0,0
0,0,1,1864,3,1867,0,0,0,0,840666,0,0,0,0
0,0,1,1864,4,1868,0,0,0,0,832167,0,0,0,0
0,0,1,1864,5,1869,0,0,0,0,825326,0,0,0,0
0,0,1,1864,6,1870,0,0,0,0,820498,0,0,0,0
0,0,1,1864,7,1871,0,0,0,0,816986,0,0,0,0
0,0,1,1864,8,1872,1.607e-06,0,1.607e-06,0,814486,0,0,0,0
0,0,1,1864,9,1873,4.687e-06,0,4.687e-06,0,812597,1,1.607e-06,0,0
0,0,1,1864,10,1874,1.3673e-05,0,1.3673e-05,0,811085,5,6.293992467991e-06,0,0
0,0,1,1864,11,1875,3.959e-05,0,3.959e-05,0,809439,16,1.9966906410232e-05,0,0
0,0,1,1864,12,1876,0.000109644,0,0.000109644,0,807836,48,5.95561159204072e-05,0,0
0,0,1,1864,13,1877,0.000277808,0,0.000277808,0,806261,136,0.000169193585949633,0,0
0,0,1,1864,14,1878,0.000615931,0,0.000615931,0,804431,360,0.000446954582617908,0,0
0,0,1,1864,15,1879,0.001142965,0.006735534,0.001142965,0.006735534,802556,853,0.00106261028943488,0,0
0,0,1,1864,16,1880,0.001723862,0.006316615,0.001723862,0.006316615,800502,1759,0.00219720351533218,6,7.15724773323848e-06
0,0,1,1864,17,1881,0.002179083,0.005923595,0.002179083,0.005923595,798068,3115,0.00390338661289544,17,2.10361364162385e-05
0,0,1,1864,18,1882,0.00241641,0.005554893,0.00241641,0.005554893,795163,4811,0.00605079588857439,35,4.41582178394528e-05
0,0,1,1864,19,1883,0.002460252,0.005209019,0.002460252,0.005209019,788921,6642,0.00841886645679624,61,7.77697415653235e-05
0,0,1,1864,20,1884,0.002406934,0.004884575,0.002406934,0.004884575,784842,8488,0.010814360555264,95,0.000121623776897238
0,0,1,1864,21,1885,0.002350034,0.004580246,0.002350034,0.004580246,780644,10259,0.0131421488075423,136,0.000174447332106467
0,0,1,1864,22,1886,0.00230687,0.004294796,0.00230687,0.004294796,777068,11967,0.0154006940793427,182,0.000234641606613617
0,0,1,1864,23,1887,0.002276226,0.004027064,0.002276226,0.004027064,773439,13617,0.0176053525531796,233,0.000300784445942801
