policy_number,race,gender,cohort,age,year,baseline_initiation_rate,baseline_cessation_rate,initiation_rate,cessation_rate,survivors,alive_smokers,smoking_prevalence,former_smokers,former_prevalence
0,0,1,2081,0,2081,0.0,0.0,0.0,0.0,200000,0,0.0,0,0.0
0,0,1,2081,1,2082,0.0,0.0,0.0,0.0,199899,0,0.0,0,0.0
0,0,1,2081,2,2083,0.0,0.0,0.0,0.0,199881,0,0.0,0,0.0
0,0,1,2081,3,2084,0.0,0.0,0.0,0.0,199879,0,0.0,0,0.0
0,0,1,2081,4,2085,0.0,0.0,0.0,0.0,199878,0,0.0,0,0.0
0,0,1,2081,5,2086,0.0,0.0,0.0,0.0,199875,0,0.0,0,0.0
0,0,1,2081,6,2087,0.0,0.0,0.0,0.0,199871,0,0.0,0,0.0
0,0,1,2081,7,2088,0.0,0.0,0.0,0.0,199871,0,0.0,0,0.0
0,0,1,2081,8,2089,9.3855e-05,0.0,9.3855e-05,0.0,199869,27,0.0001350884829563364,0,0.0
0,0,1,2081,9,2090,0.000228483,0.0,0.000228483,0.0,199866,68,0.000340227952728328,0,0.0
0,0,1,2081,10,2091,0.000556115,0.0,0.000556115,0.0,199865,185,0.000925624796737798,0,0.0
0,0,1,2081,11,2092,0.001342945,0.0,0.001342945,0.0,199861,418,0.002091453560224356,0,0.0
0,0,1,2081,12,2093,0.003099012,0.0,0.003099012,0.0,199858,1048,0.005243723043360786,0,0.0
0,0,1,2081,13,2094,0.006531931,0.0,0.006531931,0.0,199854,2359,0.011803616640147308,0,0.0
0,0,1,2081,14,2095,0.012023521,0.0,0.012023521,0.0,199853,4696,0.023497270493812953,0,0.0
0,0,1,2081,15,2096,0.018507345,0.018636085,0.018507345,0.018636085,199844,8056,0.040311442925481875,0,0.0
0,0,1,2081,16,2097,0.023196437,0.01897548,0.023196437,0.01897548,199840,12154,0.060818654923939154,139,0.0006955564451561249
0,0,1,2081,17,2098,0.024450226,0.019320934,0.024450226,0.019320934,199839,16457,0.08235129279069651,369,0.0018464864215693632
0,0,1,2081,18,2099,0.02267506,0.019672552,0.02267506,0.019672552,199824,20274,0.10145928417006966,704,0.0035231003282888943
0,0,1,2081,19,2100,0.019335559,0.020030437,0.019335559,0.020030437,199807,23374,0.11698288848739033,1089,0.005450259500417903
0,0,1,1912,0,1912,0.0,0.0,0.0,0.0,200000,0,0.0,0,0.0
0,0,1,1912,1,1913,0.0,0.0,0.0,0.0,184123,0,0.0,0,0.0
0,0,1,1912,2,1914,0.0,0.0,0.0,0.0,180136,0,0.0,0,0.0
0,0,1,1912,3,1915,0.0,0.0,0.0,0.0,178525,0,0.0,0,0.0
0,0,1,1912,4,1916,0.0,0.0,0.0,0.0,177447,0,0.0,0,0.0
0,0,1,1912,5,1917,0.0,0.0,0.0,0.0,176451,0,0.0,0,0.0
0,0,1,1912,6,1918,0.0,0.0,0.0,0.0,175727,0,0.0,0,0.0
0,0,1,1912,7,1919,0.0,0.0,0.0,0.0,174847,0,0.0,0,0.0
0,0,1,1912,8,1920,3.5204e-05,0.0,3.5204e-05,0.0,174440,6,3.43957807842238e-05,0,0.0
0,0,1,1912,9,1921,0.000102093,0.0,0.000102093,0.0,174049,22,0.00012640118587294382,0,0.0
0,0,1,1912,10,1922,0.000295468,0.0,0.000295468,0.0,173733,77,0.00044320883194326927,0,0.0
0,0,1,1912,11,1923,0.000846138,0.0,0.000846138,0.0,173469,231,0.0013316500354530205,0,0.0
0,0,1,1912,12,1924,0.002307393,0.0,0.002307393,0.0,173225,631,0.003642661278683793,0,0.0
0,0,1,1912,13,1925,0.005721519,0.0,0.005721519,0.0,172995,1543,0.00891933292869736,0,0.0
0,0,1,1912,14,1926,0.012317003,0.0,0.012317003,0.0,172677,3604,0.020871337815690567,0,0.0
0,0,1,1912,15,1927,0.021999306,0.001466363,0.021999306,0.001466363,172357,7280,0.042237913168597735,0,0.0
0,0,1,1912,16,1928,0.031695895,0.001460788,0.031695895,0.001460788,171964,12375,0.07196273638668559,9,5.2336535553953156e-05
0,0,1,1912,17,1929,0.038041281,0.001480553,0.038041281,0.001480553,171471,18400,0.10730677490654396,31,0.00018078858815776428
0,0,1,1912,18,1930,0.039808057,0.001529989,0.039808057,0.001529989,170978,24319,0.1422346734667618,49,0.00028658657839020224
0,0,1,1912,19,1931,0.037965101,0.001613896,0.037965101,0.001613896,170481,29776,0.17465875962717253,82,0.00048099201670567397
0,0,1,1912,20,1932,0.034513711,0.001732714,0.034513711,0.001732714,169986,34486,0.20287553092607627,135,0.0007941830503688539
0,0,1,1912,21,1933,0.031064223,0.001886006,0.031064223,0.001886006,169519,38444,0.22678283850187886,203,0.0011975058842961556
0,0,1,1912,22,1934,0.027916199,0.002073127,0.027916199,0.002073127,169002,41827,0.2474941124957101,277,0.0016390338575874841
0,0,1,1912,23,1935,0.025074503,0.00229233,0.025074503,0.00229233,168492,44645,0.26496806970063863,370,0.002195949956081001
0,0,1,1912,24,1936,0.022534348,0.002539801,0.022534348,0.002539801,167951,47204,0.2810581657745414,468,0.0027865270227625913
0,0,1,1912,25,1937,0.02028396,0.002808649,0.02028396,0.002808649,167435,49357,0.29478305013885986,578,0.003452085884074417
0,0,1,1912,26,1938,0.018306928,0.003087996,0.018306928,0.003087996,166913,51207,0.3067885664987149,703,0.004211774996555092
0,0,1,1912,27,1939,0.016584173,0.003362367,0.016584173,0.003362367,166499,52824,0.31726316674574623,839,0.005039069303719542
0,0,1,1912,28,1940,0.015095542,0.003611709,0.015095542,0.003611709,166097,54160,0.32607452271865234,1003,0.006038640071765294
0,0,1,1912,29,1941,0.013816121,0.003816723,0.013816121,0.003816723,165692,55403,0.33437341573521956,1195,0.007212176809984791
0,0,1,1912,30,1942,0.012705488,0.003975482,0.012705488,0.003975482,165313,56392,0.3411225977388348,1412,0.008541373031763987
0,0,1,1912,31,1943,0.011727137,0.004093747,0.011727137,0.004093747,164910,57294,0.34742586865563035,1627,0.009865987508337882
0,0,1,1912,32,1944,0.010852086,0.004180239,0.010852086,0.004180239,164513,58078,0.35302985174423906,1834,0.011148055168892428
0,0,1,1912,33,1945,0.010057228,0.004245684,0.010057228,0.004245684,164126,58740,0.35789576301134496,2070,0.012612261311431462
0,0,1,1912,34,1946,0.009324144,0.004302073,0.009324144,0.004302073,163741,59322,0.36229166793900125,2309,0.014101538405164253
0,0,1,1912,35,1947,0.00863825,0.004362225,0.00863825,0.004362225,163358,59803,0.36608552994037635,2577,0.015775168648000097
0,0,1,1912,36,1948,0.007988186,0.004439713,0.007988186,0.004439713,162994,60177,0.36919763917690224,2844,0.017448495036627116
0,0,1,1912,37,1949,0.007365373,0.004549192,0.007365373,0.004549192,162604,60475,0.37191582002902757,3105,0.01909547120612039
0,0,1,1912,38,1950,0.006763684,0.004707185,0.006763684,0.004707185,162219,60723,0.37432729828195216,3390,0.020897675364784644
0,0,1,1912,39,1951,0.006181562,0.004929585,0.006181562,0.004929585,161829,60824,0.3758535243992115,3661,0.022622644890594394
0,0,1,1912,40,1952,0.005627207,0.005220335,0.005627207,0.005220335,161396,60877,0.37719026493841235,3951,0.024480160598775683
0,0,1,1912,41,1953,0.005108446,0.005581037,0.005108446,0.005581037,160956,60891,0.37830835756355774,4271,0.026535202167051866
0,0,1,1912,42,1954,0.004630292,0.006014494,0.004630292,0.006014494,160523,60800,0.3787619219675685,4584,0.028556655432554836
0,0,1,1912,43,1955,0.004195414,0.006523822,0.004195414,0.006523822,160067,60593,0.378547733136749,4933,0.030818344818107416
0,0,1,1912,44,1956,0.003804625,0.007111736,0.003804625,0.007111736,159563,60328,0.37808263820559906,5306,0.03325332313882291
0,0,1,1912,45,1957,0.003457353,0.007779858,0.003457353,0.007779858,159033,59913,0.3767331308596329,5695,0.035810177761848166
0,0,1,1912,46,1958,0.003152062,0.008527917,0.003152062,0.008527917,158470,59412,0.3749100776172146,6137,0.03872657285290591
0,0,1,1912,47,1959,0.002886621,0.009352842,0.002886621,0.009352842,157863,58817,0.3725825557603745,6628,0.041985772473600524
0,0,1,1912,48,1960,0.002658603,0.010247769,0.002658603,0.010247769,157212,58231,0.37039793399994914,7192,0.045747143983919804
0,0,1,1912,49,1961,0.002464361,0.011204399,0.002464361,0.011204399,156503,57506,0.36744343558909415,7675,0.04904059347105167
0,0,1,1912,50,1962,0.002296333,0.01222458,0.002296333,0.01222458,155795,56685,0.36384351230784046,8285,0.05317885683109214
0,0,1,1912,51,1963,0.002147454,0.01331308,0.002147454,0.01331308,154947,55732,0.35968427914060935,8886,0.05734864179364557
0,0,1,1912,52,1964,0.002011982,0.01447157,0.002011982,0.01447157,154093,54667,0.3547662775077388,9579,0.062163758249888054
0,0,1,1912,53,1965,0.001885304,0.015700328,0.001885304,0.015700328,153080,53589,0.3500718578521035,10308,0.06733733995296577
0,0,1,1912,54,1966,0.001763767,0.016998932,0.001763767,0.016998932,152088,52394,0.34449792225553627,11058,0.07270790594918732
0,0,1,1912,55,1967,0.001644556,0.018366166,0.001644556,0.018366166,151039,51164,0.33874694615298034,11876,0.07862869854805712
0,0,1,1912,56,1968,0.001525627,0.019799941,0.001525627,0.019799941,149924,49769,0.33196152717376803,12696,0.08468290600570956
0,0,1,1912,57,1969,0.001405677,0.021297214,0.001405677,0.021297214,148742,48373,0.3252141291632491,13652,0.09178308749378118
0,0,1,1912,58,1970,0.001284117,0.022853915,0.001284117,0.022853915,147522,46954,0.3182847304130909,14541,0.09856834912758775
0,0,1,1912,59,1971,0.001161532,0.024464889,0.001161532,0.024464889,146235,45349,0.3101104386774712,15453,0.1056723766540158
0,0,1,1912,60,1972,0.00104068,0.02612385,0.00104068,0.02612385,144845,43678,0.3015499326866651,16469,0.11370085263557596
0,0,1,1912,61,1973,0.000924296,0.027824344,0.000924296,0.027824344,143347,41995,0.2929604386558491,17450,0.12173257898665477
0,0,1,1912,62,1974,0.000814558,0.029563223,0.000814558,0.029563223,141808,40277,0.28402487870924065,18493,0.1304087216518109
0,0,1,1912,63,1975,0.000712976,0.031338523,0.000712976,0.031338523,140251,38545,0.27482869997361875,19526,0.13922182373031208
0,0,1,1912,64,1976,0.00062043,0.033148644,0.00062043,0.033148644,138614,36693,0.26471352100076473,20454,0.14756085243914757
0,0,1,1912,65,1977,0.000537282,0.03499242,0.000537282,0.03499242,136868,34940,0.2552824619341263,21476,0.1569103077417658
0,0,1,1912,66,1978,0.000463475,0.036869169,0.000463475,0.036869169,135127,33150,0.24532476855106677,22379,0.16561456999711383
0,0,1,1912,67,1979,0.000398648,0.038778754,0.000398648,0.038778754,133208,31345,0.23530869016875863,23231,0.1743964326466879
0,0,1,1912,68,1980,0.000342231,0.040721635,0.000342231,0.040721635,131195,29524,0.2250390639887191,24086,0.1835893136171348
0,0,1,1912,69,1981,0.000293477,0.042698946,0.000293477,0.042698946,128977,27651,0.21438706125898416,24852,0.1926855175729006
0,0,1,1912,70,1982,0.000251455,0.044712666,0.000251455,0.044712666,126719,25746,0.203173951814645,25534,0.2015009588143846
0,0,1,1912,71,1983,0.000215287,0.046765577,0.000215287,0.046765577,124142,23849,0.19211064748433246,26114,0.2103558827793978
0,0,1,1912,72,1984,0.0001842,0.048861278,0.0001842,0.048861278,121371,21921,0.18061151345873397,26532,0.21860246681662013
0,0,1,1912,73,1985,0.000157512,0.05100423,0.000157512,0.05100423,118263,20070,0.16970650161081657,26867,0.2271800985938121
0,0,1,1912,74,1986,0.000134628,0.053199804,0.000134628,0.053199804,115089,18258,0.15864244193624064,27095,0.23542649601612664
0,0,1,1912,75,1987,0.000115025,0.055454332,0.000115025,0.055454332,111723,16559,0.14821478119993198,27142,0.2429401287111875
0,0,1,1912,76,1988,9.8248e-05,0.057775163,9.8248e-05,0.057775163,108150,14824,0.1370688858067499,27036,0.2499861303744799
0,0,1,1912,77,1989,8.3902e-05,0.060170724,8.3902e-05,0.060170724,104380,13319,0.1276010730024909,26879,0.25751101743629046
0,0,1,1912,78,1990,7.1645e-05,0.062650592,7.1645e-05,0.062650592,100486,11797,0.11739943872778298,26446,0.26318094062854525
0,0,1,1912,79,1991,6.1177e-05,0.065224116,6.1177e-05,0.065224116,96303,10365,0.10762904582411763,25901,0.2689531997964757
0,0,1,1912,80,1992,5.2238e-05,0.067895696,5.2238e-05,0.067895696,92029,8932,0.09705636266828935,25130,0.27306609872974824
0,0,1,1912,81,1993,4.4605e-05,0.070668431,4.4605e-05,0.070668431,87319,7652,0.0876327030772226,24162,0.27670953629794204
0,0,1,1912,82,1994,3.8088e-05,0.073545466,3.8088e-05,0.073545466,82310,6448,0.07833799052363018,22992,0.2793342242740858
0,0,1,1912,83,1995,3.2523e-05,0.076529984,3.2523e-05,0.076529984,76908,5387,0.0700447287668383,21663,0.2816742081447964
0,0,1,1912,84,1996,2.7771e-05,0.079625206,2.7771e-05,0.079625206,71500,4362,0.061006993006993006,20160,0.28195804195804197
0,0,1,1912,85,1997,2.3713e-05,0.082834384,2.3713e-05,0.082834384,65799,3491,0.053055517561057156,18516,0.28140245292481647
0,0,1,1912,86,1998,2.0248e-05,0.082834384,2.0248e-05,0.082834384,59899,2727,0.04552663650478305,16760,0.2798043373011236
0,0,1,1912,87,1999,1.729e-05,0.082834384,1.729e-05,0.082834384,53934,2118,0.03927021915674714,14841,0.2751696517966403
0,0,1,1912,88,2000,1.4763e-05,0.082834384,1.4763e-05,0.082834384,47911,1600,0.03339525369956795,13021,0.2717747490137964
0,0,1,1912,89,2001,1.2606e-05,0.082834384,1.2606e-05,0.082834384,41976,1182,0.028158947970268727,11140,0.265389746521822
0,0,1,1912,90,2002,1.0764e-05,0.082834384,1.0764e-05,0.082834384,36174,833,0.02302758887598828,9366,0.25891524299220436
0,0,1,1912,91,2003,9.191e-06,0.082834384,9.191e-06,0.082834384,30717,575,0.018719275970960705,7689,0.2503174138099424
0,0,1,1912,92,2004,7.848e-06,0.082834384,7.848e-06,0.082834384,25529,387,0.015159230678835834,6247,0.24470210349014845
0,0,1,1912,93,2005,6.702e-06,0.082834384,6.702e-06,0.082834384,21127,248,0.011738533629952193,4966,0.2350546693804137
0,0,1,1912,94,2006,5.722e-06,0.082834384,5.722e-06,0.082834384,16950,159,0.009380530973451328,3879,0.22884955752212388
0,0,1,1912,95,2007,4.886e-06,0.082834384,4.886e-06,0.082834384,13542,84,0.006202924235711121,2943,0.21732388125830748
0,0,1,1912,96,2008,4.172e-06,0.082834384,4.172e-06,0.082834384,10600,49,0.004622641509433962,2182,0.2058490566037736
0,0,1,1912,97,2009,3.563e-06,0.082834384,3.563e-06,0.082834384,8012,26,0.0032451323015476783,1608,0.20069895157264103
0,0,1,1912,98,2010,3.042e-06,0.082834384,3.042e-06,0.082834384,5982,14,0.002340354396522902,1188,0.19859578736208625
0,0,1,1912,99,2011,2.598e-06,0.082834384,2.598e-06,0.082834384,4483,12,0.0026767789426723177,904,0.20165068034798125
0,0,1,1997,0,1997,0.0,0.0,0.0,0.0,200000,0,0.0,0,0.0
0,0,1,1997,1,1998,0.0,0.0,0.0,0.0,198699,0,0.0,0,0.0
0,0,1,1997,2,1999,0.0,0.0,0.0,0.0,198607,0,0.0,0,0.0
0,0,1,1997,3,2000,0.0,0.0,0.0,0.0,198542,0,0.0,0,0.0
0,0,1,1997,4,2001,0.0,0.0,0.0,0.0,198505,0,0.0,0,0.0
0,0,1,1997,5,2002,0.0,0.0,0.0,0.0,198467,0,0.0,0,0.0
0,0,1,1997,6,2003,0.0,0.0,0.0,0.0,198442,0,0.0,0,0.0
0,0,1,1997,7,2004,0.0,0.0,0.0,0.0,198420,0,0.0,0,0.0
0,0,1,1997,8,2005,0.00016009,0.0,0.00016009,0.0,198404,37,0.00018648817564162013,0,0.0
0,0,1,1997,9,2006,0.000361075,0.0,0.000361075,0.0,198372,112,0.0005645958098925252,0,0.0
0,0,1,1997,10,2007,0.00081418,0.0,0.00081418,0.0,198349,273,0.0013763618672138504,0,0.0
0,0,1,1997,11,2008,0.001821313,0.0,0.001821313,0.0,198323,600,0.0030253677082335384,0,0.0
0,0,1,1997,12,2009,0.003892942,0.0,0.003892942,0.0,198300,1355,0.006833081190115986,0,0.0
0,0,1,1997,13,2010,0.007600487,0.0,0.007600487,0.0,198281,2836,0.014302933715282856,0,0.0
0,0,1,1997,14,2011,0.012964372,0.0,0.012964372,0.0,198256,5375,0.027111411508352837,0,0.0
0,0,1,1997,15,2012,0.018507345,0.018636085,0.018507345,0.018636085,198220,8690,0.04384017758046615,0,0.0
0,0,1,1997,16,2013,0.023196437,0.01897548,0.023196437,0.01897548,198174,12746,0.06431721618375771,170,0.000857832006216759
0,0,1,1997,17,2014,0.024450226,0.019320934,0.024450226,0.019320934,198134,17030,0.08595193152109179,394,0.0019885532013687707
0,0,1,1997,18,2015,0.02267506,0.019672552,0.02267506,0.019672552,198074,20785,0.10493552914567283,709,0.0035794702989791695
0,0,1,1997,19,2016,0.019335559,0.020030437,0.019335559,0.020030437,198012,23770,0.1200432297032503,1109,0.005600670666424257
0,0,1,1997,20,2017,0.01584426,0.020394698,0.01584426,0.020394698,197950,25938,0.13103308916393028,1618,0.008173781257893408
0,0,1,1997,21,2018,0.012949441,0.020765443,0.012949441,0.020765443,197880,27589,0.1394228825550839,2170,0.01096624216696988
0,0,1,1997,22,2019,0.010635536,0.021142782,0.010635536,0.021142782,197799,28812,0.14566302155218175,2753,0.01391816945485063
0,0,1,1997,23,2020,0.008778134,0.021526826,0.008778134,0.021526826,197726,29601,0.14970717052891375,3376,0.01707413289097033
