"policy_number","race","gender","cohort","age","year","baseline_initiation_rate","baseline_cessation_rate","initiation_rate","cessation_rate","survivors","alive_smokers","smoking_prevalence","former_smokers","former_prevalence"
0,0,0,1864,0,1864,0,0,0,0,1e+06,0,0,0,0
0,0,0,1864,1,1865,0,0,0,0,854040,0,0,0,0
0,0,0,1864,2,1866,0,0,0,0,826010,0,0,0,0
0,0,0,1864,3,1867,0,0,0,0,812513,0,0,0,0
0,0,0,1864,4,1868,0,0,0,0,803966,0,0,0,0
0,0,0,1864,5,1869,0,0,0,0,796931,0,0,0,0
0,0,0,1864,6,1870,0,0,0,0,791926,0,0,0,0
0,0,0,1864,7,1871,0,0,0,0,788268,0,0,0,0
0,0,0,1864,8,1872,0.000822116,0,0.000822116,0,785698,0,0,0,0
0,0,0,1864,9,1873,0.001716128,0,0.001716128,0,783686,644,0.000822116,0,0
0,0,0,1864,10,1874,0.003579535,0,0.003579535,0,782096,1984,0.00253683314371315,0,0
0,0,0,1864,11,1875,0.007411211,0,0.007411211,0,780445,4766,0.00610728746068607,0,0
0,0,0,1864,12,1876,0.014776401,0,0.014776401,0,778760,10492,0.0134732360646773,0,0
0,0,0,1864,13,1877,0.027359628,0,0.027359628,0,777109,21798,0.0280505511258179,0,0
0,0,0,1864,14,1878,0.045418328,0,0.045418328,0,775251,42362,0.0546427264818206,0,0
0,0,0,1864,15,1879,0.06546338,0.002729104,0.06546338,0.002729104,773282,75456,0.097579273207655,0,0
0,0,0,1864,16,1880,0.080499012,0.002778656,0.080499012,0.002778656,771218,120610,0.15638848018071,205,0.000266303984828104
0,0,0,1864,17,1881,0.086626569,0.002829105,0.086626569,0.002829105,768750,172079,0.223842387041526,539,0.000700853773613115
0,0,0,1864,18,1882,0.084312432,0.002880468,0.084312432,0.002880468,765844,222389,0.290384271881179,1022,0.00133412739000423
0,0,0,1864,19,1883,0.076528213,0.00293276,0.076528213,0.00293276,758852,265040,0.349264773576621,1647,0.00217056999286127
0,0,0,1864,20,1884,0.06676466,0.002985999,0.06676466,0.002985999,754822,300324,0.397873957990853,2412,0.00319487975021584
0,0,0,1864,21,1885,0.057440227,0.003040201,0.057440227,0.003040201,750995,327940,0.436673342161789,3292,0.00438293099090257
0,0,0,1864,22,1886,0.049000413,0.003095384,0.049000413,0.003095384,747713,349520,0.467451621980611,4270,0.00571050572241618
0,0,0,1864,23,1887,0.041461491,0.003151566,0.041461491,0.003151566,744356,366089,0.491819953035751,5328,0.00715744799386901
0,0,0,1864,24,1888,0.034810397,0.003208764,0.034810397,0.003208764,740843,378603,0.511043093971649,6451,0.00870745103597808
0,0,0,1864,25,1889,0.029010596,0.003266996,0.029010596,0.003266996,737465,387996,0.526120951476582,7631,0.0103472677183629
0,0,0,1864,26,1890,0.024008103,0.003326282,0.024008103,0.003326282,734057,394812,0.537849449658688,8857,0.0120661027623531
0,0,0,1864,27,1891,0.019737207,0.00338664,0.019737207,0.00338664,730629,399556,0.546866084491752,10123,0.0138551417054627
0,0,0,1864,28,1892,0.01612556,0.00344809,0.01612556,0.00344809,727290,402689,0.553684182024621,11424,0.0157071802618459
0,0,0,1864,29,1893,0.013098447,0.003510651,0.013098447,0.003510651,723698,404343,0.558718834557391,12749,0.0176163331530431
0,0,0,1864,30,1894,0.010582164,0.003574342,0.010582164,0.003574342,720050,404889,0.562306719073642,14097,0.0195777999883009
0,0,0,1864,31,1895,0.008508952,0.003639501,0.008508952,0.003639501,716515,404631,0.564721409141,15468,0.021587676511168
0,0,0,1864,32,1896,0.006822164,0.00370777,0.006822164,0.00370777,712961,403669,0.566186181140732,16857,0.0236429806444581
0,0,0,1864,33,1897,0.005465575,0.003781246,0.005465575,0.003781246,709596,402259,0.566885145730203,18267,0.0257422687813063
0,0,0,1864,34,1898,0.004384699,0.003862191,0.004384699,0.003862191,706103,400338,0.566968138959382,19690,0.027885800971058
0,0,0,1864,35,1899,0.003529835,0.003953075,0.003529835,0.003953075,702404,397950,0.566554843240248,21125,0.0300755402146337
0,0,0,1864,36,1900,0.002857578,0.004056618,0.002857578,0.004056618,698479,395157,0.565739037643723,22571,0.0323151740015756
0,0,0,1864,37,1901,0.002331239,0.004175865,0.002331239,0.004175865,694352,392026,0.56459264192231,24032,0.0346101611649838
0,0,0,1864,38,1902,0.001920587,0.004314269,0.001920587,0.004314269,690061,388621,0.563169333326183,25510,0.0369678238176447
0,0,0,1864,39,1903,0.001601221,0.004475807,0.001601221,0.004475807,685625,384984,0.561507640707435,27012,0.0393974878141646
0,0,0,1864,40,1904,0.001353781,0.004665127,0.001353781,0.004665127,681050,381138,0.559633479967807,28543,0.0419106876429964
0,0,0,1864,41,1905,0.001162713,0.004886685,0.001162713,0.004886685,676297,376234,0.556315159147496,30167,0.0446062047591718
0,0,0,1864,42,1906,0.001014672,0.005141391,0.001014672,0.005141391,671335,371069,0.552732727516115,31833,0.0474181667536347
0,0,0,1864,43,1907,0.000899598,0.005429071,0.000899598,0.005429071,666089,365592,0.54886381874773,33547,0.0503641176962417
0,0,0,1864,44,1908,0.000810175,0.005749265,0.000810175,0.005749265,660504,359777,0.54470186030088,35310,0.0534585542646326
0,0,0,1864,45,1909,0.000741064,0.006101049,0.000741064,0.006101049,654545,353605,0.540230745293072,37123,0.0567163125416961
0,0,0,1864,46,1910,0.000688361,0.006482848,0.000688361,0.006482848,648187,347062,0.535434672532633,38989,0.060150834013352
0,0,0,1864,47,1911,0.000649229,0.006892241,0.000649229,0.006892241,641418,340145,0.530302172399925,40905,0.0637734837622629
0,0,0,1864,48,1912,0.000621639,0.007325765,0.000621639,0.007325765,634236,332863,0.524824453889193,42870,0.0675932344545571
0,0,0,1864,49,1913,0.00060419,0.007778728,0.00060419,0.007778728,626624,325218,0.518999858243538,44878,0.0716186632271288
0,0,0,1864,50,1914,0.000595993,0.008245044,0.000595993,0.008245044,618550,317203,0.512816203363051,46919,0.0758537591923549
0,0,0,1864,51,1915,0.000596419,0.00871961,0.000596419,0.00871961,609995,308821,0.506268013596802,48981,0.0802981497683991
0,0,0,1864,52,1916,0.000604532,0.009206819,0.000604532,0.009206819,600993,300118,0.49936903487884,51052,0.0849465618348199
0,0,0,1864,53,1917,0.000619486,0.00971501,0.000619486,0.00971501,591600,291149,0.492137334757737,53122,0.0897945459788157
0,0,0,1864,54,1918,0.000640584,0.010254387,0.000640584,0.010254387,581867,281987,0.484623896374399,55180,0.0948329560357426
0,0,0,1864,55,1919,0.000667179,0.010837269,0.000667179,0.010837269,571843,272680,0.476843415029576,57220,0.100062898342608
