policy_number,race,gender,cohort,age,year,baseline_initiation_rate,baseline_cessation_rate,initiation_rate,cessation_rate,survivors,alive_smokers,smoking_prevalence,former_smokers,former_prevalence
0,0,1,2006,0,2006,0.0,0.0,0.0,0.0,100000,0,0.0,0,0.0
0,0,1,2006,1,2007,0.0,0.0,0.0,0.0,99329,0,0.0,0,0.0
0,0,1,2006,2,2008,0.0,0.0,0.0,0.0,99285,0,0.0,0,0.0
0,0,1,2006,3,2009,0.0,0.0,0.0,0.0,99257,0,0.0,0,0.0
0,0,1,2006,4,2010,0.0,0.0,0.0,0.0,99240,0,0.0,0,0.0
0,0,1,2006,5,2011,0.0,0.0,0.0,0.0,99225,0,0.0,0,0.0
0,0,1,2006,6,2012,0.0,0.0,0.0,0.0,99217,0,0.0,0,0.0
0,0,1,2006,7,2013,0.0,0.0,0.0,0.0,99211,0,0.0,0,0.0
0,0,1,2006,8,2014,9.3855e-05,0.0,9.3855e-05,0.0,99206,13,0.00013104046126242365,0,0.0
0,0,1,2006,9,2015,0.000228483,0.0,0.000228483,0.0,99194,29,0.00029235639252374134,0,0.0
0,0,1,2006,10,2016,0.000556115,0.0,0.000556115,0.0,99181,93,0.0009376795958903419,0,0.0
0,0,1,2006,11,2017,0.001342945,0.0,0.001342945,0.0,99166,221,0.0022285864106649455,0,0.0
0,0,1,2006,12,2018,0.003099012,0.0,0.003099012,0.0,99157,520,0.005244208679165364,0,0.0
0,0,1,2006,13,2019,0.006531931,0.0,0.006531931,0.0,99152,1167,0.01176980797159916,0,0.0
0,0,1,2006,14,2020,0.012023521,0.0,0.012023521,0.0,99148,2337,0.02357082341550006,0,0.0
0,0,1,2006,15,2021,0.018507345,0.018636085,0.018507345,0.018636085,99135,3969,0.04003631411711303,0,0.0
0,0,1,2006,16,2022,0.023196437,0.01897548,0.023196437,0.01897548,99117,6054,0.0610793304882109,72,0.0007264142377190593
0,0,1,2006,17,2023,0.024450226,0.019320934,0.024450226,0.019320934,99099,8217,0.08291708291708291,188,0.0018970928061837152
0,0,1,2006,18,2024,0.02267506,0.019672552,0.02267506,0.019672552,99072,10142,0.10236999354005168,347,0.00350250322997416
0,0,1,2006,19,2025,0.019335559,0.020030437,0.019335559,0.020030437,99048,11651,0.11762983603909216,537,0.005421613763023988
0,0,1,2006,20,2026,0.01584426,0.020394698,0.01584426,0.020394698,99018,12702,0.1282797067199903,761,0.007685471328445334
0,0,1,2006,21,2027,0.012949441,0.020765443,0.012949441,0.020765443,98982,13478,0.13616617162716455,1062,0.010729223495180943
0,0,1,2006,22,2028,0.010635536,0.021142782,0.010635536,0.021142782,98937,14050,0.1420095616402357,1348,0.013624831963774927
0,0,1,2006,23,2029,0.008778134,0.021526826,0.008778134,0.021526826,98899,14479,0.1464018847511097,1669,0.016875802586477112
0,0,1,2006,24,2030,0.007280674,0.021917691,0.007280674,0.021917691,98864,14783,0.14952864541187894,1989,0.02011854669040298
0,0,1,2006,25,2031,0.00606806,0.022315491,0.00606806,0.022315491,98832,14924,0.1510037234903675,2320,0.023474178403755867
0,0,1,2006,26,2032,0.005081733,0.022720343,0.005081733,0.022720343,98794,14990,0.15172986213737677,2679,0.027117031398667935
0,0,1,2006,27,2033,0.00427589,0.023132366,0.00427589,0.023132366,98753,14974,0.1516308365315484,3016,0.030540844328779886
0,0,1,2006,28,2034,0.003614586,0.023551681,0.003614586,0.023551681,98718,14910,0.15103628517595574,3389,0.034330112036305434
0,0,1,2006,29,2035,0.003069512,0.02397841,0.003069512,0.02397841,98685,14800,0.14997213355626487,3740,0.03789836347975883
0,0,1,2006,30,2036,0.002618287,0.024412677,0.002618287,0.024412677,98650,14627,0.14827166751140394,4082,0.041378611251900656
0,0,1,2006,31,2037,0.002243153,0.024653541,0.002243153,0.024653541,98610,14428,0.14631376128181725,4467,0.045299665348341955
0,0,1,2006,32,2038,0.001929965,0.024897315,0.001929965,0.024897315,98569,14245,0.14451805334334325,4862,0.04932585295579746
0,0,1,2006,33,2039,0.00166741,0.025144638,0.00166741,0.025144638,98525,13978,0.14187262116214158,5194,0.05271758436944938
0,0,1,2006,34,2040,0.001446407,0.025396172,0.001446407,0.025396172,98474,13732,0.13944797611552287,5559,0.05645144911347157
0,0,1,2006,35,2041,0.001259639,0.025652604,0.001259639,0.025652604,98427,13488,0.1370355695083666,5913,0.06007497942637691
0,0,1,2006,36,2042,0.001101184,0.025914647,0.001101184,0.025914647,98382,13200,0.1341708849179728,6257,0.06359903234331483
0,0,1,2006,37,2043,0.000966236,0.026183041,0.000966236,0.026183041,98319,12938,0.1315920625718325,6627,0.06740304518963781
0,0,1,2006,38,2044,0.000850877,0.026458553,0.000850877,0.026458553,98265,12651,0.128743703251412,6944,0.07066605607286419
0,0,1,2006,39,2045,0.0007519,0.026741984,0.0007519,0.026741984,98197,12368,0.1259508946301822,7297,0.07430980579854782
0,0,1,2006,40,2046,0.000666674,0.027034163,0.000666674,0.027034163,98125,12056,0.12286369426751592,7632,0.07777834394904459
0,0,1,2006,41,2047,0.00059303,0.027336719,0.00059303,0.027336719,98054,11764,0.11997470781406164,7979,0.08137352887184612
0,0,1,2006,42,2048,0.000529175,0.027654449,0.000529175,0.027654449,97979,11451,0.11687198277181846,8308,0.08479368027842701
0,0,1,2006,43,2049,0.000473621,0.027993151,0.000473621,0.027993151,97900,11189,0.11429009193054136,8644,0.08829417773237998
0,0,1,2006,44,2050,0.000425128,0.028358916,0.000425128,0.028358916,97823,10901,0.11143596086809851,8941,0.09139977305950543
0,0,1,2006,45,2051,0.000382663,0.02875817,0.000382663,0.02875817,97740,10617,0.10862492326580725,9244,0.09457745037855535
0,0,1,2006,46,2052,0.000345358,0.029197737,0.000345358,0.029197737,97658,10306,0.10553154887464417,9539,0.09767760961723566
0,0,1,2006,47,2053,0.000312485,0.029684914,0.000312485,0.029684914,97540,9996,0.10248103342218577,9846,0.10094320278859954
0,0,1,2006,48,2054,0.000283427,0.030227561,0.000283427,0.030227561,97424,9688,0.09944161602890458,10145,0.10413245196255543
0,0,1,2006,49,2055,0.000257667,0.030834216,0.000257667,0.030834216,97301,9378,0.09638133215485967,10442,0.10731647156760979
0,0,1,2006,50,2056,0.000234762,0.031514219,0.000234762,0.031514219,97179,9079,0.09342553432325915,10737,0.11048683357515512
0,0,1,2006,51,2057,0.000214335,0.032275696,0.000214335,0.032275696,97041,8767,0.09034325697385641,11024,0.113601467420987
