policy_number,race,gender,cohort,age,year,baseline_initiation_rate,baseline_cessation_rate,initiation_rate,cessation_rate,survivors,alive_smokers,smoking_prevalence,former_smokers,former_prevalence
0,0,1,2016,0,2016,0.0,0.0,0.0,0.0,500000,0,0.0,0,0.0
0,0,1,2016,1,2017,0.0,0.0,0.0,0.0,497579,0,0.0,0,0.0
0,0,1,2016,2,2018,0.0,0.0,0.0,0.0,497149,0,0.0,0,0.0
0,0,1,2016,3,2019,0.0,0.0,0.0,0.0,497001,0,0.0,0,0.0
0,0,1,2016,4,2020,0.0,0.0,0.0,0.0,496931,0,0.0,0,0.0
0,0,1,2016,5,2021,0.0,0.0,0.0,0.0,496884,0,0.0,0,0.0
0,0,1,2016,6,2022,0.0,0.0,0.0,0.0,496855,0,0.0,0,0.0
0,0,1,2016,7,2023,0.0,0.0,0.0,0.0,496818,0,0.0,0,0.0
0,0,1,2016,8,2024,9.3855e-05,0.0,9.3855e-05,0.0,496779,53,0.00010668727945424424,0,0.0
0,0,1,2016,9,2025,0.000228483,0.0,0.000228483,0.0,496751,181,0.00036436766106157813,0,0.0
0,0,1,2016,10,2026,0.000556115,0.0,0.000556115,0.0,496709,448,0.0009019365463480629,0,0.0
0,0,1,2016,11,2027,0.001342945,0.0,0.001342945,0.0,496676,1066,0.002146268392271823,0,0.0
0,0,1,2016,12,2028,0.003099012,0.0,0.003099012,0.0,496643,2565,0.005164675632194554,0,0.0
0,0,1,2016,13,2029,0.006531931,0.0,0.006531931,0.0,496610,5763,0.011604679728559634,0,0.0
0,0,1,2016,14,2030,0.012023521,0.0,0.012023521,0.0,496573,11567,0.023293654709378078,0,0.0
0,0,1,2016,15,2031,0.018507345,0.018636085,0.018507345,0.018636085,496519,20039,0.040358979213282874,0,0.0
0,0,1,2016,16,2032,0.023196437,0.01897548,0.023196437,0.01897548,496459,30311,0.061054387169937496,376,0.0007573636493648016
0,0,1,2016,17,2033,0.024450226,0.019320934,0.024450226,0.019320934,496389,40777,0.08214726756636428,954,0.0019218798160313786
0,0,1,2016,18,2034,0.02267506,0.019672552,0.02267506,0.019672552,496292,50184,0.10111789027427402,1746,0.0035180901566013558
0,0,1,2016,19,2035,0.019335559,0.020030437,0.019335559,0.020030437,496191,57639,0.1161629291946045,2708,0.0054575758125399295
0,0,1,2016,20,2036,0.01584426,0.020394698,0.01584426,0.020394698,496073,63093,0.1271849102853814,3892,0.007845619495517797
0,0,1,2016,21,2037,0.012949441,0.020765443,0.012949441,0.020765443,495948,67166,0.13542952083686194,5268,0.010622081347238016
0,0,1,2016,22,2038,0.010635536,0.021142782,0.010635536,0.021142782,495800,70156,0.14150060508269463,6729,0.013572004840661556
0,0,1,2016,23,2039,0.008778134,0.021526826,0.008778134,0.021526826,495656,72276,0.14581887438061883,8299,0.01674346724341075
0,0,1,2016,24,2040,0.007280674,0.021917691,0.007280674,0.021917691,495512,73554,0.14844040103973263,9905,0.019989425079513717
0,0,1,2016,25,2041,0.00606806,0.022315491,0.00606806,0.022315491,495357,74328,0.15004935834155972,11561,0.02333872338535642
0,0,1,2016,26,2042,0.005081733,0.022720343,0.005081733,0.022720343,495188,74682,0.1508154478703038,13263,0.026783766973351535
0,0,1,2016,27,2043,0.00427589,0.023132366,0.00427589,0.023132366,495055,74611,0.1507125470907273,14982,0.03026330407732474
0,0,1,2016,28,2044,0.003614586,0.023551681,0.003614586,0.023551681,494891,74259,0.15005122340070845,16772,0.03389029099337026
0,0,1,2016,29,2045,0.003069512,0.02397841,0.003069512,0.02397841,494714,73695,0.14896485646252178,18543,0.03748226247892722
0,0,1,2016,30,2046,0.002618287,0.024412677,0.002618287,0.024412677,494541,72905,0.14741952638911637,20290,0.04102794308257556
0,0,1,2016,31,2047,0.002243153,0.024653541,0.002243153,0.024653541,494361,71941,0.1455232107710762,22069,0.04464146645872146
0,0,1,2016,32,2048,0.001929965,0.024897315,0.001929965,0.024897315,494177,70929,0.14352954508202526,23895,0.048353120440651834
0,0,1,2016,33,2049,0.00166741,0.025144638,0.00166741,0.025144638,493965,69738,0.141180043120464,25642,0.05191056046481026
0,0,1,2016,34,2050,0.001446407,0.025396172,0.001446407,0.025396172,493780,68418,0.13855968244967395,27424,0.055538903965328686
0,0,1,2016,35,2051,0.001259639,0.025652604,0.001259639,0.025652604,493565,67118,0.1359861416429447,29209,0.05917964199244274
0,0,1,2016,36,2052,0.001101184,0.025914647,0.001101184,0.025914647,493334,65822,0.1334227926719018,30945,0.06272626658612623
0,0,1,2016,37,2053,0.000966236,0.026183041,0.000966236,0.026183041,493103,64501,0.13080634269108077,32652,0.06621740285498162
