policy_number,race,gender,cohort,age,year,baseline_initiation_rate,baseline_cessation_rate,initiation_rate,cessation_rate,survivors,alive_smokers,smoking_prevalence,former_smokers,former_prevalence
0,0,0,1917,0,1917,0.0,0.0,0.0,0.0,500000,0,0.0,0,0.0
0,0,0,1917,1,1918,0.0,0.0,0.0,0.0,453658,0,0.0,0,0.0
0,0,0,1917,2,1919,0.0,0.0,0.0,0.0,440441,0,0.0,0,0.0
0,0,0,1917,3,1920,0.0,0.0,0.0,0.0,436475,0,0.0,0,0.0
0,0,0,1917,4,1921,0.0,0.0,0.0,0.0,433504,0,0.0,0,0.0
0,0,0,1917,5,1922,0.0,0.0,0.0,0.0,431620,0,0.0,0,0.0
0,0,0,1917,6,1923,0.0,0.0,0.0,0.0,430080,0,0.0,0,0.0
0,0,0,1917,7,1924,0.0,0.0,0.0,0.0,428853,0,0.0,0,0.0
0,0,0,1917,8,1925,0.001962798,0.0,0.001962798,0.0,427935,882,0.0020610606751025272,0,0.0
0,0,0,1917,9,1926,0.003931395,0.0,0.003931395,0.0,427170,2573,0.0060233630638855725,0,0.0
0,0,0,1917,10,1927,0.007874574,0.0,0.007874574,0.0,426476,5832,0.01367486095348859,0,0.0
0,0,0,1917,11,1928,0.015677315,0.0,0.015677315,0.0,425808,12535,0.029438150527937475,0,0.0
0,0,0,1917,12,1929,0.030104121,0.0,0.030104121,0.0,425053,24884,0.05854328754296523,0,0.0
0,0,0,1917,13,1930,0.053788299,0.0,0.053788299,0.0,424314,46415,0.10938833034026688,0,0.0
0,0,0,1917,14,1931,0.086418381,0.0,0.086418381,0.0,423533,78771,0.18598550762278265,0,0.0
0,0,0,1917,15,1932,0.121119126,0.002082673,0.121119126,0.002082673,422631,120153,0.28429764972280785,0,0.0
0,0,0,1917,16,1933,0.145962163,0.002236081,0.145962163,0.002236081,421769,163420,0.3874632796625641,275,0.0006520156768278371
0,0,0,1917,17,1934,0.155275334,0.0024101,0.155275334,0.0024101,420767,202048,0.48018974872078846,671,0.0015947068092317127
0,0,0,1917,18,1935,0.150451922,0.002604501,0.150451922,0.002604501,419664,233368,0.5560829616073811,1139,0.0027140760227229404
0,0,0,1917,19,1936,0.136517097,0.002818496,0.136517097,0.002818496,418446,256956,0.6140720666465924,1765,0.004217987506153721
0,0,0,1917,20,1937,0.1191932,0.00305053,0.1191932,0.00305053,417196,274263,0.657396044065619,2463,0.0059036999395967365
0,0,0,1917,21,1938,0.102502866,0.003298072,0.102502866,0.003298072,416009,286737,0.6892567228112854,3259,0.007833965130562079
0,0,0,1917,22,1939,0.087227314,0.003557415,0.087227314,0.003557415,414842,295495,0.7123073362870683,4187,0.01009299926236977
0,0,0,1917,23,1940,0.073439946,0.003823505,0.073439946,0.003823505,413689,301818,0.7295770494260181,5179,0.012519066255085342
