policy_number,race,gender,cohort,age,year,baseline_initiation_rate,baseline_cessation_rate,initiation_rate,cessation_rate,survivors,alive_smokers,smoking_prevalence,former_smokers,former_prevalence
0,0,0,2058,0,2058,0.0,0.0,0.0,0.0,100000,0,0.0,0,0.0
0,0,0,2058,1,2059,0.0,0.0,0.0,0.0,99863,0,0.0,0,0.0
0,0,0,2058,2,2060,0.0,0.0,0.0,0.0,99837,0,0.0,0,0.0
0,0,0,2058,3,2061,0.0,0.0,0.0,0.0,99828,0,0.0,0,0.0
0,0,0,2058,4,2062,0.0,0.0,0.0,0.0,99825,0,0.0,0,0.0
0,0,0,2058,5,2063,0.0,0.0,0.0,0.0,99819,0,0.0,0,0.0
0,0,0,2058,6,2064,0.0,0.0,0.0,0.0,99815,0,0.0,0,0.0
0,0,0,2058,7,2065,0.0,0.0,0.0,0.0,99815,0,0.0,0,0.0
0,0,0,2058,8,2066,0.000442829,0.0,0.000442829,0.0,99813,53,0.0005309929568292708,0,0.0
0,0,0,2058,9,2067,0.000888343,0.0,0.000888343,0.0,99810,145,0.0014527602444644825,0,0.0
0,0,0,2058,10,2068,0.001781276,0.0,0.001781276,0.0,99809,334,0.0033463916079712252,0,0.0
0,0,0,2058,11,2069,0.00354796,0.0,0.00354796,0.0,99807,698,0.006993497450078652,0,0.0
0,0,0,2058,12,2070,0.006814578,0.0,0.006814578,0.0,99807,1350,0.013526105383389943,0,0.0
0,0,0,2058,13,2071,0.012181779,0.0,0.012181779,0.0,99804,2471,0.02475852671235622,0,0.0
0,0,0,2058,14,2072,0.019574094,0.0,0.019574094,0.0,99800,4336,0.04344689378757515,0,0.0
0,0,0,2058,15,2073,0.027348586,0.016437296,0.027348586,0.016437296,99793,6845,0.06859198540979829,0,0.0
0,0,0,2058,16,2074,0.032552923,0.016899039,0.032552923,0.016899039,99782,9795,0.09816399751458178,103,0.0010322503056663527
0,0,0,2058,17,2075,0.03379091,0.017373524,0.03379091,0.017373524,99766,12560,0.12589459334843534,265,0.0026562155443738346
0,0,0,2058,18,2076,0.031605444,0.01786109,0.031605444,0.01786109,99743,15046,0.15084767853383194,514,0.005153243836660217
0,0,0,2058,19,2077,0.027493596,0.018362082,0.027493596,0.018362082,99718,17059,0.1710724242363465,786,0.007882227882629014
0,0,0,2058,20,2078,0.022959572,0.018876858,0.022959572,0.018876858,99689,18546,0.18603857998374945,1094,0.010974129542878353
