"","yr2010","yr2011","yr2012","yr2013","yr2014","yr2015","yr2016","yr2017","yr2018","yr2019","yr2020","yr2021","yr2022","yr2023","yr2024","yr2025","yr2026","yr2027","yr2028","yr2029","yr2030","yr2031","yr2032","yr2033","yr2034","yr2035","yr2036","yr2037","yr2038","yr2039","yr2040","yr2041","yr2042","yr2043","yr2044","yr2045","yr2046","yr2047","yr2048","yr2049","yr2050","yr2051","yr2052","yr2053","yr2054","yr2055","yr2056","yr2057","yr2058","yr2059","yr2060"
"pop_0",2082745,2103300,2122996,2141430,1939928,1954084,1968007,1981628,1994394,2006229,2016583,2024922,2031406,2036616,2041022,2044786,2047888,2050150,2051670,2052838,2053928,2055061,2056574,2058649,2061427,2064905,2068887,2073281,2078019,2083151,2088621,2094433,2100656,2107205,2114080,2121261,2128618,2136056,2143460,2150769,2157897,2164811,2171443,2177747,2183722,2189364,2194709,2199790,2204631,2209303,2213880
"pop_1",2071807,2092343,2112848,2132496,1933019,1948010,1962265,1976276,1989990,2002843,2014769,2025216,2033657,2040247,2045559,2050067,2053931,2057135,2059500,2061116,2062378,2063564,2064786,2066384,2068550,2071411,2074969,2079030,2083496,2088307,2093505,2099038,2104913,2111198,2117802,2124735,2131979,2139386,2146871,2154320,2161673,2168845,2175797,2182472,2188814,2194822,2200498,2205867,2210974,2215839,2220533
"pop_2",2061451,2080933,2101485,2122005,1941924,1941109,1956196,1970531,1984618,1998417,2011338,2023332,2033871,2042399,2049079,2054470,2059060,2063002,2066289,2068734,2070423,2071762,2073022,2074312,2075983,2078214,2081140,2084755,2088872,2093397,2098273,2103521,2109110,2115038,2121376,2128025,2135012,2142301,2149753,2157273,2164755,2172147,2179353,2186341,2193051,2199418,2205457,2211155,2216553,2221678,2226555
"pop_3",2053994,2071505,2091059,2111684,1955816,1949129,1948381,1963552,1977952,1992119,2005982,2018946,2031017,2041634,2050239,2056987,2062450,2067113,2071123,2074483,2076997,2078758,2080158,2081481,2082827,2084558,2086844,2089829,2093498,2097660,2102236,2107158,2112460,2118105,2124082,2130460,2137148,2144174,2151500,2158986,2166541,2174049,2181469,2188704,2195718,2202451,2208839,2214915,2220637,2226054,2231196
"pop_4",2050260,2065366,2083016,2102710,1959463,1962214,1955580,1954894,1970136,1984598,1998821,2012717,2025747,2037885,2048567,2057236,2064051,2069577,2074298,2078370,2081791,2084358,2086177,2087631,2089003,2090401,2092184,2094532,2097558,2101275,2105484,2110095,2115067,2120414,2126092,2132106,2138521,2145237,2152309,2159662,2167172,2174761,2182296,2189743,2196999,2204029,2210781,2217196,2223296,2229023,2234463
"pop_5",2049607,2062633,2077947,2095803,1960765,1965385,1968185,1961598,1960969,1976269,1990780,2005018,2018977,2032070,2044265,2055010,2063729,2070603,2076184,2080963,2085090,2088560,2091178,2093042,2094544,2095961,2097407,2099237,2101623,2104694,2108454,2112708,2117357,2122365,2127748,2133451,2139493,2145940,2152692,2159789,2167164,2174698,2182311,2189866,2197328,2204616,2211663,2218429,2224858,2230963,2236707
"pop_6",2048618,2062519,2075816,2091399,2023097,1966403,1971044,1973884,1967333,1966759,1982117,1996638,2010925,2024942,2038095,2050344,2061142,2069910,2076827,2082470,2087296,2091468,2094992,2097657,2099563,2101107,2102565,2104045,2105914,2108337,2111446,2115248,2119538,2124216,2129256,2134672,2140398,2146466,2152944,2159720,2166838,2174232,2181788,2189419,2196986,2204476,2211780,2218838,2225613,2232054,2238165
"pop_7",2038778,2062091,2076313,2089934,2030676,2028486,1971882,1976538,1979406,1972891,1972358,1987745,2002319,2016656,2030726,2043927,2056227,2067073,2075887,2082859,2088540,2093409,2097631,2101197,2103909,2105857,2107434,2108929,2110443,2112358,2114814,2117958,2121794,2126111,2130824,2135886,2141333,2147083,2153177,2159683,2166477,2173610,2181024,2188597,2196242,2203818,2211319,2218632,2225700,2232482,2238940
"pop_8",2039852,2052830,2076496,2091075,2013207,2035998,2033823,1977298,1981968,1984856,1978369,1977855,1993304,2007934,2022325,2036437,2049688,2062036,2072928,2081781,2088800,2094527,2099437,2103698,2107305,2110055,2112031,2113650,2115186,2116750,2118692,2121178,2124349,2128212,2132564,2137306,2142396,2147862,2153635,2159752,2166273,2173087,2180236,2187661,2195248,2202904,2210489,2218003,2225327,2232415,2239208
"pop_9",2054992,2054468,2067824,2091866,2007948,2018484,2041309,2039152,1982703,1987383,1990296,1983795,1983341,1998852,2013532,2027974,2042127,2055419,2067814,2078750,2087646,2094709,2100474,2105420,2109721,2113364,2116144,2118155,2119824,2121397,2122994,2124961,2127481,2130677,2134570,2138952,2143713,2148827,2154309,2160108,2166245,2172781,2179609,2186774,2194213,2201812,2209480,2217072,2224599,2231948,2239038
