"","yr2010","yr2011","yr2012","yr2013","yr2014","yr2015","yr2016","yr2017","yr2018","yr2019","yr2020","yr2021","yr2022","yr2023","yr2024","yr2025","yr2026","yr2027","yr2028","yr2029","yr2030","yr2031","yr2032","yr2033","yr2034","yr2035","yr2036","yr2037","yr2038","yr2039","yr2040","yr2041","yr2042","yr2043","yr2044","yr2045","yr2046","yr2047","yr2048","yr2049","yr2050","yr2051","yr2052","yr2053","yr2054","yr2055","yr2056","yr2057","yr2058","yr2059","yr2060"
"pop_0",2178338,2199805,2220371,2239618,2031919,2046747,2061349,2075603,2088981,2101377,2112227,2120981,2127784,2133240,2137850,2141790,2145023,2147389,2148981,2150220,2151367,2152547,2154126,2156301,2159208,2162843,2167035,2171633,2176597,2181980,2187724,2193819,2200329,2207198,2214423,2221943,2229646,2237438,2245217,2252856,2260314,2267549,2274494,2281096,2287344,2293249,2298822,2304111,2309162,2314051,2318838
"pop_1",2164875,2186309,2207727,2228250,2024845,2040151,2055081,2069787,2084142,2097626,2110124,2121053,2129930,2136846,2142431,2147153,2151213,2154554,2157035,2158736,2160085,2161333,2162620,2164295,2166571,2169573,2173297,2177571,2182251,2187304,2192766,2198588,2204748,2211331,2218267,2225563,2233131,2240900,2248749,2256579,2264273,2271775,2279057,2286049,2292688,2298981,2304919,2310526,2315848,2320927,2325838
"pop_2",2152935,2173270,2194717,2216151,2030157,2033000,2048389,2063401,2078198,2092638,2106208,2118758,2129786,2138757,2145764,2151437,2156263,2160410,2163840,2166400,2168189,2169621,2170957,2172317,2174069,2176421,2179494,2183288,2187640,2192394,2197508,2203033,2208910,2215134,2221775,2228766,2236107,2243725,2251548,2259440,2267319,2275047,2282580,2289906,2296931,2303607,2309920,2315885,2321518,2326871,2331966
"pop_3",2144067,2162317,2182715,2204232,2047456,2037228,2040053,2055517,2070598,2085470,2099971,2113581,2126213,2137324,2146367,2153453,2159206,2164106,2168322,2171818,2174450,2176313,2177810,2179204,2180626,2182443,2184856,2187983,2191836,2196252,2201052,2206226,2211805,2217726,2224000,2230681,2237724,2245108,2252768,2260630,2268549,2276472,2284239,2291800,2299157,2306213,2312912,2319252,2325247,2330900,2336268
"pop_4",2139049,2154772,2173154,2193681,2042466,2053442,2043259,2046061,2061576,2076718,2091645,2106181,2119853,2132556,2143734,2152839,2159991,2165806,2170768,2175043,2178598,2181300,2183219,2184767,2186210,2187683,2189554,2192007,2195197,2199093,2203552,2208407,2213619,2219242,2225212,2231522,2238245,2245327,2252733,2260427,2268320,2276274,2284232,2292020,2299608,2306988,2314068,2320791,2327149,2333175,2338842
"pop_5",2137260,2150780,2166700,2185278,2042212,2047879,2058782,2048634,2051402,2066960,2082151,2097110,2111698,2125435,2138189,2149418,2158587,2165791,2171658,2176670,2180999,2184606,2187364,2189327,2190921,2192408,2193921,2195839,2198342,2201574,2205506,2209998,2214890,2220138,2225798,2231804,2238156,2244905,2252016,2259448,2267173,2275096,2283075,2291057,2298874,2306481,2313876,2320974,2327715,2334102,2340141
"pop_6",2135119,2149549,2163327,2179505,2109358,2047387,2053077,2063893,2053784,2056510,2072106,2087312,2102331,2116979,2130760,2143563,2154842,2164064,2171316,2177227,2182290,2186667,2190314,2193111,2195111,2196748,2198272,2199841,2201795,2204335,2207602,2211565,2216090,2221015,2226293,2231976,2238023,2244404,2251181,2258317,2265776,2273527,2281469,2289466,2297477,2305308,2312933,2320345,2327458,2334208,2340617
"pop_7",2123675,2147961,2162696,2176779,2121977,2114512,2052599,2058301,2069048,2058962,2061655,2077259,2092516,2107587,2122282,2136115,2148966,2160294,2169562,2176850,2182813,2187916,2192338,2196021,2198851,2200884,2202571,2204136,2205746,2207729,2210299,2213601,2217593,2222148,2227102,2232413,2238117,2244190,2250600,2257392,2264560,2272045,2279813,2287779,2295793,2303821,2311666,2319313,2326737,2333863,2340625
"pop_8",2122592,2137089,2161701,2176778,2105421,2127272,2119863,2058013,2063728,2074400,2064352,2066977,2082636,2097939,2113052,2127808,2141688,2154580,2165953,2175266,2182593,2188595,2193741,2198203,2201922,2204790,2206878,2208596,2210195,2211829,2213847,2216449,2219788,2223812,2228391,2233369,2238702,2244432,2250529,2256958,2263774,2270959,2278471,2286268,2294248,2302278,2310325,2318184,2325841,2333268,2340405
"pop_9",2135262,2136443,2151295,2176261,2097828,2110838,2132699,2125335,2063546,2069263,2079870,2069828,2072430,2088120,2103470,2118628,2133434,2147362,2160298,2171713,2181066,2188430,2194474,2199663,2204161,2207917,2210837,2212960,2214705,2216335,2217999,2220052,2222681,2226054,2230104,2234707,2239706,2245065,2250817,2256929,2263379,2270214,2277431,2284961,2292773,2300766,2308812,2316874,2324744,2332402,2339840
"pop_10",2075048,2150024,2151588,2166821,2100616,2103268,2116302,2138168,2130844,2069112,2074865,2085457,2075482,2078123,2093857,2109255,2124464,2139308,2153280,2166260,2177715,2187111,2194512,2200591,2205819,2210353,2214161,2217109,2219266,2221049,2222703,2224394,2226481,2229136,2232535,2236610,2241236,2246252,2251632,2257404,2263532,2269995,2276860,2284098,2291644,2299464,2307477,2315535,2323605,2331479,2339149
"pop_11",2069440,2090972,2166343,2168311,2084117,2105952,2108667,2121714,2143581,2136289,2074610,2080466,2091040,2081121,2083804,2099593,2115037,2130285,2145169,2159186,2172209,2183702,2193145,2200579,2206695,2211962,2216538,2220379,2223353,2225540,2227366,2229041,2230766,2232875,2235552,2238979,2243073,2247723,2252756,2258156,2263958,2270100,2276586,2283471,2290719,2298275,2306112,2314135,2322202,2330276,2338156
"pop_12",2064994,2086427,2108375,2184159,2075355,2089259,2111279,2114033,2127064,2148948,2141681,2080135,2086030,2096636,2086760,2089482,2105316,2120810,2136105,2151029,2165079,2178149,2189680,2199172,2206639,2212792,2218094,2222701,2226581,2229590,2231815,2233663,2235368,2237122,2239257,2241960,2245403,2249524,2254195,2259240,2264683,2270502,2276661,2283162,2290059,2297315,2304880,2312737,2320766,2328845,2336922
"pop_13",2081661,2082651,2104514,2126890,2128156,2080625,2094640,2116804,2119589,2132584,2154506,2147363,2085892,2091846,2102482,2092644,2095405,2111291,2126832,2142174,2157143,2171232,2184337,2195921,2205461,2212968,2219151,2224496,2229145,2233057,2236093,2238346,2240233,2241968,2243749,2245908,2248644,2252102,2256249,2260942,2266011,2271475,2277313,2283487,2290002,2296909,2304185,2311767,2319631,2327669,2335754
"pop_14",2129542,2099531,2100949,2123234,2164172,2134063,2086621,2100731,2123040,2125843,2138823,2160918,2153821,2092449,2098459,2109126,2099350,2102155,2118098,2133691,2149094,2164113,2178249,2191396,2203038,2212619,2220170,2226414,2231791,2236478,2240435,2243498,2245790,2247719,2249480,2251281,2253482,2256245,2259723,2263898,2268612,2273707,2279191,2285050,2291238,2297769,2304698,2312000,2319588,2327459,2335500
"pop_15",2160611,2146794,2117190,2118999,2129032,2171483,2141608,2094257,2108461,2130903,2133750,2146891,2169073,2162055,2100784,2106867,2117588,2107879,2110741,2126760,2142414,2157889,2172971,2187167,2200381,2212084,2221710,2229328,2235625,2241050,2245789,2249796,2252900,2255250,2257212,2259018,2260862,2263100,2265890,2269400,2273608,2278347,2283468,2288990,2294867,2301079,2307625,2314578,2321886,2329491,2337370
"pop_16",2187908,2176660,2163185,2133928,2131656,2138962,2181493,2151856,2104612,2118949,2141545,2144619,2157856,2180126,2173211,2112077,2118258,2129059,2119449,2122386,2138499,2154248,2169809,2184984,2199251,2212560,2224337,2234037,2241728,2248108,2253585,2258402,2262465,2265637,2268038,2270057,2271917,2273809,2276098,2278922,2282485,2286726,2291502,2296664,2302209,2308125,2314357,2320930,2327893,2335232,2342844
"pop_17",2234896,2203054,2192083,2178884,2139062,2144964,2152469,2195116,2165740,2118641,2133148,2156112,2159319,2172683,2195082,2188314,2127356,2133670,2144584,2135088,2138146,2154388,2170259,2185943,2201221,2215604,2229019,2240893,2250695,2258488,2264951,2270526,2275418,2279560,2282816,2285296,2287390,2289313,2291277,2293614,2296498,2300117,2304408,2309232,2314432,2320020,2325973,2332236,2338831,2345822,2353174
"pop_18",2268506,2248535,2216910,2206134,2164804,2155868,2162006,2169738,2212523,2183437,2136548,2151465,2174641,2178019,2191574,2214149,2207562,2146817,2153298,2164354,2155017,2158225,2174626,2190643,2206470,2221892,2236414,2249951,2261948,2271874,2279788,2286364,2292056,2297048,2301301,2304663,2307232,2309406,2311408,2313448,2315858,2318812,2322490,2326851,2331734,2336983,2342626,2348606,2354915,2361542,2368550
"pop_19",2307308,2278285,2258430,2226932,2219859,2184297,2175616,2182024,2189993,2232939,2204170,2157798,2172912,2196314,2199938,2213726,2236481,2230107,2169613,2176281,2187498,2178352,2181734,2198316,2214512,2230500,2246076,2260760,2274442,2286590,2296654,2304705,2311418,2317233,2322353,2326723,2330194,2332847,2335123,2337220,2339346,2341839,2344881,2348633,2353069,2357999,2363312,2369001,2375030,2381377,2388034
"pop_20",2315593,2313795,2284810,2264984,2270151,2240831,2205652,2197203,2203897,2212099,2255238,2227062,2180979,2196306,2219977,2223862,2237891,2260846,2254712,2194479,2201354,2212752,2203822,2207394,2224166,2240538,2256698,2272461,2287305,2301154,2313456,2323672,2331861,2338712,2344683,2349927,2354414,2358000,2360762,2363144,2365335,2367559,2370141,2373273,2377105,2381602,2386601,2391961,2397706,2403774,2410164
"pop_21",2245649,2320151,2318281,2289260,2311112,2291975,2262888,2228094,2219856,2226832,2235286,2278919,2251093,2205284,2220860,2244807,2248960,2263236,2286405,2280515,2220553,2227640,2239230,2230515,2234278,2251247,2267808,2284156,2300099,2315107,2329131,2341589,2351962,2360305,2367312,2373421,2378806,2383418,2387120,2389990,2392475,2394772,2397090,2399768,2402982,2406898,2411471,2416521,2421942,2427738,2433858
"pop_22",2200527,2251008,2325285,2323299,2369229,2332842,2314048,2285162,2250720,2242712,2249956,2258943,2302829,2275317,2229816,2245650,2269867,2274295,2288826,2312202,2306547,2246867,2254169,2265952,2257449,2261409,2278578,2295330,2311862,2327980,2343167,2357361,2369988,2380512,2389001,2396159,2402420,2407932,2412675,2416494,2419478,2422073,2424471,2426889,2429659,2432959,2436951,2441591,2446711,2452187,2458039
"pop_23",2165253,2209367,2259637,2333675,2402267,2390148,2354174,2335679,2306978,2272868,2265079,2272855,2282093,2326243,2299052,2253851,2269934,2294417,2299125,2313883,2337479,2332053,2272654,2280156,2292128,2283829,2287988,2305358,2322291,2339003,2355310,2370660,2385012,2397805,2408465,2417124,2424416,2430809,2436459,2441322,2445260,2448349,2451060,2453570,2456082,2458940,2462321,2466388,2471100,2476277,2481806
"pop_24",2172506,2175431,2219346,2269412,2395949,2422317,2410388,2374823,2356560,2328041,2294255,2286911,2294952,2304433,2348851,2321969,2277058,2293383,2318122,2323081,2338064,2361860,2356658,2297527,2305225,2317382,2309287,2313637,2331188,2348291,2365188,2381656,2397163,2411682,2424621,2435434,2444224,2451656,2458184,2463948,2468926,2472979,2476180,2478991,2481600,2484193,2487135,2490596,2494727,2499506,2504740
"pop_25",2165766,2183211,2186013,2229754,2302130,2414563,2441391,2429594,2394416,2376333,2347975,2314736,2307601,2315864,2325614,2370273,2343696,2299062,2315612,2340586,2345779,2360983,2384955,2379973,2321086,2328975,2341306,2333391,2337914,2355646,2372919,2389970,2406592,2422250,2436916,2450000,2460949,2469866,2477421,2484075,2489941,2495036,2499195,2502493,2505392,2508086,2510761,2513777,2517302,2521498,2526331
"pop_26",2148712,2177400,2194739,2197453,2246393,2319848,2432272,2459466,2447767,2412953,2395006,2366995,2334047,2327139,2335636,2345637,2390524,2364246,2319877,2336627,2361827,2367247,2382643,2406804,2402010,2343351,2351421,2363899,2356163,2360852,2378736,2396162,2413352,2430128,2445928,2460715,2473932,2485004,2494036,2501712,2508457,2514434,2519637,2523888,2527274,2530250,2533021,2535761,2538845,2542433,2546688
"pop_27",2175950,2161078,2189695,2206981,2206844,2262783,2336607,2448952,2476442,2464814,2430306,2412652,2384808,2352132,2345495,2354212,2364445,2409552,2383553,2339435,2356369,2381779,2387406,2403001,2427317,2422704,2364277,2372503,2385124,2377546,2382382,2400413,2417983,2435300,2452211,2468138,2483045,2496382,2507563,2516689,2524468,2531317,2537384,2542683,2547018,2550476,2553525,2556362,2559167,2562308,2565955
"pop_28",2179728,2188743,2173907,2202515,2213366,2222366,2278377,2352429,2464687,2492384,2480809,2446709,2429214,2401565,2369185,2362788,2371703,2382143,2427465,2401731,2357841,2374957,2400558,2406397,2422155,2446615,2442177,2383965,2392330,2405093,2397659,2402627,2420800,2438489,2455936,2472966,2489011,2504034,2517471,2528742,2537972,2545835,2552766,2558929,2564318,2568722,2572253,2575366,2578264,2581120,2584309
