"","yr2010","yr2011","yr2012","yr2013","yr2014","yr2015","yr2016","yr2017","yr2018","yr2019","yr2020","yr2021","yr2022","yr2023","yr2024","yr2025","yr2026","yr2027","yr2028","yr2029","yr2030","yr2031","yr2032","yr2033","yr2034","yr2035","yr2036","yr2037","yr2038","yr2039","yr2040","yr2041","yr2042","yr2043","yr2044","yr2045","yr2046","yr2047","yr2048","yr2049","yr2050","yr2051","yr2052","yr2053","yr2054","yr2055","yr2056","yr2057","yr2058","yr2059","yr2060"
"pop_0",4261083,4303105,4343367,4381048,3971847,4000831,4029356,4057231,4083375,4107606,4128810,4145903,4159190,4169856,4178872,4186576,4192911,4197539,4200651,4203058,4205295,4207608,4210700,4214950,4220635,4227748,4235922,4244914,4254616,4265131,4276345,4288252,4300985,4314403,4328503,4343204,4358264,4373494,4388677,4403625,4418211,4432360,4445937,4458843,4471066,4482613,4493531,4503901,4513793,4523354,4532718
"pop_1",4236682,4278652,4320575,4360746,3957864,3988161,4017346,4046063,4074132,4100469,4124893,4146269,4163587,4177093,4187990,4197220,4205144,4211689,4216535,4219852,4222463,4224897,4227406,4230679,4235121,4240984,4248266,4256601,4265747,4275611,4286271,4297626,4309661,4322529,4336069,4350298,4365110,4380286,4395620,4410899,4425946,4440620,4454854,4468521,4481502,4493803,4505417,4516393,4526822,4536766,4546371
"pop_2",4214386,4254203,4296202,4338156,3972081,3974109,4004585,4033932,4062816,4091055,4117546,4142090,4163657,4181156,4194843,4205907,4215323,4223412,4230129,4235134,4238612,4241383,4243979,4246629,4250052,4254635,4260634,4268043,4276512,4285791,4295781,4306554,4318020,4330172,4343151,4356791,4371119,4386026,4401301,4416713,4432074,4447194,4461933,4476247,4489982,4503025,4515377,4527040,4538071,4548549,4558521
"pop_3",4198061,4233822,4273774,4315916,4003272,3986357,3988434,4019069,4048550,4077589,4105953,4132527,4157230,4178958,4196606,4210440,4221656,4231219,4239445,4246301,4251447,4255071,4257968,4260685,4263453,4267001,4271700,4277812,4285334,4293912,4303288,4313384,4324265,4335831,4348082,4361141,4374872,4389282,4404268,4419616,4435090,4450521,4465708,4480504,4494875,4508664,4521751,4534167,4545884,4556954,4567464
"pop_4",4189309,4220138,4256170,4296391,4001929,4015656,3998839,4000955,4031712,4061316,4090466,4118898,4145600,4170441,4192301,4210075,4224042,4235383,4245066,4253413,4260389,4265658,4269396,4272398,4275213,4278084,4281738,4286539,4292755,4300368,4309036,4318502,4328686,4339656,4351304,4363628,4376766,4390564,4405042,4420089,4435492,4451035,4466528,4481763,4496607,4511017,4524849,4537987,4550445,4562198,4573305
"pop_5",4186867,4213413,4244647,4281081,4002977,4013264,4026967,4010232,4012371,4043229,4072931,4102128,4130675,4157505,4182454,4204428,4222316,4236394,4247842,4257633,4266089,4273166,4278542,4282369,4285465,4288369,4291328,4295076,4299965,4306268,4313960,4322706,4332247,4342503,4353546,4365255,4377649,4390845,4404708,4419237,4434337,4449794,4465386,4480923,4496202,4511097,4525539,4539403,4552573,4565065,4576848
"pop_6",4183737,4212068,4239143,4270904,4132455,4013790,4024121,4037777,4021117,4023269,4054223,4083950,4113256,4141921,4168855,4193907,4215984,4233974,4248143,4259697,4269586,4278135,4285306,4290768,4294674,4297855,4300837,4303886,4307709,4312672,4319048,4326813,4335628,4345231,4355549,4366648,4378421,4390870,4404125,4418037,4432614,4447759,4463257,4478885,4494463,4509784,4524713,4539183,4553071,4566262,4578782
"pop_7",4162453,4210052,4239009,4266713,4152653,4142998,4024481,4034839,4048454,4031853,4034013,4065004,4094835,4124243,4153008,4180042,4205193,4227367,4245449,4259709,4271353,4281325,4289969,4297218,4302760,4306741,4310005,4313065,4316189,4320087,4325113,4331559,4339387,4348259,4357926,4368299,4379450,4391273,4403777,4417075,4431037,4445655,4460837,4476376,4492035,4507639,4522985,4537945,4552437,4566345,4579565
"pop_8",4162444,4189919,4238197,4267853,4118628,4163270,4153686,4035311,4045696,4059256,4042721,4044832,4075940,4105873,4135377,4164245,4191376,4216616,4238881,4257047,4271393,4283122,4293178,4301901,4309227,4314845,4318909,4322246,4325381,4328579,4332539,4337627,4344137,4352024,4360955,4370675,4381098,4392294,4404164,4416710,4430047,4444046,4458707,4473929,4489496,4505182,4520814,4536187,4551168,4565683,4579613
"pop_9",4190254,4190911,4219119,4268127,4105776,4129322,4174008,4164487,4046249,4056646,4070166,4053623,4055771,4086972,4117002,4146602,4175561,4202781,4228112,4250463,4268712,4283139,4294948,4305083,4313882,4321281,4326981,4331115,4334529,4337732,4340993,4345013,4350162,4356731,4364674,4373659,4383419,4393892,4405126,4417037,4429624,4442995,4457040,4471735,4486986,4502578,4518292,4533946,4549343,4564350,4578878
