"year","deaths_avoided_males","deaths_avoided_females","deaths_avoided_both","policy_year"
"year","deaths_avoided_males","deaths_avoided_females","deaths_avoided_both","policy_year"
"2010","-515","74","-441","2016"
"2011","-66","-22","-88","2016"
"2012","206","139","345","2016"
"2013","567","163","730","2016"
"2014","1179","-393","786","2016"
"2015","1846","-1003","843","2016"
"2016","15187","7654","22841","2016"
"2017","37307","21968","59275","2016"
"2018","63112","41341","104453","2016"
"2019","92675","63994","156669","2016"
"2020","125776","91136","216912","2016"
"2021","162207","118737","280944","2016"
"2022","199562","147853","347415","2016"
"2023","238175","178709","416884","2016"
"2024","278865","208966","487831","2016"
"2025","319314","237658","556972","2016"
"2026","359011","266698","625709","2016"
"2027","398278","294388","692666","2016"
"2028","436285","320320","756605","2016"
"2029","474477","344006","818483","2016"
"2030","510904","366389","877293","2016"
"2031","548351","389771","938122","2016"
"2032","586401","411129","997530","2016"
"2033","625733","430656","1056389","2016"
"2034","665013","448552","1113565","2016"
"2035","703214","466506","1169720","2016"
"2036","739786","484481","1224267","2016"
"2037","778965","501312","1280277","2016"
"2038","818628","518300","1336928","2016"
"2039","856938","536350","1393288","2016"
"2040","895274","552390","1447664","2016"
"2041","934569","569917","1504486","2016"
"2042","969992","588336","1558328","2016"
"2043","1004870","605496","1610366","2016"
"2044","1038114","621694","1659808","2016"
"2045","1070441","638238","1708679","2016"
"2046","1103959","652676","1756635","2016"
"2047","1135890","665693","1801583","2016"
"2048","1166261","676612","1842873","2016"
"2049","1194772","687055","1881827","2016"
"2050","1222858","697611","1920469","2016"
"2051","1248806","707928","1956734","2016"
"2052","1274340","718316","1992656","2016"
"2053","1296793","727123","2023916","2016"
"2054","1322139","735833","2057972","2016"
"2055","1347031","745102","2092133","2016"
"2056","1370607","754845","2125452","2016"
"2057","1396370","763815","2160185","2016"
"2058","1419414","772332","2191746","2016"
"2059","1443273","779290","2222563","2016"
"2060","1466209","787045","2253254","2016"
"2010","-1957","883","-1074","2017"
"2011","-3190","1931","-1259","2017"
"2012","-4365","3097","-1268","2017"
"2013","-5011","4735","-276","2017"
"2014","-5515","5012","-503","2017"
"2015","-6628","5173","-1455","2017"
"2016","-7581","6901","-680","2017"
"2017","5001","17075","22076","2017"
"2018","23069","33689","56758","2017"
"2019","47448","53791","101239","2017"
"2020","76678","77587","154265","2017"
"2021","109786","102132","211918","2017"
"2022","144761","129683","274444","2017"
"2023","182072","158490","340562","2017"
"2024","221478","186735","408213","2017"
