"","yr2010","yr2011","yr2012","yr2013","yr2014","yr2015","yr2016","yr2017","yr2018","yr2019","yr2020","yr2021","yr2022","yr2023","yr2024","yr2025","yr2026","yr2027","yr2028","yr2029","yr2030","yr2031","yr2032","yr2033","yr2034","yr2035","yr2036","yr2037","yr2038","yr2039","yr2040","yr2041","yr2042","yr2043","yr2044","yr2045","yr2046","yr2047","yr2048","yr2049","yr2050","yr2051","yr2052","yr2053","yr2054","yr2055","yr2056","yr2057","yr2058","yr2059","yr2060"
"pop_0",25953974,26216358,26468124,26704312,24396824,24583866,24768560,24949718,25120700,25280422,25422038,25538970,25633050,25711594,25780350,25841440,25894352,25936966,25970312,25999316,26027260,26055778,26089346,26130448,26180764,26240016,26305926,26376930,26452372,26533022,26618152,26707652,26802412,26901540,27004956,27112118,27221556,27332088,27442366,27551302,27658048,27762168,27862854,27959564,28052206,28140788,28225702,28307422,28386416,28463592,28539806
"pop_1",25797440,26059486,26321268,26572486,24271932,24494888,24683140,24868980,25051300,25223432,25384316,25526962,25645252,25740640,25820592,25890634,25953044,26007212,26051142,26085726,26115958,26145090,26174768,26209424,26251682,26303072,26363330,26430200,26502132,26578548,26660056,26746026,26836284,26931858,27031710,27135918,27243724,27353858,27465010,27575858,27685380,27792656,27897292,27998516,28095666,28188790,28277768,28363028,28445098,28524396,28601836
"pop_2",25654090,25902890,26165118,26427086,24351498,24369758,24593870,24783088,24969936,25153282,25326338,25487942,25631740,25751120,25847588,25928540,25999706,26063114,26118320,26163204,26198758,26229954,26260062,26290588,26326150,26369258,26421464,26482482,26550162,26622894,26700076,26782254,26868886,26959856,27056096,27156546,27261348,27369726,27480460,27592080,27703422,27813382,27921042,28026160,28127790,28225320,28318740,28408008,28493598,28575968,28655422
"pop_3",25547072,25771090,26020698,26283784,24539062,24437422,24456000,24681158,24871176,25058966,25243058,25416612,25579174,25723942,25844218,25941572,26023440,26095492,26159720,26215764,26261500,26297936,26329886,26360722,26391962,26428280,26472072,26524960,26586658,26654996,26728304,26806128,26888964,26976202,27067768,27164488,27265490,27370784,27479636,27590810,27702794,27814560,27924920,28032920,28138382,28240334,28338128,28431936,28521530,28607356,28689916
"pop_4",25486038,25679974,25905618,26156840,24530564,24613548,24512544,24531388,24757342,24948108,25136566,25321072,25495394,25658782,25804356,25925390,26023544,26106162,26178932,26243890,26300658,26347134,26384262,26416840,26448260,26480122,26517078,26561484,26614998,26677246,26746126,26819974,26898332,26981706,27069440,27161442,27258644,27360042,27465742,27574960,27686462,27798868,27911004,28021648,28129944,28235636,28337848,28435952,28530012,28619818,28705872
"pop_5",25463270,25631140,25827518,26055568,24519860,24598702,24681564,24581102,24600116,24826736,25018092,25206832,25392032,25567126,25731166,25877424,25999142,26097970,26181228,26254650,26320262,26377640,26424768,26462424,26495568,26527528,26559920,26597440,26642386,26696426,26759140,26828494,26902796,26981582,27065400,27153494,27245920,27343466,27445262,27551266,27660802,27772624,27885328,27997726,28108634,28217240,28323122,28425524,28523824,28618090,28708074
"pop_6",25436160,25614970,25786022,25985570,25298298,24584944,24663976,24746560,24646586,24665710,24892980,25084486,25273888,25459804,25635526,25800184,25947066,26069396,26168764,26252666,26326678,26392848,26450788,26498434,26536566,26570222,26602652,26635590,26673562,26718950,26773430,26836582,26906356,26981030,27060188,27144342,27232822,27325580,27423478,27525570,27631864,27741670,27853740,27966662,28079306,28190466,28299280,28405332,28507872,28606298,28700736
"pop_7",25298748,25594564,25777142,25951978,25404632,25361736,24649310,24728424,24810772,24711192,24730392,24957954,25150090,25340104,25526628,25702948,25868204,26015670,26138556,26238472,26322916,26397428,26464170,26522582,26570706,26609290,26643446,26676350,26709742,26748168,26793930,26848840,26912370,26982484,27057542,27137034,27221500,27310282,27403372,27501528,27603922,27710462,27820498,27932814,28045920,28158718,28270022,28379026,28485210,28587870,28686470
"pop_8",25291798,25464084,25763980,25950768,25178132,25468560,25426078,24714546,24793746,24875760,24776624,24795554,25023898,25216652,25407248,25594392,25771300,25937094,26085110,26208494,26308934,26393886,26468902,26536118,26594994,26643580,26682664,26717262,26750622,26784460,26823254,26869392,26924686,26988570,27059038,27134418,27214210,27298948,27388012,27481354,27579744,27682358,27789162,27899438,28011922,28125188,28238160,28349620,28458752,28565074,28667866
"pop_9",25454190,25463170,25639862,25944150,25082798,25242534,25533246,25491138,24780470,24859644,24941418,24842284,24861480,25090460,25283800,25474972,25662660,25840106,26006448,26154984,26278866,26379792,26465224,26540718,26608394,26667710,26716790,26756302,26791360,26825132,26859350,26898508,26945010,27000660,27064880,27135674,27211288,27291382,27376346,27465658,27559244,27657842,27760736,27867746,27978194,28090832,28204262,28317366,28428976,28538268,28644662
"pop_10",24702650,25631982,25645660,25827034,25116608,25146834,25307148,25598034,25556204,24846378,24925690,25007788,24909412,24929312,25158902,25352806,25544574,25732770,25910762,26077604,26226602,26350998,26452438,26538312,26614272,26682366,26742148,26791624,26831532,26867006,26901114,26935660,26975212,27022008,27077996,27142492,27213576,27289480,27369822,27455014,27544516,27638324,27737184,27840288,27947450,28058044,28170840,28284394,28397606,28509332,28618708
