age,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
0,0.006753,0.006753,0.00653,0.006313,0.006105,0.005902,0.005707,0.005518,0.005336,0.005159,0.004988,0.004823,0.004663,0.004509,0.00436,0.004216,0.004076,0.003941,0.003811,0.003685,0.003563,0.003445,0.003331,0.00322,0.003114,0.003011,0.002911,0.002815,0.002722,0.002632,0.002544,0.00246,0.002379,0.0023,0.002224,0.00215,0.002079,0.00201,0.001944,0.001879,0.001817,0.001757,0.001699,0.001643,0.001588,0.001536,0.001485,0.001436,0.001388,0.001342,0.001298
1,0.000457,0.001372675,0.001323762,0.001278104,0.001233536,0.001189442,0.001149043,0.001107855,0.001068658,0.001031805,0.000995259,0.000959502,0.000926956,0.000892203,0.000860892,0.000833039,0.00080123,0.000774193,0.000746292,0.000720058,0.000695908,0.000672341,0.000645885,0.000624234,0.000604556,0.00058232,0.000561895,0.000540279,0.000521971,0.000503936,0.000484797,0.000470342,0.000453083,0.000437804,0.000419724,0.000406139,0.000391771,0.000378625,0.00036448,0.000353719,0.000339931,0.000326505,0.000316166,0.000307428,0.000294228,0.00028459,0.000275042,0.000264251,0.000254953,0.000245827,0.000236863
2,0.000319,0.000445875,0.000429436,0.000414416,0.000399511,0.000384646,0.000371263,0.000357657,0.000344369,0.000332327,0.000320281,0.000308324,0.000297786,0.000285909,0.000275495,0.000266546,0.000255936,0.000247051,0.000237941,0.000229116,0.000221496,0.000213947,0.000204952,0.000197703,0.000191627,0.000184179,0.000177893,0.000170495,0.000164548,0.000158623,0.000152464,0.000148011,0.000142144,0.00013748,0.000131404,0.000127016,0.000122446,0.000118092,0.000113515,0.00011042,0.000105872,0.000101374,0.0000983,0.0000955,0.000091,0.000088,0.000085,0.0000817,0.0000787,0.0000758,0.0000728
3,0.000242,0.000217066,0.000209047,0.000201771,0.000194441,0.000187096,0.000180458,0.000173984,0.000167314,0.000161502,0.000155707,0.000149866,0.000144768,0.000138901,0.000133747,0.000129305,0.000124302,0.000119839,0.000115537,0.000111055,0.000107456,0.00010382,0.0000995,0.0000957,0.0000927,0.0000891,0.0000863,0.0000826,0.0000797,0.0000767,0.0000739,0.0000716,0.0000686,0.0000665,0.0000637,0.0000614,0.0000592,0.0000569,0.0000548,0.0000533,0.0000512,0.000049,0.0000476,0.000046,0.0000438,0.0000423,0.0000408,0.0000395,0.0000381,0.0000366,0.0000351
4,0.000175,0.000146527,0.000141237,0.000136409,0.000131486,0.000126542,0.00012199,0.000117843,0.00011325,0.000109406,0.000105613,0.000101735,0.0000983,0.0000944,0.0000909,0.0000878,0.0000846,0.0000815,0.0000788,0.0000756,0.0000732,0.0000708,0.000068,0.0000652,0.0000632,0.0000607,0.0000591,0.0000566,0.0000545,0.0000524,0.0000507,0.000049,0.0000469,0.0000456,0.0000438,0.0000421,0.0000407,0.000039,0.0000376,0.0000366,0.0000353,0.0000338,0.0000329,0.0000315,0.0000301,0.0000291,0.000028,0.0000274,0.0000264,0.0000253,0.0000243
5,0.00014,0.000125158,0.000120818,0.000116788,0.000112652,0.000108499,0.000104569,0.000101263,0.0000973,0.0000941,0.000091,0.0000878,0.0000849,0.0000817,0.0000787,0.0000759,0.0000735,0.0000707,0.0000685,0.0000657,0.0000637,0.0000617,0.0000594,0.0000567,0.000055,0.0000529,0.0000517,0.0000496,0.0000478,0.0000459,0.0000446,0.000043,0.0000411,0.0000401,0.0000388,0.0000371,0.000036,0.0000343,0.0000333,0.0000324,0.0000313,0.0000301,0.0000293,0.0000278,0.0000267,0.0000258,0.0000249,0.0000246,0.0000236,0.0000227,0.0000218
6,0.000123,0.000123373,0.000119308,0.000115415,0.00011144,0.000107454,0.000103569,0.000100531,0.0000966,0.0000936,0.0000907,0.0000876,0.0000848,0.0000817,0.0000788,0.0000759,0.0000738,0.000071,0.000069,0.0000661,0.0000642,0.0000622,0.0000602,0.0000573,0.0000555,0.0000535,0.0000525,0.0000505,0.0000486,0.0000467,0.0000456,0.0000438,0.0000419,0.000041,0.0000399,0.0000381,0.000037,0.0000352,0.0000342,0.0000333,0.0000323,0.0000312,0.0000304,0.0000286,0.0000276,0.0000266,0.0000257,0.0000256,0.0000247,0.0000237,0.0000228
7,0.00013,0.000128,0.000124,0.00012,0.000116,0.000112,0.000108,0.000105,0.000101,0.000098,0.000095,0.000092,0.000089,0.000086,0.000083,0.00008,0.000078,0.000075,0.000073,0.00007,0.000068,0.000066,0.000064,0.000061,0.000059,0.000057,0.000056,0.000054,0.000052,0.00005,0.000049,0.000047,0.000045,0.000044,0.000043,0.000041,0.00004,0.000038,0.000037,0.000036,0.000035,0.000034,0.000033,0.000031,0.00003,0.000029,0.000028,0.000028,0.000027,0.000026,0.000025
8,0.000124,0.000130067,0.00012619,0.0001221,0.000118168,0.000114249,0.000110267,0.000107249,0.000103279,0.000100367,0.0000973,0.0000944,0.0000913,0.0000884,0.0000854,0.0000824,0.0000804,0.0000774,0.0000754,0.0000724,0.0000703,0.0000683,0.0000663,0.0000634,0.0000612,0.0000593,0.0000581,0.0000562,0.0000542,0.0000522,0.0000511,0.0000491,0.0000471,0.000046,0.000045,0.0000429,0.000042,0.0000399,0.0000389,0.0000379,0.0000368,0.0000359,0.0000347,0.0000328,0.0000317,0.0000307,0.0000297,0.0000296,0.0000286,0.0000276,0.0000266
9,0.000121,0.000130542,0.000126814,0.000122654,0.000118852,0.000115075,0.000111211,0.000108124,0.000104278,0.00010149,0.0000983,0.0000956,0.0000924,0.0000896,0.0000867,0.0000838,0.0000817,0.0000788,0.0000767,0.0000738,0.0000716,0.0000697,0.0000676,0.0000649,0.0000627,0.0000608,0.0000593,0.0000575,0.0000556,0.0000537,0.0000525,0.0000505,0.0000486,0.0000474,0.0000463,0.0000443,0.0000434,0.0000414,0.0000402,0.0000393,0.0000381,0.0000372,0.0000359,0.0000342,0.000033,0.000032,0.0000311,0.0000307,0.0000297,0.0000288,0.0000278
10,0.000108,0.000133154,0.000129511,0.000125232,0.000121523,0.000117842,0.000114084,0.000110845,0.000107103,0.000104394,0.000101115,0.0000984,0.0000951,0.0000924,0.0000896,0.0000868,0.0000845,0.0000817,0.0000794,0.0000766,0.0000742,0.0000724,0.0000702,0.0000678,0.0000654,0.0000636,0.0000618,0.00006,0.0000581,0.0000563,0.000055,0.000053,0.0000512,0.0000498,0.0000485,0.0000466,0.0000457,0.0000438,0.0000425,0.0000415,0.0000402,0.0000393,0.0000379,0.0000364,0.0000351,0.0000342,0.0000333,0.0000324,0.0000315,0.0000306,0.0000297
11,0.000141,0.000142026,0.000138324,0.000133798,0.000130055,0.000126335,0.000122566,0.000119048,0.00011529,0.00011254,0.000109002,0.000106239,0.000102677,0.0000999,0.0000971,0.0000943,0.0000918,0.000089,0.0000864,0.0000836,0.000081,0.0000792,0.0000766,0.0000745,0.0000719,0.0000701,0.0000677,0.0000659,0.0000641,0.0000622,0.0000606,0.0000587,0.0000569,0.0000552,0.0000537,0.0000518,0.0000509,0.000049,0.0000474,0.0000465,0.0000449,0.000044,0.0000424,0.0000412,0.0000396,0.0000386,0.0000377,0.0000364,0.0000355,0.0000346,0.0000337
12,0.000146,0.000163,0.000159,0.000154,0.00015,0.000146,0.000142,0.000138,0.000134,0.000131,0.000127,0.000124,0.00012,0.000117,0.000114,0.000111,0.000108,0.000105,0.000102,0.000099,0.000096,0.000094,0.000091,0.000089,0.000086,0.000084,0.000081,0.000079,0.000077,0.000075,0.000073,0.000071,0.000069,0.000067,0.000065,0.000063,0.000062,0.00006,0.000058,0.000057,0.000055,0.000054,0.000052,0.000051,0.000049,0.000048,0.000047,0.000045,0.000044,0.000043,0.000042
