"","yr2010","yr2011","yr2012","yr2013","yr2014","yr2015","yr2016","yr2017","yr2018","yr2019","yr2020","yr2021","yr2022","yr2023","yr2024","yr2025","yr2026","yr2027","yr2028","yr2029","yr2030","yr2031","yr2032","yr2033","yr2034","yr2035","yr2036","yr2037","yr2038","yr2039","yr2040","yr2041","yr2042","yr2043","yr2044","yr2045","yr2046","yr2047","yr2048","yr2049","yr2050","yr2051","yr2052","yr2053","yr2054","yr2055","yr2056","yr2057","yr2058","yr2059","yr2060"
"pop_0",13268526,13402586,13531204,13651854,12481234,12576926,12671486,12764122,12851636,12933350,13005824,13065702,13113904,13154096,13189242,13220528,13247530,13269316,13286398,13301306,13315624,13330204,13347356,13368396,13394130,13424418,13458218,13494538,13533162,13574448,13618076,13663870,13712344,13763092,13816098,13870934,13926910,13983476,14039988,14095668,14150258,14203524,14255046,14304514,14351894,14397222,14440574,14482298,14522652,14562150,14601136
"pop_1",13182518,13316354,13450116,13578476,12417620,12530686,12626988,12722172,12815410,12903554,12985888,13058836,13119456,13168328,13209312,13245138,13277140,13304786,13327270,13345012,13360584,13375512,13390720,13408454,13430102,13456410,13487220,13521502,13558322,13597488,13639246,13683340,13729520,13778436,13829584,13883036,13938132,13994508,14051414,14108236,14164240,14219096,14272652,14324456,14374138,14421800,14467320,14510878,14552802,14593320,14632950
"pop_2",13105940,13233030,13366950,13500808,12446566,12466696,12580336,12677126,12772858,12866612,12955272,13037916,13111460,13172648,13222054,13263570,13300024,13332552,13360738,13383694,13401964,13418036,13433496,13449142,13467340,13489446,13516178,13547412,13582180,13619470,13659002,13701140,13745566,13792134,13841400,13892878,13946600,14001998,14058700,14115868,14172986,14229194,14284230,14338054,14390056,14439960,14487738,14533422,14577138,14619250,14659864
"pop_3",13048070,13162412,13289878,13424218,12550842,12489106,12509140,12623310,12720508,12816698,12910812,12999706,13082844,13156886,13218500,13268388,13310386,13347284,13380226,13408812,13432202,13450918,13467380,13483188,13499204,13517794,13540258,13567312,13598904,13634064,13671624,13711524,13753996,13798688,13845558,13895062,13946858,14000838,14056486,14113422,14170744,14228146,14284598,14339802,14393814,14446004,14496050,14543986,14589864,14633700,14675900
"pop_4",13013582,13112508,13227642,13355882,12518240,12586796,12525358,12545276,12659798,12757366,12853892,12948222,13037486,13121050,13195504,13257492,13307778,13350148,13387418,13420718,13449658,13473466,13492526,13509294,13525394,13541718,13560634,13583336,13610772,13642620,13678040,13715930,13756062,13798804,13843792,13890880,13940638,13992668,14046772,14102624,14159748,14217284,14274894,14331468,14386842,14440990,14493326,14543518,14591562,14637636,14681548
"pop_5",12998674,13084200,13184314,13300620,12508556,12550710,12618856,12557660,12577388,12692222,12790084,12886804,12981448,13071106,13154978,13229736,13292108,13342710,13385390,13422966,13456590,13485846,13509998,13529316,13546362,13562728,13579292,13598494,13621500,13649188,13681242,13716864,13754982,13795332,13838296,13883502,13930844,13980754,14032964,14087224,14143260,14200566,14258250,14316002,14372768,14428244,14482480,14534922,14585224,14633456,14679600
"pop_6",12981546,13072646,13159724,13261390,12911778,12539688,12581908,12649546,12588616,12608104,12723218,12821174,12918258,13013268,13103190,13187356,13262418,13325112,13375996,13418944,13456828,13490740,13520234,13544620,13564162,13581466,13598052,13614956,13634376,13657604,13685502,13717742,13753568,13791884,13832416,13875518,13920974,13968490,14018566,14070926,14125348,14181546,14238966,14296758,14354684,14411534,14467120,14521458,14573990,14624344,14672712
"pop_7",12907890,13058844,13151782,13240694,12979972,12942734,12571056,12613268,12680526,12619760,12639050,12754268,12852534,12949930,13045224,13135456,13219914,13295274,13358246,13409342,13452606,13490730,13524912,13554624,13579204,13598944,13616552,13633384,13650536,13670128,13693534,13721652,13754064,13790070,13828558,13869294,13912518,13958128,14005820,14055984,14108542,14163120,14219424,14276990,14334882,14392914,14449844,14505566,14559976,14612588,14663014
"pop_8",12897820,12988636,13141546,13236546,12870316,13011826,12974906,12603660,12645874,12712708,12652206,12671080,12786700,12885242,12982890,13078552,13169066,13253772,13329404,13392642,13443976,13487476,13525858,13560278,13590208,13615018,13635090,13652886,13669924,13687224,13707022,13730622,13758964,13791568,13827716,13866348,13907216,13950598,13996352,14044156,14094466,14147126,14201870,14258352,14316000,14373986,14432134,14489148,14544930,14599358,14652036
"pop_9",12971530,12981202,13074150,13229194,12814516,12902896,13044476,13007812,12636986,12679120,12745590,12685168,12703908,12819774,12918596,13016514,13112476,13203286,13288254,13364140,13427620,13479176,13522928,13561574,13596212,13626362,13651484,13671772,13689732,13706954,13724434,13744448,13768206,13796752,13829512,13865806,13904560,13945586,13989100,14034940,14082870,14133292,14186146,14241002,14297572,14355300,14413380,14471618,14528702,14584492,14638984
