"","yr2010","yr2011","yr2012","yr2013","yr2014","yr2015","yr2016","yr2017","yr2018","yr2019","yr2020","yr2021","yr2022","yr2023","yr2024","yr2025","yr2026","yr2027","yr2028","yr2029","yr2030","yr2031","yr2032","yr2033","yr2034","yr2035","yr2036","yr2037","yr2038","yr2039","yr2040","yr2041","yr2042","yr2043","yr2044","yr2045","yr2046","yr2047","yr2048","yr2049","yr2050","yr2051","yr2052","yr2053","yr2054","yr2055","yr2056","yr2057","yr2058","yr2059","yr2060"
"pop_0",12685448,12813772,12936920,13052458,11915590,12006940,12097074,12185596,12269064,12347072,12416214,12473268,12519146,12557498,12591108,12620912,12646822,12667650,12683914,12698010,12711636,12725574,12741990,12762052,12786634,12815598,12847708,12882392,12919210,12958574,13000076,13043782,13090068,13138448,13188858,13241184,13294646,13348612,13402378,13455634,13507790,13558644,13607808,13655050,13700312,13743566,13785128,13825124,13863764,13901442,13938670
"pop_1",12614922,12743132,12871152,12994010,11854312,11964202,12056152,12146808,12235890,12319878,12398428,12468126,12525796,12572312,12611280,12645496,12675904,12702426,12723872,12740714,12755374,12769578,12784048,12800970,12821580,12846662,12876110,12908698,12943810,12981060,13020810,13062686,13106764,13153422,13202126,13252882,13305592,13359350,13413596,13467622,13521140,13573560,13624640,13674060,13721528,13766990,13810448,13852150,13892296,13931076,13968886
"pop_2",12548150,12669860,12798168,12926278,11904932,11903062,12013534,12105962,12197078,12286670,12371066,12450026,12520280,12578472,12625534,12664970,12699682,12730562,12757582,12779510,12796794,12811918,12826566,12841446,12858810,12879812,12905286,12935070,12967982,13003424,13041074,13081114,13123320,13167722,13214696,13263668,13314748,13367728,13421760,13476212,13530436,13584188,13636812,13688106,13737734,13785360,13831002,13874586,13916460,13956718,13995558
"pop_3",12499002,12608678,12730820,12859566,11988220,11948316,11946860,12057848,12150668,12242268,12332246,12416906,12496330,12567056,12625718,12673184,12713054,12748208,12779494,12806952,12829298,12847018,12862506,12877534,12892758,12910486,12931814,12957648,12987754,13020932,13056680,13094604,13134968,13177514,13222210,13269426,13318632,13369946,13423150,13477388,13532050,13586414,13640322,13693118,13744568,13794330,13842078,13887950,13931666,13973656,14014016
"pop_4",12472456,12567466,12677976,12800958,12012324,12026752,11987186,11986112,12097544,12190742,12282674,12372850,12457908,12537732,12608852,12667898,12715766,12756014,12791514,12823172,12851000,12873668,12891736,12907546,12922866,12938404,12956444,12978148,13004226,13034626,13068086,13104044,13142270,13182902,13225648,13270562,13318006,13367374,13418970,13472336,13526714,13581584,13636110,13690180,13743102,13794646,13844522,13892434,13938450,13982182,14024324
"pop_5",12464596,12546940,12643204,12754948,12011304,12047992,12062708,12023442,12022728,12134514,12228008,12320028,12410584,12496020,12576188,12647688,12707034,12755260,12795838,12831684,12863672,12891794,12914770,12933108,12949206,12964800,12980628,12998946,13020886,13047238,13077898,13111630,13147814,13186250,13227104,13269992,13315076,13362712,13412298,13464042,13517542,13572058,13627078,13681724,13735866,13788996,13840642,13890602,13938600,13984634,14028474
"pop_6",12454614,12542324,12626298,12724180,12386520,12045256,12082068,12097014,12057970,12057606,12169762,12263312,12355630,12446536,12532336,12612828,12684648,12744284,12792768,12833722,12869850,12902108,12930554,12953814,12972404,12988756,13004600,13020634,13039186,13061346,13087928,13118840,13152788,13189146,13227772,13268824,13311848,13357090,13404912,13454644,13506516,13560124,13614774,13669904,13724622,13778932,13832160,13883874,13933882,13981954,14028024
"pop_7",12390858,12535720,12625360,12711284,12424660,12419002,12078254,12115156,12130246,12091432,12091342,12203686,12297556,12390174,12481404,12567492,12648290,12720396,12780310,12829130,12870310,12906698,12939258,12967958,12991502,13010346,13026894,13042966,13059206,13078040,13100396,13127188,13158306,13192414,13228984,13267740,13308982,13352154,13397552,13445544,13495380,13547342,13601074,13655824,13711038,13765804,13820178,13873460,13925234,13975282,14023456
"pop_8",12393978,12475448,12622434,12714222,12307816,12456734,12451172,12110886,12147872,12163052,12124418,12124474,12237198,12331410,12424358,12515840,12602234,12683322,12755706,12815852,12864958,12906410,12943044,12975840,13004786,13028562,13047574,13064376,13080698,13097236,13116232,13138770,13165722,13197002,13231322,13268070,13306994,13348350,13391660,13437198,13485278,13535232,13587292,13641086,13695922,13751202,13806026,13860472,13913822,13965716,14015830
"pop_9",12482660,12481968,12565712,12714956,12268282,12339638,12488770,12483326,12143484,12180524,12195828,12157116,12157572,12270686,12365204,12458458,12550184,12636820,12718194,12790844,12851246,12900616,12942296,12979144,13012182,13041348,13065306,13084530,13101628,13118178,13134916,13154060,13176804,13203908,13235368,13269868,13306728,13345796,13387246,13430718,13476374,13524550,13574590,13626744,13680622,13735532,13790882,13845748,13900274,13953776,14005678
"pop_10",12102270,12571584,12573286,12659420,12293406,12299530,12371376,12520636,12515256,12175870,12212896,12228570,12190196,12191082,12304520,12399310,12492852,12584858,12671774,12753380,12826260,12886912,12936576,12978490,13015564,13048804,13078128,13102306,13121720,13139000,13155748,13172650,13191984,13214870,13242154,13273740,13308390,13345436,13384622,13426186,13469752,13515552,13563808,13613928,13666142,13720118,13775064,13830468,13885396,13940014,13993526
"pop_11",12056492,12189008,12660670,12664788,12200572,12324620,12330866,12403086,12552444,12547178,12208126,12245484,12261338,12223422,12224618,12338324,12433372,12527210,12619478,12706626,12788480,12861600,12922520,12972458,13014600,13051882,13085302,13114822,13139192,13158802,13176236,13193208,13210234,13229788,13252794,13280200,13311926,13346746,13383922,13423192,13464850,13508516,13554410,13602784,13652994,13705286,13759328,13814336,13869808,13924758,13979408
"pop_12",11997104,12141442,12276368,12750378,12142656,12231704,12356288,12362562,12435090,12584522,12579354,12240914,12278586,12294704,12257118,12258566,12372564,12467892,12561994,12654554,12741962,12824034,12897404,12958546,13008710,13051046,13088512,13122140,13151870,13176400,13196176,13213828,13230934,13248114,13267826,13290986,13318522,13350374,13385278,13422606,13461948,13503702,13547434,13593430,13641890,13692234,13744580,13798666,13853776,13909270,13964268
"pop_13",12073824,12082792,12229550,12366884,12425362,12175262,12264650,12389642,12395974,12468794,12618354,12613662,12275766,12313722,12330054,12292796,12294508,12408806,12504456,12598854,12691664,12779336,12861630,12935216,12996566,13046976,13089520,13127192,13161042,13190942,13215726,13235664,13253456,13270692,13288034,13307866,13331178,13358876,13390794,13425796,13463266,13502732,13544618,13588440,13634494,13683032,13733424,13785798,13839992,13895130,13950660
