"year","cumulativedeaths_avoided_males","cumulativedeaths_avoided_females","cumulativedeaths_avoided","policy_year"
"year","cumulativedeaths_avoided_males","cumulativedeaths_avoided_females","cumulativedeaths_avoided","policy_year"
"2010","1115","485","1600","2015"
"2011","3169","1240","4409","2015"
"2012","4722","741","5463","2015"
"2013","6386","195","6581","2015"
"2014","8124","696","8820","2015"
"2015","15375","3785","19160","2015"
"2016","24884","8767","33651","2015"
"2017","37700","15868","53568","2015"
"2018","51367","23991","75358","2015"
"2019","65541","33451","98992","2015"
"2020","80136","43266","123402","2015"
"2021","94550","52986","147536","2015"
"2022","111451","62927","174378","2015"
"2023","127841","71969","199810","2015"
"2024","143533","80199","223732","2015"
"2025","159149","88707","247856","2015"
"2026","173383","96985","270368","2015"
"2027","186799","103884","290683","2015"
"2028","199126","110059","309185","2015"
"2029","212250","116639","328889","2015"
"2030","224242","124090","348332","2015"
"2031","235201","131884","367085","2015"
"2032","247172","140200","387372","2015"
"2033","260401","148238","408639","2015"
"2034","273156","156421","429577","2015"
"2035","287184","165948","453132","2015"
"2036","303109","175920","479029","2015"
"2037","320144","185931","506075","2015"
"2038","337266","194802","532068","2015"
"2039","352469","204504","556973","2015"
"2040","368324","214076","582400","2015"
"2041","386664","224218","610882","2015"
"2042","404004","233124","637128","2015"
"2043","417738","239677","657415","2015"
"2044","432786","246709","679495","2015"
"2045","446414","252386","698800","2015"
"2046","461567","259223","720790","2015"
"2047","475366","265747","741113","2015"
"2048","486330","272701","759031","2015"
"2049","496146","279244","775390","2015"
"2050","507778","283644","791422","2015"
"2051","519445","287707","807152","2015"
"2052","530279","291941","822220","2015"
"2053","537418","296151","833569","2015"
"2054","547097","300747","847844","2015"
"2055","554195","305022","859217","2015"
"2056","559957","308511","868468","2015"
"2057","564895","311020","875915","2015"
"2058","568136","314700","882836","2015"
"2059","571432","317025","888457","2015"
"2060","576738","320067","896805","2015"
"2010","751","-220","531","2016"
"2011","2137","86","2223","2016"
"2012","3245","-8","3237","2016"
"2013","3429","-164","3265","2016"
"2014","4214","898","5112","2016"
"2015","6044","1169","7213","2016"
"2016","11638","4755","16393","2016"
"2017","20249","10284","30533","2016"
"2018","29418","17929","47347","2016"
"2019","38659","27178","65837","2016"
"2020","50719","36926","87645","2016"
"2021","61565","46569","108134","2016"
"2022","75370","56650","132020","2016"
"2023","88640","65279","153919","2016"
"2024","102344","73480","175824","2016"
"2025","115340","80831","196171","2016"
"2026","126738","88859","215597","2016"
"2027","137423","95165","232588","2016"
"2028","146008","101320","247328","2016"
"2029","155898","107773","263671","2016"
