policy_number,race,gender,cohort,age,year,baseline_initiation_rate,baseline_cessation_rate,initiation_rate,cessation_rate,survivors,alive_smokers,smoking_prevalence,former_smokers,former_prevalence
0,0,0,2049,0,2049,0.0,0.0,0.0,0.0,50000,0,0.0,0,0.0
0,0,0,2049,1,2050,0.0,0.0,0.0,0.0,49905,0,0.0,0,0.0
0,0,0,2049,2,2051,0.0,0.0,0.0,0.0,49885,0,0.0,0,0.0
0,0,0,2049,3,2052,0.0,0.0,0.0,0.0,49879,0,0.0,0,0.0
0,0,0,2049,4,2053,0.0,0.0,0.0,0.0,49878,0,0.0,0,0.0
0,0,0,2049,5,2054,0.0,0.0,0.0,0.0,49877,0,0.0,0,0.0
0,0,0,2049,6,2055,0.0,0.0,0.0,0.0,49877,0,0.0,0,0.0
0,0,0,2049,7,2056,0.0,0.0,0.0,0.0,49875,0,0.0,0,0.0
0,0,0,2049,8,2057,0.000442829,0.0,0.000442829,0.0,49875,24,0.000481203007518797,0,0.0
0,0,0,2049,9,2058,0.000888343,0.0,0.000888343,0.0,49872,69,0.0013835418671799807,0,0.0
0,0,0,2049,10,2059,0.001781276,0.0,0.001781276,0.0,49870,165,0.0033086023661519953,0,0.0
0,0,0,2049,11,2060,0.00354796,0.0,0.00354796,0.0,49867,331,0.006637656165399964,0,0.0
0,0,0,2049,12,2061,0.006814578,0.0,0.006814578,0.0,49867,646,0.012954458860569115,0,0.0
0,0,0,2049,13,2062,0.012181779,0.0,0.012181779,0.0,49865,1187,0.023804271533139475,0,0.0
0,0,0,2049,14,2063,0.019574094,0.0,0.019574094,0.0,49864,2108,0.04227498796727098,0,0.0
0,0,0,2049,15,2064,0.027348586,0.016437296,0.027348586,0.016437296,49860,3326,0.06670677898114721,0,0.0
0,0,0,2049,16,2065,0.032552923,0.016899039,0.032552923,0.016899039,49851,4799,0.09626687528835931,46,0.0009227497943872741
0,0,0,2049,17,2066,0.03379091,0.017373524,0.03379091,0.017373524,49844,6143,0.12324452291148383,125,0.0025078244121659577
0,0,0,2049,18,2067,0.031605444,0.01786109,0.031605444,0.01786109,49829,7400,0.14850789700776656,253,0.005077364586887154
0,0,0,2049,19,2068,0.027493596,0.018362082,0.027493596,0.018362082,49812,8397,0.16857383762948688,379,0.007608608367461656
0,0,0,2049,20,2069,0.022959572,0.018876858,0.022959572,0.018876858,49798,9099,0.1827181814530704,530,0.010642997710751436
0,0,0,2049,21,2070,0.018908137,0.019405779,0.018908137,0.019405779,49774,9647,0.19381604853939807,716,0.014385020291718568
0,0,0,2049,22,2071,0.015451436,0.019949219,0.015451436,0.019949219,49744,10003,0.20108957864265037,913,0.01835397233837247
0,0,0,2049,23,2072,0.01254112,0.02050756,0.01254112,0.02050756,49721,10326,0.20767884797168198,1123,0.022586030047665975
0,0,0,2049,24,2073,0.010119681,0.021081191,0.010119681,0.021081191,49702,10478,0.21081646613818358,1328,0.026719246710393947
0,0,0,2049,25,2074,0.008126002,0.021670513,0.008126002,0.021670513,49679,10582,0.2130075082026611,1516,0.03051591215604179
0,0,0,2049,26,2075,0.006499536,0.022275934,0.006499536,0.022275934,49655,10567,0.21280837780686737,1737,0.03498137146309536
0,0,0,2049,27,2076,0.00518319,0.022897873,0.00518319,0.022897873,49634,10513,0.2118104525123907,2006,0.040415843977918364
0,0,0,2049,28,2077,0.004125082,0.023536759,0.004125082,0.023536759,49616,10434,0.21029506610770718,2263,0.045610287004192195
0,0,0,2049,29,2078,0.003279422,0.02419303,0.003279422,0.02419303,49600,10321,0.20808467741935485,2516,0.050725806451612905
0,0,0,2049,30,2079,0.002606734,0.024867132,0.002606734,0.024867132,49578,10165,0.20503045705756587,2739,0.05524627859131066
0,0,0,2049,31,2080,0.002073643,0.025334882,0.002073643,0.025334882,49562,9992,0.20160606916589321,2994,0.0604091844558331
0,0,0,2049,32,2081,0.001652377,0.025805175,0.001652377,0.025805175,49544,9821,0.1982278378814791,3240,0.06539641530760536
0,0,0,2049,33,2082,0.001320143,0.026271703,0.001320143,0.026271703,49520,9576,0.19337641357027463,3484,0.07035541195476575
0,0,0,2049,34,2083,0.001058437,0.026727732,0.001058437,0.026727732,49496,9373,0.18936883788588976,3764,0.07604654921609827
0,0,0,2049,35,2084,0.000852386,0.02716612,0.000852386,0.02716612,49472,9127,0.18448819534282018,4007,0.08099531047865459
0,0,0,2049,36,2085,0.000690126,0.027579354,0.000690126,0.027579354,49452,8887,0.1797096174067783,4273,0.0864070209496077
0,0,0,2049,37,2086,0.000562255,0.027959602,0.000562255,0.027959602,49434,8644,0.17485940850426832,4526,0.0915564186592224
0,0,0,2049,38,2087,0.000461363,0.028298792,0.000461363,0.028298792,49409,8389,0.16978688093262362,4783,0.09680422595073772
0,0,0,2049,39,2088,0.000381635,0.028588705,0.000381635,0.028588705,49386,8148,0.16498602842910948,5049,0.10223545134248573
0,0,0,2049,40,2089,0.000318521,0.028821091,0.000318521,0.028821091,49365,7955,0.16114656132887673,5301,0.10738377392889699
0,0,0,2049,41,2090,0.000268474,0.028991112,0.000268474,0.028991112,49344,7751,0.15708090142671854,5505,0.1115637159533074
0,0,0,2049,42,2091,0.000228735,0.029107512,0.000228735,0.029107512,49322,7553,0.15313653136531366,5704,0.11564818944892746
0,0,0,2049,43,2092,0.000197158,0.029182843,0.000197158,0.029182843,49301,7334,0.14875966004746355,5898,0.11963246181619035
0,0,0,2049,44,2093,0.000172084,0.02923,0.000172084,0.02923,49273,7118,0.14446045501593163,6114,0.12408418403588171
0,0,0,2049,45,2094,0.000152229,0.029262071,0.000152229,0.029262071,49252,6883,0.13975067002355235,6330,0.12852269958580362
0,0,0,2049,46,2095,0.000136607,0.029292239,0.000136607,0.029292239,49221,6679,0.13569411430080658,6558,0.133235813981837
0,0,0,2049,47,2096,0.000124469,0.029333751,0.000124469,0.029333751,49184,6483,0.1318111581001952,6757,0.13738207547169812
0,0,0,2049,48,2097,0.00011525,0.029399934,0.00011525,0.029399934,49149,6272,0.1276119554823089,6943,0.141264318704348
0,0,0,2049,49,2098,0.000108545,0.029504274,0.000108545,0.029504274,49113,6043,0.12304277889764421,7151,0.1456029971697921
0,0,0,2049,50,2099,0.000104076,0.02966056,0.000104076,0.02966056,49077,5875,0.1197098437149785,7368,0.15013142612629135
0,0,0,2049,51,2100,0.000101637,0.029879737,0.000101637,0.029879737,49039,5663,0.11547951630335039,7528,0.1535104712575705
0,0,0,1955,0,1955,0.0,0.0,0.0,0.0,50000,0,0.0,0,0.0
0,0,0,1955,1,1956,0.0,0.0,0.0,0.0,48440,0,0.0,0,0.0
0,0,0,1955,2,1957,0.0,0.0,0.0,0.0,48335,0,0.0,0,0.0
0,0,0,1955,3,1958,0.0,0.0,0.0,0.0,48269,0,0.0,0,0.0
0,0,0,1955,4,1959,0.0,0.0,0.0,0.0,48230,0,0.0,0,0.0
0,0,0,1955,5,1960,0.0,0.0,0.0,0.0,48203,0,0.0,0,0.0
0,0,0,1955,6,1961,0.0,0.0,0.0,0.0,48178,0,0.0,0,0.0
0,0,0,1955,7,1962,0.0,0.0,0.0,0.0,48153,0,0.0,0,0.0
0,0,0,1955,8,1963,0.001506961,0.0,0.001506961,0.0,48135,67,0.001391918562376649,0,0.0
0,0,0,1955,9,1964,0.003022082,0.0,0.003022082,0.0,48112,192,0.0039906883937479215,0,0.0
0,0,0,1955,10,1965,0.006048985,0.0,0.006048985,0.0,48092,461,0.009585793895034517,0,0.0
0,0,0,1955,11,1966,0.011982041,0.0,0.011982041,0.0,48067,987,0.02053383818420122,0,0.0
0,0,0,1955,12,1967,0.022742209,0.0,0.022742209,0.0,48045,2047,0.042605890311166614,0,0.0
0,0,0,1955,13,1968,0.039826202,0.0,0.039826202,0.0,48025,3847,0.08010411244143675,0,0.0
0,0,0,1955,14,1969,0.062106601,0.0,0.062106601,0.0,48001,6616,0.1378304618653778,0,0.0
0,0,0,1955,15,1970,0.083636945,0.010710046,0.083636945,0.010710046,47966,10075,0.21004461493557938,0,0.0
0,0,0,1955,16,1971,0.0957463,0.01132995,0.0957463,0.01132995,47920,13379,0.27919449081803005,99,0.0020659432387312186
0,0,0,1955,17,1972,0.095630516,0.011952073,0.095630516,0.011952073,47856,16534,0.3454948177866934,272,0.0056837178201270475
0,0,0,1955,18,1973,0.086040766,0.01257474,0.086040766,0.01257474,47771,18897,0.39557472106508135,472,0.009880471415712461
0,0,0,1955,19,1974,0.071836129,0.01319645,0.071836129,0.01319645,47687,20551,0.43095602575125297,718,0.015056514354016818
0,0,0,1955,20,1975,0.057369866,0.013815904,0.057369866,0.013815904,47608,21651,0.4547765081498908,991,0.020815829272391194
0,0,0,1955,21,1976,0.045026168,0.014432024,0.045026168,0.014432024,47516,22428,0.47200942840306426,1309,0.02754861520329994
0,0,0,1955,22,1977,0.034994497,0.01504397,0.034994497,0.01504397,47425,22854,0.4818977332630469,1629,0.03434897206114918
0,0,0,1955,23,1978,0.027004896,0.015651156,0.027004896,0.015651156,47336,23020,0.48631063038702044,1983,0.041892006084164275
0,0,0,1955,24,1979,0.020746964,0.016253258,0.020746964,0.016253258,47247,23037,0.4875865134294241,2350,0.04973860774229052
