"year","age","cohort","males_baseline","females_baseline","males_policy","females_policy","both_baseline","both_policy","policy_year"
"year","age","cohort","males_baseline","females_baseline","males_policy","females_policy","both_baseline","both_policy","policy_year"
"year","age","cohort","males_baseline","females_baseline","males_policy","females_policy","both_baseline","both_policy","policy_year"
"year","age","cohort","males_baseline","females_baseline","males_policy","females_policy","both_baseline","both_policy","policy_year"
"2010","0","2010","0","0","0","0","0","0","2015"
"2010","10","2000","0","0","0","0.0051","0","0.0025","2015"
"2010","20","1990","0.203","0.1582","0.2359","0.1786","0.1811","0.2079","2015"
"2010","30","1980","0.3434","0.2589","0.3434","0.2704","0.3016","0.3073","2015"
"2010","40","1970","0.2835","0.2462","0.3144","0.2359","0.265","0.2754","2015"
"2011","1","2010","0","0","0","0","0","0","2015"
"2011","11","2000","0","0.0051","0","0.0102","0.0025","0.005","2015"
"2011","21","1990","0.2081","0.1633","0.2462","0.1786","0.1862","0.2131","2015"
"2011","31","1980","0.3384","0.2538","0.3384","0.2653","0.2965","0.3022","2015"
"2011","41","1970","0.2835","0.241","0.3041","0.2359","0.2624","0.2702","2015"
"2012","2","2010","0","0","0","0","0","0","2015"
"2012","12","2000","0.0051","0.0102","0.0051","0.0152","0.0076","0.0101","2015"
"2012","22","1990","0.2132","0.1633","0.2462","0.1888","0.1887","0.218","2015"
"2012","32","1980","0.3333","0.2386","0.3283","0.2551","0.2864","0.292","2015"
"2012","42","1970","0.2708","0.241","0.2917","0.2359","0.256","0.2639","2015"
"2013","3","2010","0","0","0","0","0","0","2015"
"2013","13","2000","0.0051","0.0152","0.0051","0.0254","0.0101","0.015","2015"
"2013","23","1990","0.2234","0.1684","0.2462","0.1837","0.1964","0.2155","2015"
"2013","33","1980","0.3131","0.2296","0.3182","0.241","0.2717","0.2799","2015"
"2013","43","1970","0.2737","0.2435","0.2895","0.2383","0.2587","0.264","2015"
"2014","4","2010","0","0","0","0","0","0","2015"
"2014","14","2000","0.0204","0.0355","0.0256","0.0508","0.0278","0.0379","2015"
"2014","24","1990","0.2437","0.1735","0.2615","0.1888","0.2093","0.2259","2015"
"2014","34","1980","0.3182","0.2347","0.3182","0.2462","0.2767","0.2824","2015"
"2014","44","1970","0.2579","0.2332","0.2737","0.228","0.2455","0.2507","2015"
"2015","5","2010","0","0","0","0","0","0","2015"
"2015","15","2000","0.051","0.0457","0.0462","0.0508","0.0484","0.0484","2015"
"2015","25","1990","0.2335","0.1786","0.2564","0.1888","0.2066","0.2233","2015"
"2015","35","1980","0.3081","0.2256","0.3182","0.232","0.2671","0.2753","2015"
"2015","45","1970","0.2593","0.2135","0.2646","0.2135","0.2363","0.2389","2015"
"2016","6","2010","0","0","0","0","0","0","2015"
"2016","16","2000","0.0663","0.0711","0.0564","0.0711","0.0686","0.0636","2015"
"2016","26","1990","0.2335","0.1735","0.2564","0.1786","0.2041","0.2183","2015"
"2016","36","1980","0.303","0.2205","0.2778","0.2216","0.262","0.2499","2015"
"2016","46","1970","0.2328","0.2083","0.2381","0.2135","0.2205","0.2258","2015"
"2017","7","2010","0","0","0","0","0","0","2015"
"2017","17","2000","0.1071","0.1015","0.1077","0.0964","0.1044","0.1022","2015"
"2017","27","1990","0.2386","0.1684","0.2513","0.1684","0.2042","0.2106","2015"
