"year","cumulativedeaths_avoided_males","cumulativedeaths_avoided_females","cumulativedeaths_avoided","policy_year"
2010,-684,-821,-1505,2015
2011,-828,-1476,-2304,2015
2012,-2152,-1746,-3898,2015
2013,-3196,-2252,-5448,2015
2014,-2996,-3186,-6182,2015
2015,10339,5346,15685,2015
2016,31886,20048,51934,2015
2017,60183,39875,100058,2015
2018,93076,62558,155634,2015
2019,128984,87570,216554,2015
2020,166069,113953,280022,2015
2021,202827,141874,344701,2015
2022,243185,170629,413814,2015
2023,283676,197893,481569,2015
2024,323298,225072,548370,2015
2025,361847,252189,614036,2015
2026,398667,278302,676969,2015
2027,435344,302825,738169,2015
2028,472633,325949,798582,2015
2029,508715,348457,857172,2015
2030,540643,371659,912302,2015
2031,572738,394441,967179,2015
2032,604022,416675,1020697,2015
2033,636460,438543,1075003,2015
2034,669525,460908,1130433,2015
2035,701436,482332,1183768,2015
2036,735819,502877,1238696,2015
2037,771834,523833,1295667,2015
2038,809375,542755,1352130,2015
2039,842782,561368,1404150,2015
2040,875852,578998,1454850,2015
2041,909276,596357,1505633,2015
2042,943382,613608,1556990,2015
2043,974062,627896,1601958,2015
2044,1003490,641607,1645097,2015
2045,1033648,652927,1686575,2015
2046,1064259,664964,1729223,2015
2047,1089757,677151,1766908,2015
2048,1115403,689857,1805260,2015
2049,1140332,701880,1842212,2015
2050,1167604,712207,1879811,2015
2051,1192964,722895,1915859,2015
2052,1218401,733953,1952354,2015
2053,1242176,744530,1986706,2015
2054,1268384,754136,2022520,2015
2055,1290687,762449,2053136,2015
2056,1312750,770855,2083605,2015
2057,1335829,779004,2114833,2015
2058,1361274,786721,2147995,2015
2059,1383297,793375,2176672,2015
2060,1408060,801016,2209076,2015
2010,955,-1274,-319,2016
2011,2496,-2298,198,2016
2012,2596,-3222,-626,2016
2013,3012,-3093,-81,2016
2014,3930,-3271,659,2016
2015,5781,-3802,1979,2016
2016,18986,5312,24298,2016
2017,40232,20997,61229,2016
2018,66585,40156,106741,2016
2019,97143,62728,159871,2016
2020,131351,88020,219371,2016
2021,167248,114806,282054,2016
2022,206968,143173,350141,2016
2023,247044,170875,417919,2016
2024,289734,197391,487125,2016
2025,331670,223323,554993,2016
