"","a12-17","18-24","25-44","45-64","65p","18-99","a12-17m","18-24m","25-44m","45-64m","65pm","18-99m","a12-17f","18-24f","25-44f","45-64f","65pf","18-99f"
"US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL",0,0.243605947918543,0.318517024352896,0.253460962107218,0.11398463279855,0.244348499725717,0,0.303437361834797,0.354978326623286,0.258774476791346,0.13200480142446,0.273385547406758,0,0.180978266755278,0.283774947610162,0.248585837101885,0.100336843076558,0.218015175069137
"AK",0,0.196576697925266,0.31763645246736,0.229202690276144,0.105772034225773,0.2386784093841,0,0.243276453414448,0.330183125319313,0.222485927267396,0.129410923715072,0.251492128862057,0,0.136646915887741,0.303663370104702,0.236434302949524,0.0832387641297192,0.224558288768404
"AZ",0,0.166431989276071,0.208015611913977,0.194445641916667,0.100282174884915,0.173789510970045,0,0.204183735215359,0.248892428774504,0.205126467810298,0.128575951479177,0.202957105681031,0,0.126172729519851,0.165589323688992,0.18465320442523,0.0758995389902745,0.145613541777919
"AR",0,0.319528826015568,0.372589233353525,0.274110579597036,0.121195338357932,0.279524438673159,0,0.33992785242418,0.412969913727146,0.296325650818974,0.138438993224776,0.310919909146062,0,0.297234988340137,0.331546338668127,0.253061643776661,0.107179638355963,0.249573430233753
"CA",0,0.149161979291384,0.181552342966342,0.154395088650036,0.0728520504481548,0.148685267726722,0,0.20414161569847,0.236386043691045,0.189416604669906,0.0825101032917684,0.1918158991151,0,0.0906980657739825,0.123824062074141,0.120742077534783,0.0651956033953457,0.106603854495707
"CO",0,0.248065039634191,0.228284830943789,0.201359414774557,0.0930574325087015,0.196705626910587,0,0.292233874243605,0.252762936008479,0.215589265628999,0.0972710661399588,0.220414893957041,0,0.198319761801394,0.202372787868164,0.187195992784093,0.0896298811206672,0.173205291419738
"CT",0,0.142948870037658,0.222694498363919,0.170428101441479,0.0836117336849296,0.164088379376161,0,0.167387847947226,0.27636708654401,0.199395197484615,0.0900107195277169,0.197396933058028,0,0.11531509779761,0.170278776136647,0.14351293650822,0.0786262884783854,0.133130527066432
"DE",0,0.224339857266307,0.261098343149753,0.258679177433996,0.110357106048095,0.221300566533684,0,0.183647909421776,0.349657391385947,0.303954703426567,0.113421332447236,0.261856731384778,0,0.265102746532942,0.176769392571383,0.21823655744145,0.107929083046861,0.184818455208706
"DC",0,0.183206209476344,0.223800418658394,0.263977652184044,0.122554103704027,0.211754605830635,0,0.291395111671231,0.223548153657693,0.278921148095484,0.130926807573852,0.233950298086477,0,0.0555743846308778,0.224019740067625,0.249066414171002,0.116598066152358,0.19164699410282
