"","18-99","18-24","25-44","45-64","65p","18-99m","18-24m","25-44m","45-64m","65pm","18-99f","18-24f","25-44f","45-64f","65pf"
"AL",0.191815647914578,0.132485200570435,0.248904145519321,0.221773987939585,0.0970542445844277,0.213200294572953,0.180181485323912,0.266948866525761,0.24061456146802,0.101892742187792,0.172512719261739,0.0849250765863536,0.231456553292111,0.204521071202243,0.0935634859548745
"AK",0.190597760759961,0.168601257222071,0.220515500614949,0.194339517877112,0.127606640472968,0.207883023346719,0.169105391336674,0.235743072051987,0.231522717753809,0.120802128764076,0.173343623725404,0.16795874213699,0.20741316163194,0.156158167330672,0.134318779388534
"AZ",0.139970894732122,0.0857197420794292,0.176538570536731,0.163477488877997,0.0856998029490825,0.155296300496157,0.0530579603159384,0.215559599635068,0.175309860074431,0.0952491058383002,0.125659556372631,0.12203189403104,0.137093880778971,0.152703573086512,0.0777697875814009
"AR",0.227298929495334,0.163880051553142,0.304309615633957,0.261169462502398,0.101222863791073,0.238645196812074,0.188663022814232,0.31721470788686,0.269040819810852,0.0931849965937045,0.21651424174735,0.138745738763509,0.291767324855329,0.253237539018434,0.107575149347694
"CA",0.11239884120424,0.090089797582297,0.138865457076086,0.123636168714526,0.0584851302246814,0.148105612846753,0.10314776651067,0.196441694378454,0.150187644717115,0.0764739261896059,0.0776071008693319,0.0761565655983092,0.0790259873636158,0.0979855854127208,0.0436465321278611
"CO",0.144686885929428,0.147424143887374,0.17838530989977,0.143765489595329,0.0778369360640883,0.16570501078312,0.169695584290417,0.21586427964546,0.153471213022287,0.0755709271615057,0.123896419113727,0.123726793322961,0.139188194194588,0.134179583035988,0.0798128790593334
"CT",0.121568547520803,0.100902997337,0.159235749284018,0.135166108655546,0.0596576945981945,0.136084369412353,0.133277374108982,0.173053189647428,0.139132370935933,0.0742784046330335,0.108335232873495,0.0666779003244511,0.145738860846783,0.131621764422802,0.0486167572684479
"DE",0.165166626972766,0.104940159558569,0.222673110158326,0.188080038538187,0.0853384396596045,0.182759554233377,0.106967774395035,0.257710217248103,0.200182868403827,0.0884428055214674,0.149048837630279,0.102743298104261,0.188244282741137,0.177283967581037,0.0828526797757799
"DC",0.137765341818608,0.0493327732122412,0.14029795031934,0.185534881457097,0.11844159056314,0.151085246219451,0.092337285231234,0.13675152863723,0.194950942494391,0.16302622505052,0.126176545819912,0.0123089785099141,0.14394430898825,0.176682702741727,0.0867886852011813
"FL",0.144630089515138,0.0941974366713193,0.172230394245346,0.186669496295452,0.0809922358300542,0.162473504955962,0.144726891745145,0.199846680751422,0.192333890780141,0.0831360022469383,0.128195368924382,0.0401143786034087,0.145206849247389,0.18155924955955,0.0793271893861922
"GA",0.160705202458318,0.118501257310775,0.208518274495554,0.168878961505569,0.0883161339479499,0.177220646750085,0.136109299644288,0.215389986421957,0.191358851196856,0.104290434588943,0.145669420918877,0.100610663053476,0.201984096998609,0.148113066760177,0.0761482555604392
"HI",0.133682414072017,0.130985200130061,0.178858707389337,0.136747572938918,0.0656375086570658,0.157906481569934,0.159270958396039,0.200406413011159,0.161841221773208,0.0810515595461465,0.109395168104307,0.0960518702560916,0.155698375302849,0.111783185755297,0.0527825713200669
"ID",0.147277916037084,0.126653397532452,0.177929802811687,0.161598415743579,0.0928358414979664,0.158886975702555,0.144044261636006,0.207423558035349,0.161718749278251,0.0857519395641983,0.136454605128821,0.109106363491849,0.147897643819186,0.162264959414355,0.099791733381099
