policy_number,race,gender,cohort,age,year,baseline_initiation_rate,baseline_cessation_rate,initiation_rate,cessation_rate,survivors,alive_smokers,smoking_prevalence,former_smokers,former_prevalence
0,0,1,2017,0,2017,0,0,0,0,50000,0,0,0,0
0,0,1,2017,1,2018,0,0,0,0,49749,0,0,0,0
0,0,1,2017,2,2019,0,0,0,0,49705,0,0,0,0
0,0,1,2017,3,2020,0,0,0,0,49691,0,0,0,0
0,0,1,2017,4,2021,0,0,0,0,49685,0,0,0,0
0,0,1,2017,5,2022,0,0,0,0,49681,0,0,0,0
0,0,1,2017,6,2023,0,0,0,0,49680,0,0,0,0
0,0,1,2017,7,2024,0,0,0,0,49676,0,0,0,0
0,0,1,2017,8,2025,9.39E-05,0,9.39E-05,0,49672,6,0.000120792,0,0
0,0,1,2017,9,2026,0.000228483,0,0.000228483,0,49669,14,0.000281866,0,0
0,0,1,2017,10,2027,0.000556115,0,0.000556115,0,49662,46,0.000926262,0,0
0,0,1,2017,11,2028,0.001342945,0,0.001342945,0,49659,103,0.002074146,0,0
0,0,1,2017,12,2029,0.003099012,0,0.003099012,0,49654,260,0.005236235,0,0
0,0,1,2017,13,2030,0.006531931,0,0.006531931,0,49652,571,0.01150004,0,0
0,0,1,2017,14,2031,0.012023521,0,0.012023521,0,49650,1171,0.023585096,0,0
0,0,1,2017,15,2032,0.018507345,0.018636085,0.018507345,0.018636085,49645,1992,0.040124887,0,0
0,0,1,2017,16,2033,0.023196437,0.01897548,0.023196437,0.01897548,49640,3050,0.061442385,33,0.000664786
0,0,1,2017,17,2034,0.024450226,0.019320934,0.024450226,0.019320934,49635,4090,0.082401531,93,0.001873678
0,0,1,2017,18,2035,0.02267506,0.019672552,0.02267506,0.019672552,49628,5035,0.101454824,171,0.003445636
0,0,1,2017,19,2036,0.019335559,0.020030437,0.019335559,0.020030437,49620,5777,0.116424829,270,0.005441354
0,0,1,2017,20,2037,0.01584426,0.020394698,0.01584426,0.020394698,49607,6306,0.127119157,379,0.007640051
0,0,1,2017,21,2038,0.012949441,0.020765443,0.012949441,0.020765443,49589,6688,0.13486862,525,0.010587025
0,0,1,2017,22,2039,0.010635536,0.021142782,0.010635536,0.021142782,49573,6953,0.140257802,664,0.013394388
0,0,1,2017,23,2040,0.008778134,0.021526826,0.008778134,0.021526826,49556,7167,0.144624263,824,0.016627654
0,0,1,2017,24,2041,0.007280674,0.021917691,0.007280674,0.021917691,49541,7298,0.147312327,979,0.01976141
0,0,1,2017,25,2042,0.00606806,0.022315491,0.00606806,0.022315491,49526,7361,0.148629003,1158,0.023381658
0,0,1,2017,26,2043,0.005081733,0.022720343,0.005081733,0.022720343,49505,7394,0.149358651,1325,0.026764973
0,0,1,2017,27,2044,0.00427589,0.023132366,0.00427589,0.023132366,49497,7386,0.149221165,1496,0.030224054
0,0,1,2017,28,2045,0.003614586,0.023551681,0.003614586,0.023551681,49480,7377,0.149090542,1686,0.034074373
0,0,1,2017,29,2046,0.003069512,0.02397841,0.003069512,0.02397841,49467,7314,0.147856147,1847,0.037338023
0,0,1,2017,30,2047,0.002618287,0.024412677,0.002618287,0.024412677,49456,7243,0.146453413,2011,0.040662407
0,0,1,2017,31,2048,0.002243153,0.024653541,0.002243153,0.024653541,49441,7134,0.144293198,2203,0.04455816
0,0,1,2017,32,2049,0.001929965,0.024897315,0.001929965,0.024897315,49423,7041,0.142464035,2410,0.048762722
0,0,1,2017,33,2050,0.00166741,0.025144638,0.00166741,0.025144638,49402,6924,0.140156269,2583,0.052285333
0,0,1,2017,34,2051,0.001446407,0.025396172,0.001446407,0.025396172,49386,6814,0.137974325,2755,0.05578504
0,0,1,2017,35,2052,0.001259639,0.025652604,0.001259639,0.025652604,49370,6704,0.135790966,2932,0.059388292
0,0,1,2017,36,2053,0.001101184,0.025914647,0.001101184,0.025914647,49355,6574,0.133198258,3095,0.062708945
0,0,1,2017,37,2054,0.000966236,0.026183041,0.000966236,0.026183041,49327,6460,0.130962759,3266,0.066211203
