policy_number,race,gender,cohort,age,year,baseline_initiation_rate,baseline_cessation_rate,initiation_rate,cessation_rate,survivors,alive_smokers,smoking_prevalence,former_smokers,former_prevalence
0,0,0,2049,0,2049,0,0,0,0,50000,0,0,0,0
0,0,0,2049,1,2050,0,0,0,0,49905,0,0,0,0
0,0,0,2049,2,2051,0,0,0,0,49885,0,0,0,0
0,0,0,2049,3,2052,0,0,0,0,49879,0,0,0,0
0,0,0,2049,4,2053,0,0,0,0,49878,0,0,0,0
0,0,0,2049,5,2054,0,0,0,0,49877,0,0,0,0
0,0,0,2049,6,2055,0,0,0,0,49877,0,0,0,0
0,0,0,2049,7,2056,0,0,0,0,49875,0,0,0,0
0,0,0,2049,8,2057,0.000442829,0,0.000442829,0,49875,24,0.000481203,0,0
0,0,0,2049,9,2058,0.000888343,0,0.000888343,0,49872,69,0.001383542,0,0
0,0,0,2049,10,2059,0.001781276,0,0.001781276,0,49870,165,0.003308602,0,0
0,0,0,2049,11,2060,0.00354796,0,0.00354796,0,49867,331,0.006637656,0,0
0,0,0,2049,12,2061,0.006814578,0,0.006814578,0,49867,646,0.012954459,0,0
0,0,0,2049,13,2062,0.012181779,0,0.012181779,0,49865,1187,0.023804272,0,0
0,0,0,2049,14,2063,0.019574094,0,0.019574094,0,49864,2108,0.042274988,0,0
0,0,0,2049,15,2064,0.027348586,0.016437296,0.027348586,0.016437296,49860,3326,0.066706779,0,0
0,0,0,2049,16,2065,0.032552923,0.016899039,0.032552923,0.016899039,49851,4799,0.096266875,46,0.00092275
0,0,0,2049,17,2066,0.03379091,0.017373524,0.03379091,0.017373524,49844,6143,0.123244523,125,0.002507824
0,0,0,2049,18,2067,0.031605444,0.01786109,0.031605444,0.01786109,49829,7400,0.148507897,253,0.005077365
0,0,0,2049,19,2068,0.027493596,0.018362082,0.027493596,0.018362082,49812,8397,0.168573838,379,0.007608608
0,0,0,2049,20,2069,0.022959572,0.018876858,0.022959572,0.018876858,49798,9099,0.182718181,530,0.010642998
