7
* SHG parameters for all races by gender 18JUL14
* Cigarette level parameters for SHG                                                                
* 1=1-5(3), 2=6-15(10), 3=16-25,(20), 4=26-35(30), 5=36-45(40), 6=41+(60)                           
* Estimates for all race by gender [M(1) F(2)]                                                      
* Race,Sex,StartYOB,EndYOB,Age,Cat1,Cat2,Cat3,Cat4,Cat5,Cat6                                        
1,2,237,0,99,6
0,0,1864,1864,0,.,.,.,.,.,.
0,0,1865,1865,0,.,.,.,.,.,.
0,0,1866,1866,0,.,.,.,.,.,.
0,0,1867,1867,0,.,.,.,.,.,.
0,0,1868,1868,0,.,.,.,.,.,.
0,0,1869,1869,0,.,.,.,.,.,.
0,0,1870,1870,0,.,.,.,.,.,.
0,0,1871,1871,0,.,.,.,.,.,.
0,0,1872,1872,0,.,.,.,.,.,.
0,0,1873,1873,0,.,.,.,.,.,.
0,0,1874,1874,0,.,.,.,.,.,.
0,0,1875,1875,0,.,.,.,.,.,.
0,0,1876,1876,0,.,.,.,.,.,.
0,0,1877,1877,0,.,.,.,.,.,.
0,0,1878,1878,0,.,.,.,.,.,.
0,0,1879,1879,0,.,.,.,.,.,.
0,0,1880,1880,0,.,.,.,.,.,.
0,0,1881,1881,0,.,.,.,.,.,.
0,0,1882,1882,0,.,.,.,.,.,.
0,0,1883,1883,0,.,.,.,.,.,.
0,0,1884,1884,0,.,.,.,.,.,.
0,0,1885,1885,0,.,.,.,.,.,.
0,0,1886,1886,0,.,.,.,.,.,.
0,0,1887,1887,0,.,.,.,.,.,.
0,0,1888,1888,0,.,.,.,.,.,.
0,0,1889,1889,0,.,.,.,.,.,.
0,0,1890,1890,0,.,.,.,.,.,.
0,0,1891,1891,0,.,.,.,.,.,.
0,0,1892,1892,0,.,.,.,.,.,.
0,0,1893,1893,0,.,.,.,.,.,.
0,0,1894,1894,0,.,.,.,.,.,.
0,0,1895,1895,0,.,.,.,.,.,.
0,0,1896,1896,0,.,.,.,.,.,.
0,0,1897,1897,0,.,.,.,.,.,.
0,0,1898,1898,0,.,.,.,.,.,.
0,0,1899,1899,0,.,.,.,.,.,.
0,0,1900,1900,0,.,.,.,.,.,.
0,0,1901,1901,0,.,.,.,.,.,.
0,0,1902,1902,0,.,.,.,.,.,.
0,0,1903,1903,0,.,.,.,.,.,.
0,0,1904,1904,0,.,.,.,.,.,.
0,0,1905,1905,0,.,.,.,.,.,.
0,0,1906,1906,0,.,.,.,.,.,.
0,0,1907,1907,0,.,.,.,.,.,.
0,0,1908,1908,0,.,.,.,.,.,.
0,0,1909,1909,0,.,.,.,.,.,.
0,0,1910,1910,0,.,.,.,.,.,.
0,0,1911,1911,0,.,.,.,.,.,.
0,0,1912,1912,0,.,.,.,.,.,.
0,0,1913,1913,0,.,.,.,.,.,.
0,0,1914,1914,0,.,.,.,.,.,.
0,0,1915,1915,0,.,.,.,.,.,.
0,0,1916,1916,0,.,.,.,.,.,.
0,0,1917,1917,0,.,.,.,.,.,.
0,0,1918,1918,0,.,.,.,.,.,.
0,0,1919,1919,0,.,.,.,.,.,.
0,0,1920,1920,0,.,.,.,.,.,.
0,0,1921,1921,0,.,.,.,.,.,.
0,0,1922,1922,0,.,.,.,.,.,.
0,0,1923,1923,0,.,.,.,.,.,.
0,0,1924,1924,0,.,.,.,.,.,.
0,0,1925,1925,0,.,.,.,.,.,.
0,0,1926,1926,0,.,.,.,.,.,.
0,0,1927,1927,0,.,.,.,.,.,.
0,0,1928,1928,0,.,.,.,.,.,.
0,0,1929,1929,0,.,.,.,.,.,.
0,0,1930,1930,0,.,.,.,.,.,.
0,0,1931,1931,0,.,.,.,.,.,.
0,0,1932,1932,0,.,.,.,.,.,.
0,0,1933,1933,0,.,.,.,.,.,.
0,0,1934,1934,0,.,.,.,.,.,.
0,0,1935,1935,0,.,.,.,.,.,.
0,0,1936,1936,0,.,.,.,.,.,.
0,0,1937,1937,0,.,.,.,.,.,.
0,0,1938,1938,0,.,.,.,.,.,.
0,0,1939,1939,0,.,.,.,.,.,.
0,0,1940,1940,0,.,.,.,.,.,.
0,0,1941,1941,0,.,.,.,.,.,.
0,0,1942,1942,0,.,.,.,.,.,.
0,0,1943,1943,0,.,.,.,.,.,.
0,0,1944,1944,0,.,.,.,.,.,.
0,0,1945,1945,0,.,.,.,.,.,.
0,0,1946,1946,0,.,.,.,.,.,.
0,0,1947,1947,0,.,.,.,.,.,.
0,0,1948,1948,0,.,.,.,.,.,.
0,0,1949,1949,0,.,.,.,.,.,.
0,0,1950,1950,0,.,.,.,.,.,.
0,0,1951,1951,0,.,.,.,.,.,.
0,0,1952,1952,0,.,.,.,.,.,.
0,0,1953,1953,0,.,.,.,.,.,.
0,0,1954,1954,0,.,.,.,.,.,.
0,0,1955,1955,0,.,.,.,.,.,.
0,0,1956,1956,0,.,.,.,.,.,.
0,0,1957,1957,0,.,.,.,.,.,.
0,0,1958,1958,0,.,.,.,.,.,.
0,0,1959,1959,0,.,.,.,.,.,.
0,0,1960,1960,0,.,.,.,.,.,.
0,0,1961,1961,0,.,.,.,.,.,.
0,0,1962,1962,0,.,.,.,.,.,.
0,0,1963,1963,0,.,.,.,.,.,.
0,0,1964,1964,0,.,.,.,.,.,.
0,0,1965,1965,0,.,.,.,.,.,.
