repeat,race,sex,yob,cessation_year
20,0,1,1910,0
20,0,1,1911,0
20,0,1,1912,0
20,0,1,1913,0
20,0,1,1914,0
20,0,1,1915,0
20,0,1,1916,0
20,0,1,1917,0
20,0,1,1918,0
20,0,1,1919,0
20,0,1,1920,0
20,0,1,1921,0
20,0,1,1922,0
20,0,1,1923,0
20,0,1,1924,0
20,0,1,1925,0
20,0,1,1926,0
20,0,1,1927,0
20,0,1,1928,0
20,0,1,1929,0
20,0,1,1930,0
20,0,1,1931,0
20,0,1,1932,0
20,0,1,1933,0
20,0,1,1934,0
20,0,1,1935,0
20,0,1,1936,0
20,0,1,1937,0
20,0,1,1938,0
20,0,1,1939,0
20,0,1,1940,0
20,0,1,1941,0
20,0,1,1942,0
20,0,1,1943,0
20,0,1,1944,0
20,0,1,1945,0
20,0,1,1946,0
20,0,1,1947,0
20,0,1,1948,0
20,0,1,1949,0
20,0,1,1950,0
20,0,1,1951,0
20,0,1,1952,0
20,0,1,1953,0
20,0,1,1954,0
20,0,1,1955,0
20,0,1,1956,0
20,0,1,1957,0
20,0,1,1958,0
20,0,1,1959,0
20,0,1,1960,0
20,0,1,1961,0
20,0,1,1962,0
20,0,1,1963,0
20,0,1,1964,0
20,0,1,1965,0
20,0,1,1966,0
20,0,1,1967,0
20,0,1,1968,0
20,0,1,1969,0
20,0,1,1970,0
20,0,1,1971,0
20,0,1,1972,0
20,0,1,1973,0
20,0,1,1974,0
20,0,1,1975,0
20,0,1,1976,0
20,0,1,1977,0
20,0,1,1978,0
20,0,1,1979,0
20,0,1,1980,0
20,0,1,1981,0
20,0,1,1982,0
20,0,1,1983,0
20,0,1,1984,0
20,0,1,1985,0
20,0,1,1986,0
20,0,1,1987,0
20,0,1,1988,0
20,0,1,1989,0
20,0,1,1990,0
20,0,1,1991,0
20,0,1,1992,0
20,0,1,1993,0
20,0,1,1994,0
20,0,1,1995,0
20,0,1,1996,0
20,0,1,1997,0
20,0,1,1998,0
20,0,1,1999,0
20,0,1,2000,0
20,0,1,2001,0
20,0,1,2002,0
20,0,1,2003,0
20,0,1,2004,0
20,0,1,2005,0
20,0,1,2006,0
20,0,1,2007,0
20,0,1,2008,0
20,0,1,2009,0
20,0,1,2010,0
20,0,1,2011,0
20,0,1,2012,0
20,0,1,2013,0
20,0,1,2014,0
20,0,1,2015,0
20,0,1,2016,0
20,0,1,2017,0
20,0,1,2018,0
20,0,1,2019,0
20,0,1,2020,0
20,0,1,2021,0
20,0,1,2022,0
20,0,1,2023,0
20,0,1,2024,0
20,0,1,2025,0
20,0,1,2026,0
20,0,1,2027,0
20,0,1,2028,0
20,0,1,2029,0
20,0,1,2030,0
20,0,1,2031,0
20,0,1,2032,0
20,0,1,2033,0
20,0,1,2034,0
20,0,1,2035,0
20,0,1,2036,0
20,0,1,2037,0
20,0,1,2038,0
20,0,1,2039,0
20,0,1,2040,0
20,0,1,2041,0
20,0,1,2042,0
20,0,1,2043,0
20,0,1,2044,0
20,0,1,2045,0
20,0,1,2046,0
20,0,1,2047,0
20,0,1,2048,0
20,0,1,2049,0
20,0,1,2050,0
20,0,1,2051,0
20,0,1,2052,0
20,0,1,2053,0
20,0,1,2054,0
20,0,1,2055,0
20,0,1,2056,0
20,0,1,2057,0
20,0,1,2058,0
20,0,1,2059,0
20,0,1,2060,0
